index,Ra,Dec,ref,klc_dup
0,0.08681,-0.3475,Shu22,1
1,0.1064644008874893,28.53664970397949,Talbot,1
2,0.25325,-33.67316,Petrillo et al. 2019,1
3,0.27506652,23.768154,Stein21,1
4,0.2771,1.0583,Wong21,1
5,0.30467,-33.36632,Petrillo et al. 2019,1
6,0.31063,0.27214,Shu22,1
7,0.31831,-30.17678,Petrillo et al. 2019,1
8,0.31852,-32.14243,Petrillo et al. 2019,1
10376,0.3685421137,-57.85849526,Storfer 2023,2
10,0.3735,-0.0449,SuGOHI5,1
11,0.38695,-32.362790000000004,Petrillo et al. 2019,1
12,0.492786,4.577447,SuGOHI8,1
13,0.5158017873764038,25.523637771606445,Talbot,1
14,0.527213,-33.544062,ODonnell22,1
15,0.5358061790466309,31.403297424316406,Talbot,1
16,0.5391430854797363,-7.211731433868408,Talbot,1
17,0.5392899999999999,-33.05526,Petrillo et al. 2019,1
18,0.5446826815605164,13.504034996032717,Talbot,1
19,0.5957,4.3571,Wong21,1
20,0.59845,-35.12122,Jacobs et al. 2019b,1
21,0.62765,-30.43883,Petrillo et al. 2019,1
22,0.64118,-32.49791,Petrillo et al. 2019,1
23,0.65762,-32.15828,Petrillo et al. 2019,1
24,0.673617422580719,24.60353660583496,Talbot,1
25,0.67631567,-0.2222029,Stein21,1
26,0.68757,-34.20733,Petrillo et al. 2019,1
10261,0.7486770989,-62.667184,Storfer 2023,2
28,0.75,0.8938,SuGOHI5,1
29,0.79235,-31.87919,Petrillo et al. 2019,1
30,0.8045,0.907,SuGOHI5,1
31,0.81817,-31.63607,Petrillo et al. 2019,1
32,0.81825,-33.8012,Jacobs et al. 2019b,1
33,0.8626,2.17249,Canameras22,1
34,0.8634522,-64.61961,Stein21,1
35,0.906289041042328,34.10005569458008,Talbot,1
36,0.91917,-31.98373,Petrillo et al. 2019,1
37,0.92331,-33.493109999999994,Petrillo et al. 2019,1
38,0.9601963,15.042252,Stein21,1
39,0.9785879254341124,8.76550579071045,Talbot,1
40,1.0623761,4.597637,Stein21,1
41,1.0719761848449707,15.01112461090088,Talbot,1
42,1.09146,-33.683370000000004,Petrillo et al. 2019,1
43,1.1271936893463137,16.7750186920166,Talbot,1
44,1.18523,-34.01095,Petrillo et al. 2019,1
45,1.204751,4.182399,SuGOHI8,1
46,1.216,-1.0546,SuGOHI5,1
10914,1.227674539,-64.38648693,Storfer 2023,2
48,1.26631,-28.99786,Petrillo et al. 2019,1
49,1.2743,1.1683,SuGOHI5,1
50,1.28137,0.75504,Shu22,1
51,1.30104,-31.46861,Petrillo et al. 2019,1
52,1.43637,-31.13294,Petrillo et al. 2019,1
53,1.5057125,-5.899551,Stein21,1
54,1.51303,-42.13697,Diehl et al. 2017,1
55,1.56922,-34.47606,Petrillo et al. 2019,1
56,1.65871,-29.14461,Petrillo et al. 2019,1
57,1.66623,-33.903209999999994,Petrillo et al. 2019,1
58,1.67002,-33.39761,Petrillo et al. 2019,1
59,1.6858,1.6899,SuGOHI5,1
60,1.68592,-44.49735,Jacobs et al. 2019b Diehl et al. 2017,1
61,1.693075,1.4095551,Stein21,1
62,1.71611,-27.23251,Li21,1
63,1.72787,-28.62962,Li21,1
64,1.7338,-0.6809,SuGOHI5,1
65,1.74425,-31.38683,Petrillo et al. 2019,1
66,1.7670400000000002,-30.84784,Petrillo et al. 2019,1
67,1.78415,-34.1003,Petrillo et al. 2019,1
68,1.7960329055786133,18.363187789916992,Talbot,1
69,1.7962599999999995,-31.86778,Petrillo et al. 2019,1
70,1.80467,-32.46204,Petrillo et al. 2019,1
71,1.81623,-31.89345,Petrillo et al. 2019,1
72,1.82463,-30.67448,Petrillo et al. 2019,1
73,1.86039,-32.983670000000004,Petrillo et al. 2019,1
74,1.86762,1.37603,Shu22,1
75,1.87201,-44.57949,Jacobs et al. 2019b Diehl et al. 2017,1
76,1.88358,-30.77042,Petrillo et al. 2019,1
77,1.8898,2.4401,Wong21,1
78,1.94876,-33.74484,Petrillo et al. 2019,1
79,1.9564016,18.616135,Stein21,1
80,1.96502,-33.43583,Petrillo et al. 2019,1
81,1.98516,-32.03347,Petrillo et al. 2019,1
12286,2.01231,-0.06896,SLACS,2
83,2.0285,0.22826,Canameras22,1
84,2.0559,1.58637,Canameras22,1
85,2.0587,0.1891,SuGOHI5,1
86,2.0592,2.0223,SuGOHI5,1
87,2.0672,-55.06631,Diehl et al. 2017,1
88,2.0855069160461426,17.094776153564453,Talbot,1
89,2.13171,-31.93959000000001,Petrillo et al. 2019,1
90,2.14835,-33.55402,Petrillo et al. 2019,1
91,2.2033,0.2641,SuGOHI5,1
92,2.21661,-31.99088,Petrillo et al. 2019,1
93,2.224783182144165,2.165199041366577,Talbot,1
94,2.254280805587769,19.08052444458008,Talbot,1
95,2.30228,-30.13529,Petrillo et al. 2019,1
96,2.3094,1.7908,SuGOHI5,1
97,2.3109,0.1758,SuGOHI5,1
98,2.3137286,-48.61376,Stein21,1
99,2.3429594,2.182966,Stein21,1
100,2.3739333152771,16.427078247070312,Talbot,1
101,2.395485,-36.1669,Stein21,1
102,2.406872272491455,20.68407249450684,Talbot,1
103,2.40901,-31.85332,Petrillo et al. 2019,1
104,2.4588716,-40.460564,Stein21,1
105,2.4812,-33.16003,Petrillo et al. 2019,1
106,2.48447,-33.935590000000005,Petrillo et al. 2019,1
107,2.49208,-33.950790000000005,Petrillo et al. 2019,1
108,2.50355,-31.859890000000004,Petrillo et al. 2019,1
109,2.50465,-29.97088,Petrillo et al. 2019,1
110,2.5260832,3.9111748,Stein21,1
111,2.54611,-27.01291,Li21,1
112,2.5815900000000003,-32.540409999999994,Petrillo et al. 2019,1
113,2.62678,-43.25413,Jacobs et al. 2019b,1
114,2.63424,-29.7189,Petrillo et al. 2019,1
115,2.63872,-29.18947,Petrillo et al. 2019,1
116,2.6481,-32.39087,Petrillo et al. 2019,1
117,2.674670457839966,4.306710720062256,Talbot,1
118,2.698571,-56.309055,Stein21,1
119,2.708117961883545,29.17019462585449,Talbot,1
120,2.795119285583496,1.095236897468567,Talbot,1
121,2.812672615051269,18.77126121520996,Talbot,1
122,2.82083,-33.48708,Petrillo et al. 2019,1
123,2.83263,32.77663,Savary22,1
124,2.91899,-28.86743,Petrillo et al. 2019,1
125,2.919286012649536,-2.179649591445923,Talbot,1
126,2.9359,1.0175,Wong21,1
127,2.97135,-46.23942,Jacobs et al. 2019b Diehl et al. 2017,1
128,2.978295087814331,7.910139560699463,Talbot,1
129,3.01269,-33.3749,Petrillo et al. 2019,1
130,3.08138,-32.11724,Petrillo et al. 2019,1
131,3.11151,-33.59666,Petrillo et al. 2019,1
132,3.114,0.4545,SuGOHI5,1
133,3.1236835,-33.777905,Stein21,1
134,3.15648,-32.60267,Petrillo et al. 2019,1
135,3.2896793,-5.9535527,Stein21,1
136,3.29016,0.66767,Jacobs et al. 2019b,1
137,3.29224,-3.59597,Jacobs et al. 2019b,1
138,3.30326,-32.11489,Petrillo et al. 2019,1
139,3.30668,0.46665,Shu22,1
10930,3.308581093,-56.1442795,Storfer 2023,2
141,3.324348,2.158807,SuGOHI8,1
142,3.34086,-32.59948,Petrillo et al. 2019,1
10932,3.362659063,-30.58401117,Storfer 2023,2
144,3.375819,-47.58624,Stein21,1
145,3.38649,-42.65808,Jacobs et al. 2019b,1
146,3.40396,-32.24453,Petrillo et al. 2019,1
147,3.41278,-32.36582,Petrillo et al. 2019,1
148,3.45459,-33.58498,Petrillo et al. 2019,1
149,3.4631,-33.64503,Petrillo et al. 2019,1
150,3.504166666666667,1.9641666666666664,Canameras et al. 2020,1
151,3.60087251663208,18.65917205810547,Talbot,1
152,3.601166,0.695906,SuGOHI8 DES,1
153,3.6769,-32.644890000000004,Petrillo et al. 2019,1
154,3.70453,-32.94001,Petrillo et al. 2019,1
155,3.7254,-0.9523,SuGOHI5,1
10263,3.740665466,1.616990123,Storfer 2023,2
157,3.75114,-29.79116,Petrillo et al. 2019,1
158,3.753104,26.859108,Stein21,1
159,3.8494,-33.82425,Petrillo et al. 2019,1
160,3.86517,-30.4868,Petrillo et al. 2019,1
161,3.9055,-29.96401,Petrillo et al. 2019,1
162,3.92831,-46.60305,Jacobs et al. 2019b,1
10937,3.934052758,-50.86740067,Storfer 2023,2
164,3.9492032527923584,13.965279579162598,Talbot,1
165,3.95071,-31.96064,Petrillo et al. 2019,1
166,3.96725,-2.51252,Jacobs et al. 2019b,1
167,4.14715,-28.85235,Petrillo et al. 2019,1
168,4.17592,-33.33226,Petrillo et al. 2019,1
169,4.21435,-29.35261,Petrillo et al. 2019,1
170,4.21649,-32.70916,Petrillo et al. 2019,1
171,4.225,-6.566944444444443,Canameras et al. 2020,1
172,4.32556,1.97183,Jacobs et al. 2019b,1
173,4.345833333333333,10.814722222222226,Canameras et al. 2020,1
174,4.372262,-1.763258,Stein21,1
10941,4.400880842,-11.82080146,Storfer 2023,2
176,4.50166,-29.63552,Petrillo et al. 2019,1
177,4.50945,-45.82622,Jacobs et al. 2019b,1
178,4.51075,-33.28275,Petrillo et al. 2019,1
179,4.5225800000000005,-31.492,Petrillo et al. 2019,1
180,4.56347,-32.80916,Petrillo et al. 2019,1
181,4.586292743682861,11.96593189239502,Talbot,1
182,4.704385,-49.909473,Stein21,1
183,4.7527,-31.10068,Petrillo et al. 2019,1
184,4.7652,2.3967,SuGOHI5,1
185,4.81803,-41.61405,Jacobs et al. 2019b,1
186,4.8870125,-59.485565,Stein21,1
187,4.9577300000000015,-33.2876,Petrillo et al. 2019,1
188,5.0671,0.0794,SuGOHI5,1
189,5.1096014976501465,19.01866912841797,Talbot,1
190,5.15752,0.349658,SuGOHI8,1
191,5.191260814666748,20.14651679992676,Talbot,1
192,5.254372596740723,22.310585021972656,Talbot,1
193,5.3619160652160645,35.26423645019531,Talbot,1
194,5.39182,-40.66717,Jacobs et al. 2019b Diehl et al. 2017,1
195,5.3962927,-29.349503,Stein21,1
196,5.45279,-50.47602,Diehl et al. 2017,1
197,5.46283769607544,11.66171646118164,Talbot,1
198,5.46609,-32.85129000000001,Petrillo et al. 2019,1
199,5.470287322998047,4.06464958190918,Talbot,1
200,5.528708934783936,-3.5561063289642334,Talbot,1
201,5.531038,-10.183047,Stein21,1
202,5.53621,-32.91628,Petrillo et al. 2019,1
203,5.54386,-32.4059,Petrillo et al. 2019,1
10388,5.6186701,1.803655021,Storfer 2023,2
205,5.630148410797119,14.905818939208984,Talbot,1
206,5.7434,0.1667,Huang et al. 2020a,1
207,5.74604,-33.293240000000004,Petrillo et al. 2019,1
208,5.79397,-30.8092,Petrillo et al. 2019,1
209,5.80266,-31.24283,Petrillo et al. 2019,1
210,5.81785,-32.33126,Petrillo et al. 2019,1
211,5.826450347900391,12.95973014831543,Talbot,1
212,5.890094757080078,24.92175674438477,Talbot,1
213,5.89691,-33.3739,Petrillo et al. 2019,1
214,5.9272,-35.09304,Li21,1
215,5.931769999999999,-49.39183,Diehl et al. 2017,1
216,5.976,-32.64883,Petrillo et al. 2019,1
217,5.986668,-51.526478,Stein21,1
218,6.015811920166016,-0.4756153225898742,Talbot,1
219,6.0168300000000015,-33.93967,Petrillo et al. 2019,1
220,6.024601936340332,-1.554924488067627,Talbot,1
221,6.058964252471924,8.258288383483887,Talbot,1
222,6.16141,-31.23683,Petrillo et al. 2019,1
223,6.1625,-1.5888888888888892,Canameras et al. 2020,1
224,6.176819999999998,-29.58651,Petrillo et al. 2019,1
225,6.210553646087647,4.668637275695801,Talbot,1
226,6.2305,0.3192,SuGOHI5,1
227,6.23732,-34.014790000000005,Jacobs et al. 2019b,1
228,6.247509002685547,-6.649661540985107,Talbot,1
229,6.29223,-31.65755,Jacobs et al. 2019b,1
10390,6.294508647,-49.77406904,Storfer 2023,2
231,6.32039,-29.50476,Petrillo et al. 2019,1
10952,6.364763333,-1.743622962,Storfer 2023,2
233,6.365538,-6.584123,Stein21,1
234,6.38384,-30.85396,Petrillo et al. 2019,1
235,6.4023900000000005,-34.633759999999995,Petrillo et al. 2019,1
236,6.5159693,-45.337303,Stein21,1
237,6.52459,-33.14754,Petrillo et al. 2019,1
238,6.52789,-55.07581,Jacobs et al. 2019b,1
239,6.529210567474365,-4.799674034118652,Talbot,1
240,6.53835,-31.00983,Petrillo et al. 2019,1
241,6.5926384925842285,36.085391998291016,Talbot,1
9403,6.6039,4.3071,Huang 2022,2
243,6.620833333333334,5.6875,Canameras et al. 2020,1
244,6.6478457,-48.97649,Stein21,1
245,6.658581733703613,10.479186058044434,Talbot,1
246,6.7171,3.0656,Wong21,1
247,6.73527,-34.23747,Petrillo et al. 2019,1
248,6.75025,-4.22321,Jacobs et al. 2019b,1
249,6.766727924346924,35.517311096191406,Talbot,1
250,6.9375,15.167222222222223,Canameras et al. 2020,1
251,6.9778337,-47.191544,Stein21,1
252,6.994120121002197,18.18321418762207,Talbot,1
253,7.029928684234619,-2.566591501235962,Talbot,1
10264,7.049747968,-48.43519273,Storfer 2023,2
255,7.09883,-26.99943,Li21,1
256,7.150146484375,29.55103874206543,Talbot,1
257,7.19578,-51.14695,Jacobs et al. 2019b,1
258,7.214962959289551,6.352964878082275,Talbot,1
12259,7.2824,-0.93071,SLACS,2
260,7.29972,-28.34521,Petrillo et al. 2019,1
261,7.31473,-30.97453,Petrillo et al. 2019,1
262,7.382880687713623,23.97593116760254,Talbot,1
263,7.4671035,-49.613945,Stein21,1
264,7.478532791137695,-1.2933294773101809,Talbot,1
265,7.51045,-33.08298,Petrillo et al. 2019,1
266,7.510460000000001,-52.22339,Diehl et al. 2017,1
267,7.5105,-0.1745,SuGOHI5,1
268,7.559630393981934,35.502525329589844,Talbot,1
10960,7.601741727,-4.447900479,Storfer 2023,2
270,7.6181793,-1.3031169,Stein21,1
271,7.630789999999998,-29.29055,Petrillo et al. 2019,1
272,7.663571,-45.117814,ODonnell22,1
273,7.6824064,-13.906733,Stein21,1
274,7.701235294342041,-2.341521739959717,Talbot,1
275,7.7019199999999985,-33.53665,Petrillo et al. 2019,1
276,7.7182,-33.18817,Petrillo et al. 2019,1
277,7.77035,-44.05004,Diehl et al. 2017,1
278,7.779623,-37.292908,ODonnell22,1
279,7.82531,-35.02563,Li21,1
280,7.832,-64.3438,Jacobs et al. 2019b,1
281,7.917680000000002,-29.51635,Petrillo et al. 2019,1
9412,7.9602,-0.6805,Huang 2022,2
283,8.0731,1.0105,SuGOHI5,1
284,8.108473777770996,27.38458633422852,Talbot,1
285,8.153557777404785,22.9150390625,Talbot,1
286,8.225708,0.810861,SuGOHI8,1
287,8.295525550842285,35.60453796386719,Talbot,1
288,8.345833333333333,39.649722222222216,Canameras et al. 2020,1
289,8.35229,-54.76004,Diehl et al. 2017,1
290,8.4214,2.7046,SuGOHI5,1
291,8.473306655883789,10.6771821975708,Talbot,1
292,8.5267,-24.09052,Jacobs et al. 2019b,1
293,8.616094,-13.814234,Stein21,1
8963,8.6173,2.4228,Huang 2022,2
10265,8.62096961,-45.8600867,Storfer 2023,2
296,8.681833267211914,23.17584609985352,Talbot,1
297,8.693760871887207,26.89039421081543,Talbot,1
298,8.773094,-2.1597588,Stein21,1
299,8.774687767028809,9.409707069396973,Talbot,1
300,8.78153,-25.44932,Jacobs et al. 2019b,1
10266,8.799559226,-12.57593998,Storfer 2023,2
302,8.821515,-25.545591,Stein21,1
303,8.84525,-51.50674,Diehl et al. 2017,1
10267,8.861018559,-50.33226182,Storfer 2023,2
305,8.87292,-59.22424,Stein21,1
306,8.9761,0.3561,SuGOHI5,1
307,9.018750190734863,2.5445244312286377,Talbot,1
308,9.0375,-1.143333333333333,Canameras et al. 2020,1
309,9.07342,-34.57238,Li21,1
310,9.136331,1.821272,SuGOHI8,1
311,9.16581,-34.42656,Li21,1
312,9.17006,0.76873,Huang et al. 2020a,1
313,9.2112,0.888,Wong21,1
314,9.223199,-44.831554,Stein21,1
315,9.3628,-41.53054,Jacobs et al. 2019b Diehl et al. 2017,1
10399,9.520185077,-45.35433342,Storfer 2023,2
317,9.531590461730955,21.00727272033692,Talbot,1
318,9.571085,27.795551,Stein21,1
10400,9.574558369,19.77377794,Storfer 2023,2
320,9.585700988769531,21.43636512756348,Talbot,1
321,9.58605670928955,15.195799827575684,Talbot,1
