[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 154 healpix records
[data] healpix split: 146 train, 8 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 131820 z values, min=-0.0019 max=4.8293
[data] train_ds=207619 val_ds=11355
[model] params=103,671,040 (~103.7M)
[step      0] loss=397.7187 z_loss=7.689 spec_loss=7.658 z_acc=0.000 spec_acc=0.000 masked_acc=0.000 rz_masked_acc=0.000 mask_r2=0.000 mask_auc=nan all_r2=0.000 all_auc=nan 0.4 step/s
[step    100] loss=332.9998 z_loss=6.419 spec_loss=6.732 z_acc=0.000 spec_acc=0.000 masked_acc=0.000 rz_masked_acc=0.000 mask_r2=0.118 mask_auc=nan all_r2=0.118 all_auc=nan 2.8 step/s
[step    200] loss=263.1015 z_loss=5.062 spec_loss=5.200 z_acc=0.000 spec_acc=0.248 masked_acc=0.242 rz_masked_acc=0.000 mask_r2=0.319 mask_auc=nan all_r2=0.318 all_auc=nan 2.7 step/s
[step    300] loss=250.4893 z_loss=4.827 spec_loss=4.444 z_acc=0.000 spec_acc=0.115 masked_acc=0.121 rz_masked_acc=0.000 mask_r2=0.407 mask_auc=nan all_r2=0.418 all_auc=nan 2.8 step/s
[step    400] loss=310.8342 z_loss=6.026 spec_loss=3.636 z_acc=0.200 spec_acc=0.237 masked_acc=0.243 rz_masked_acc=0.200 mask_r2=0.520 mask_auc=nan all_r2=0.523 all_auc=nan 2.8 step/s
[step    500] loss=263.0152 z_loss=5.099 spec_loss=3.224 z_acc=0.000 spec_acc=0.279 masked_acc=0.278 rz_masked_acc=0.000 mask_r2=0.584 mask_auc=nan all_r2=0.577 all_auc=nan 2.8 step/s
[val      500] loss=264.8587 overall_acc=0.3131 redshift_acc=0.0107 spectrum_acc=0.3142 loss_redshift=5.1369 loss_spectrum=3.1245 loss_total=3.1318 masked_spec_acc=0.3121 redshift_acc_masked=0.0150 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=264.8587 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/best.pt
  [ar_best    500] ar_redshift_acc=0.0 ar_spectrum_acc=0.01267962806424345 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=26
[step    600] loss=277.6508 z_loss=5.374 spec_loss=3.630 z_acc=0.000 spec_acc=0.266 masked_acc=0.226 rz_masked_acc=0.000 mask_r2=0.506 mask_auc=nan all_r2=0.524 all_auc=nan 2.0 step/s
[step    700] loss=270.9641 z_loss=5.261 spec_loss=2.837 z_acc=0.000 spec_acc=0.367 masked_acc=0.373 rz_masked_acc=0.000 mask_r2=0.634 mask_auc=nan all_r2=0.628 all_auc=nan 2.1 step/s
[step    800] loss=266.3197 z_loss=5.167 spec_loss=2.968 z_acc=0.000 spec_acc=0.319 masked_acc=0.302 rz_masked_acc=0.000 mask_r2=0.611 mask_auc=nan all_r2=0.611 all_auc=nan 2.2 step/s
[step    900] loss=238.4145 z_loss=4.612 spec_loss=3.212 z_acc=0.000 spec_acc=0.265 masked_acc=0.281 rz_masked_acc=0.000 mask_r2=0.578 mask_auc=nan all_r2=0.579 all_auc=nan 2.2 step/s
[step   1000] loss=257.4832 z_loss=4.992 spec_loss=2.935 z_acc=0.000 spec_acc=0.312 masked_acc=0.335 rz_masked_acc=0.000 mask_r2=0.626 mask_auc=nan all_r2=0.615 all_auc=nan 2.3 step/s
[val     1000] loss=245.5628 overall_acc=0.3340 redshift_acc=0.0157 spectrum_acc=0.3352 loss_redshift=4.7596 loss_spectrum=2.7854 loss_total=2.7926 masked_spec_acc=0.3339 redshift_acc_masked=0.0000 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=245.5628 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_large/best.pt
  [ar_best   1000] ar_redshift_acc=0.07692307692307693 ar_spectrum_acc=0.0005635390250774866 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=26
[step   1100] loss=236.7704 z_loss=4.584 spec_loss=3.174 z_acc=0.000 spec_acc=0.200 masked_acc=0.216 rz_masked_acc=0.000 mask_r2=0.591 mask_auc=nan all_r2=0.584 all_auc=nan 2.0 step/s
[step   1200] loss=246.8712 z_loss=4.785 spec_loss=3.003 z_acc=0.000 spec_acc=0.319 masked_acc=0.320 rz_masked_acc=0.000 mask_r2=0.609 mask_auc=nan all_r2=0.606 all_auc=nan 2.0 step/s
[step   1300] loss=266.9263 z_loss=5.184 spec_loss=2.732 z_acc=0.000 spec_acc=0.316 masked_acc=0.293 rz_masked_acc=0.000 mask_r2=0.632 mask_auc=nan all_r2=0.642 all_auc=nan 2.1 step/s
[step   1400] loss=215.2750 z_loss=4.170 spec_loss=2.565 z_acc=0.000 spec_acc=0.365 masked_acc=0.361 rz_masked_acc=0.000 mask_r2=0.663 mask_auc=nan all_r2=0.664 all_auc=nan 2.1 step/s
[step   1500] loss=230.0598 z_loss=4.458 spec_loss=2.817 z_acc=0.000 spec_acc=0.316 masked_acc=0.308 rz_masked_acc=0.000 mask_r2=0.635 mask_auc=nan all_r2=0.631 all_auc=nan 2.2 step/s
[val     1500] loss=249.5944 overall_acc=0.3495 redshift_acc=0.0033 spectrum_acc=0.3508 loss_redshift=4.8453 loss_spectrum=2.5863 loss_total=2.5946 masked_spec_acc=0.3483 redshift_acc_masked=0.0000 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
