[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[data] train_ds=697139 val_ds=32759
[model] params=103,671,040 (~103.7M)
[step      0] loss=409.8332 z_loss=7.927 spec_loss=7.843 z_acc=0.000 spec_acc=0.000 masked_acc=0.000 rz_masked_acc=0.000 mask_r2=0.000 mask_auc=nan all_r2=0.000 all_auc=nan 0.1 step/s
[step    100] loss=279.6678 z_loss=5.364 spec_loss=6.444 z_acc=0.000 spec_acc=0.142 masked_acc=0.138 rz_masked_acc=0.000 mask_r2=0.151 mask_auc=nan all_r2=0.155 all_auc=nan 0.5 step/s
[step    200] loss=264.3346 z_loss=5.116 spec_loss=3.610 z_acc=0.000 spec_acc=0.250 masked_acc=0.249 rz_masked_acc=0.000 mask_r2=0.526 mask_auc=nan all_r2=0.527 all_auc=nan 0.5 step/s
[step    300] loss=246.2655 z_loss=4.766 spec_loss=3.256 z_acc=0.087 spec_acc=0.253 masked_acc=0.259 rz_masked_acc=0.091 mask_r2=0.582 mask_auc=nan all_r2=0.573 all_auc=nan 0.5 step/s
[step    400] loss=233.2407 z_loss=4.514 spec_loss=3.154 z_acc=0.087 spec_acc=0.305 masked_acc=0.309 rz_masked_acc=0.133 mask_r2=0.588 mask_auc=nan all_r2=0.586 all_auc=nan 0.5 step/s
[step    500] loss=237.3748 z_loss=4.603 spec_loss=2.769 z_acc=0.053 spec_acc=0.320 masked_acc=0.326 rz_masked_acc=0.000 mask_r2=0.638 mask_auc=nan all_r2=0.637 all_auc=nan 0.5 step/s
[val      500] loss=248.9584 overall_acc=0.3168 redshift_acc=0.0263 spectrum_acc=0.3179 loss_redshift=4.8296 loss_spectrum=2.7756 loss_total=2.7831 masked_spec_acc=0.3179 redshift_acc_masked=0.0266 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=248.9584 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
