[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest_mix.jsonl
[data] 1137 healpix records
[data] healpix split: 1080 train, 57 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 266658 z values, min=-0.0019 max=5.3572
[data] train_ds=1723542 val_ds=88855
[model] params=103,671,040 (~103.7M)
[step      0] loss=398.8898 z_loss=7.707 spec_loss=7.891 z_acc=0.000 spec_acc=0.000 masked_acc=0.000 rz_masked_acc=0.000 mask_r2=0.000 mask_auc=nan all_r2=0.000 all_auc=nan 0.1 step/s
[step    100] loss=247.9704 z_loss=4.787 spec_loss=4.178 z_acc=0.059 spec_acc=0.447 masked_acc=0.433 rz_masked_acc=0.000 mask_r2=0.441 mask_auc=nan all_r2=0.452 all_auc=nan 0.6 step/s
[step    200] loss=194.9174 z_loss=3.780 spec_loss=2.107 z_acc=0.200 spec_acc=0.544 masked_acc=0.544 rz_masked_acc=0.250 mask_r2=0.721 mask_auc=nan all_r2=0.724 all_auc=nan 0.6 step/s
[step    300] loss=226.5921 z_loss=4.404 spec_loss=2.113 z_acc=0.125 spec_acc=0.510 masked_acc=0.504 rz_masked_acc=0.273 mask_r2=0.722 mask_auc=nan all_r2=0.723 all_auc=nan 0.6 step/s
[step    400] loss=198.7148 z_loss=3.861 spec_loss=2.043 z_acc=0.130 spec_acc=0.513 masked_acc=0.519 rz_masked_acc=0.273 mask_r2=0.735 mask_auc=nan all_r2=0.732 all_auc=nan 0.6 step/s
[step    500] loss=211.9413 z_loss=4.116 spec_loss=2.089 z_acc=0.045 spec_acc=0.479 masked_acc=0.475 rz_masked_acc=0.077 mask_r2=0.720 mask_auc=nan all_r2=0.726 all_auc=nan 0.6 step/s
[val      500] loss=251.9119 overall_acc=0.3000 redshift_acc=0.0278 spectrum_acc=0.3010 loss_redshift=4.8821 loss_spectrum=3.0401 loss_total=3.0468 masked_spec_acc=0.3070 redshift_acc_masked=0.0272 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=251.9119 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best    500] ar_redshift_acc=0.008849557522123894 ar_spectrum_acc=0.018509514084735324 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step    600] loss=207.8342 z_loss=4.035 spec_loss=2.283 z_acc=0.056 spec_acc=0.419 masked_acc=0.415 rz_masked_acc=0.000 mask_r2=0.698 mask_auc=nan all_r2=0.701 all_auc=nan 0.4 step/s
[step    700] loss=267.0298 z_loss=5.201 spec_loss=2.087 z_acc=0.048 spec_acc=0.466 masked_acc=0.462 rz_masked_acc=0.000 mask_r2=0.724 mask_auc=nan all_r2=0.726 all_auc=nan 0.4 step/s
[step    800] loss=200.6091 z_loss=3.898 spec_loss=1.958 z_acc=0.095 spec_acc=0.513 masked_acc=0.523 rz_masked_acc=0.100 mask_r2=0.752 mask_auc=nan all_r2=0.743 all_auc=nan 0.4 step/s
