session,workflow,role,file,killed,n_records,n_assistant,read,read_img,bash,write,websearch,webfetch,other_tools,in_tok,out_tok,cache_read,cache_create,wall_s,t0,t1,model
design-2,none,design,2b7e6f8b-04b2-4b85-8d10-8a2bac92eddf/subagents/agent-aecc768bf5b42e496.jsonl,0,51,30,0,0,18,0,0,0,0,60,7109,391542,138023,117.44,2026-08-08T00:14:54.730000+00:00,2026-08-08T00:16:52.170000+00:00,claude-opus-5
design-2,none,design,2b7e6f8b-04b2-4b85-8d10-8a2bac92eddf/subagents/agent-a9baf8eb571be5ff9.jsonl,0,38,21,0,0,13,0,0,0,0,37,6296,255537,114071,130.261,2026-08-08T00:40:11.308000+00:00,2026-08-08T00:42:21.569000+00:00,claude-fable-5
design-1,none,design,727a50d7-0697-4223-8237-70d14459ed43/subagents/agent-a5e7e052e10a5802e.jsonl,0,24,12,0,0,8,0,0,0,0,24,1541,65855,55991,132.723,2026-08-08T00:07:56.774000+00:00,2026-08-08T00:10:09.497000+00:00,claude-opus-5
discovery,none,plan,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/agent-aa41cd256bdf59407.jsonl,0,127,78,2,0,44,0,0,0,0,156,42301,3351019,438673,904.2,2026-08-08T00:44:03.898000+00:00,2026-08-08T00:59:08.098000+00:00,claude-fable-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a354c94879324e72f.jsonl,0,77,44,21,20,7,1,0,0,1,83,10411,1152840,67972,248.329,2026-08-09T15:00:19.117000+00:00,2026-08-09T15:04:27.446000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-affd708ea9c73de1b.jsonl,0,120,71,35,34,9,1,0,0,1,2416,11397,2469108,116227,350.902,2026-08-09T14:56:04.684000+00:00,2026-08-09T15:01:55.586000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a8d52e0dd0c1d4633.jsonl,0,118,70,31,30,12,1,0,0,1,130,17037,2548950,133248,402.283,2026-08-09T14:56:04.674000+00:00,2026-08-09T15:02:46.957000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-abb2d4f3e5a443a13.jsonl,0,103,62,27,26,9,1,0,0,1,116,10307,2261965,117380,431.471,2026-08-09T14:56:04.752000+00:00,2026-08-09T15:03:16.223000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a8575beb8c2503273.jsonl,0,98,58,27,26,8,1,0,0,1,3765,22041,2004105,150278,420.15,2026-08-09T14:56:03.599000+00:00,2026-08-09T15:03:03.749000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a60abd9adf9453bf0.jsonl,0,119,70,31,30,13,1,0,0,1,129,13921,2595480,124254,417.815,2026-08-09T14:56:03.980000+00:00,2026-08-09T15:03:01.795000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a06df1cebeb16b805.jsonl,0,92,54,24,23,9,1,0,0,1,100,21058,1848746,121607,411.617,2026-08-09T14:56:05.186000+00:00,2026-08-09T15:02:56.803000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-ac80c010352dbd0fe.jsonl,0,49,29,13,12,2,1,0,0,1,55,11871,618409,83859,243.542,2026-08-09T14:56:03.769000+00:00,2026-08-09T15:00:07.311000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a5335da35fc4413b6.jsonl,0,100,59,29,28,7,1,0,0,1,111,17041,1931026,132773,365.357,2026-08-09T14:56:03.881000+00:00,2026-08-09T15:02:09.238000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a0ec762ec1c75c844.jsonl,0,102,60,29,28,8,1,0,0,1,111,19724,1945563,104572,364.882,2026-08-09T14:56:04.527000+00:00,2026-08-09T15:02:09.409000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a0f8d7be45cdb67d0.jsonl,0,135,78,38,37,14,1,0,0,1,145,16776,2844833,117216,403.9,2026-08-09T15:00:10.681000+00:00,2026-08-09T15:06:54.581000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a817ff2220cb45a4c.jsonl,0,74,44,20,19,5,1,0,0,1,82,7356,1179997,82966,253.351,2026-08-09T14:56:04.789000+00:00,2026-08-09T15:00:18.140000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-abbf6c5424a545e37.jsonl,0,127,75,35,34,12,1,0,0,1,3095,40497,3279004,159928,688.439,2026-08-09T14:56:03.876000+00:00,2026-08-09T15:07:32.315000+00:00,claude-opus-5
