rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
60907,1,52772.0,s_369975_4277,198.00339377238512,6.731820427033161,0.2429924928816035,south,1979p067,0.00013367404891610432,198.0033938,6.731820402,10341,Storfer 2023,1,klc_clean250629ymh
457,0,,s_212143_5031,33.568329508720865,-21.09336760364761,0.4623801332898438,south,0335m210,0.0001906561483811781,33.56832955,-21.09336764,10289,Storfer 2023,1,klc_clean250629ymh
7264,1,4759.0,s_280145_1197,2.834612320138041,-8.764535824311935,0.3362712585832924,south,0029m087,0.00041735545331218147,2.834612303,-8.764535939,10381,Storfer 2023,1,klc_clean250629ymh
3968,1,2226.0,s_453538_6684,186.71298787572255,21.83120517548351,0.3630588753148913,south,1865p217,0.0007960563582293399,186.7129881,21.83120525,11854,Storfer 2023,1,klc_clean250629ymh
74168,0,,s_134026_1294,31.69343985621304,-36.49393476877048,0.2346633171895518,south,0318m365,0.0009306461414537342,31.69344,-36.493935,1369,Stein21,1,klc_clean250629ymh
4098,1,2325.0,s_137628_8406,65.3721305356873,-35.78774927004518,0.3615483586909249,south,0652m357,0.0009353952373935522,65.37213085,-35.78774922,11518,Storfer 2023,1,klc_clean250629ymh
9216,1,6303.0,s_253353_9271,19.468994225573777,-13.406511133629412,0.3250297907419736,south,0193m135,0.000969634626292666,19.46899397,-13.40651103,11078,Storfer 2023,1,klc_clean250629ymh
104143,1,92807.0,s_113788_9451,30.621169366040043,-41.08867921375568,0.2200883399345912,south,0305m410,0.0011019360439633685,30.62116896,-41.08867922,11195,Storfer 2023,2,klc_clean250629ymh
2236,0,,s_204042_4495,14.692073757585336,-22.585898417808583,0.389791586343199,south,0147m225,0.0011221266768087343,14.69207342,-22.58589842,11022,Storfer 2023,1,klc_clean250629ymh
10064,1,7014.0,s_271825_885,55.12141767968076,-10.301852032060989,0.3211765230167657,south,0552m102,0.001140415380134879,55.121418,-10.301852,2491,Stein21,1,klc_clean250629ymh
99960,1,88975.0,s_238025_7217,17.074761576332833,-16.21137363017224,0.2218379310099408,south,0170m162,0.0012116033300307496,17.07476189,-16.21137348,11050,Storfer 2023,1,klc_clean250629ymh
9185,0,,s_89839_9992,13.05368091545878,-46.840830967900914,0.3251212006434798,south,0129m467,0.0012278962630638622,13.05368043,-46.84083089,11008,Storfer 2023,2,klc_clean250629ymh
105179,1,93751.0,s_98839_1539,346.36602050918896,-44.696326788816826,0.2197129421168938,south,3464m447,0.0013036569454240986,346.36602,-44.6963268,10871,Storfer 2023,2,klc_clean250629ymh
52508,1,45110.0,s_229737_1360,11.822926958333005,-17.8747612994343,0.2493358862120658,south,0119m177,0.0013364392793655928,11.82292669,-17.87476103,10409,Storfer 2023,1,klc_clean250629ymh
