name,euclid_id,grade_truth,grade_pred,p_lens_tier1,p_lens_tier2
s_79373_7808,102020057_NEG582019329494705421,A,A,0.03,0.88
s_93968_421,102023984_NEG628683592457046709,A,A,0.04,0.88
s_76594_8452,102019131_NEG626148898503257561,B,B,0.04,0.5
s_169188_3607,102042916_NEG533251142291509670,A,A,0.12,0.92
s_167928_8104,102042284_NEG523902104295926900,B,A,0.03,0.92
s_83157_6833,102021009_NEG577024787484062221,A,A,0.17,0.98
s_88997_474,102022483_NEG653649683470250799,B,B,0.05,0.55
s_85093_8510,102021499_NEG632503018480736583,B,A,0.03,0.91
s_80314_11215,102020059_NEG590814898493650143,B,B,0.03,0.65
s_176778_10173,102044182_NEG510181483277803809,B,B,0.02,0.5
s_77522_8224,102019596_NEG637748088500119037,B,A,0.02,0.9
s_179345_485,102045468_NEG536440857272232644,B,A,0.04,0.88
s_170452_8752,102042919_NEG549725555290756868,A,B,0.3,0.75
s_88988_7925,102022479_NEG623367075470669448,A,B,0.03,0.6
s_81254_8721,102020530_NEG572303674490459976,B,B,0.03,0.55
s_179335_7765,102045463_NEG510363299272415391,A,A,0.02,0.93
s_84123_1889,102021013_NEG602940269483238112,B,B,0.04,0.58
s_90958_9343,102022972_NEG597052478465695317,A,B,0.03,0.7
s_80329_2961,102020066_NEG645419324493086283,A,A,0.03,0.95
s_78453_11712,102020065_NEG639706305497277844,B,B,0.03,0.6
s_176791_164,102044188_NEG544517310278613198,C,A,0.02,0.96
s_175513_5175,102044186_NEG535621262280129063,A,A,0.02,0.87
s_176778_4211,102044821_NEG508798294276486404,A,B,0.03,0.62
s_86061_9635,102021500_NEG636862073478549953,B,B,0.03,0.62
s_81272_4359,102020539_NEG639239120489296299,A,A,0.06,0.88
s_166673_9028,102042282_NEG517070963297124785,B,B,0.03,0.65
s_170450_10871,102042918_NEG544805259289548872,A,B,0.02,0.68
s_84129_9629,102021016_NEG627891706482718950,A,B,0.14,0.68
s_180619_673,102045464_NEG512422645270221464,B,B,0.03,0.65
s_88015_3485,102021990_NEG651246796473086761,A,B,0.04,0.75
s_178058_7438,102044823_NEG519633334274259646,A,A,0.04,0.93
s_75664_6939,102019126_NEG589597149505340169,B,B,0.04,0.55
s_88996_2557,102022483_NEG650705793470600869,B,B,0.02,0.6
s_171714_3810,102043552_NEG547756940286644821,A,B,0.02,0.72
s_82216_4230,102020536_NEG621645331488224037,A,B,0.2,0.75
s_165427_7342,102041657_NEG529209996299100136,A,A,0.02,0.87
s_81263_3523,102020534_NEG604836154490669092,A,A,0.09,0.82
s_174235_10382,102044183_NEG515787441281897369,A,B,0.02,0.65
s_88990_5718,102022480_NEG630160205470193218,B,B,0.03,0.6
s_167935_8040,102042287_NEG543727111293847771,B,B,0.04,0.6
s_84125_13400,102021014_NEG613552795482722691,B,B,0.04,0.6
