name,euclid_id,grade_truth,grade_pred,p_lens_tier1,p_lens_tier2
s_93968_433,102023984_NEG628683592457046709,A,A,0.04,0.84
s_83157_8409,102021009_NEG577024787484062221,A,A,0.12,0.97
s_79373_7769,102020057_NEG582019329494705421,A,A,0.05,0.95
s_167928_8112,102042284_NEG523902104295926900,B,A,0.02,0.95
s_88007_7987,102021986_NEG622189376472948583,B,B,0.03,0.62
s_88997_602,102022483_NEG653649683470250799,B,B,0.04,0.65
s_170452_14504,102042919_NEG549725555290756868,A,B,0.18,0.65
s_80314_12621,102020059_NEG590814898493650143,B,B,0.04,0.65
s_169188_5518,102042916_NEG533251142291509670,A,A,0.15,0.93
s_84136_4630,102021019_NEG651956451483599583,A,A,0.07,0.88
s_77522_7961,102019596_NEG637748088500119037,B,A,0.02,0.91
s_176778_10456,102044182_NEG510181483277803809,B,B,0.03,0.55
s_85093_15882,102021499_NEG632503018480736583,B,A,0.04,0.93
s_84123_2953,102021013_NEG602940269483238112,B,B,0.03,0.65
s_88988_8317,102022479_NEG623367075470669448,A,B,0.03,0.62
s_90958_9241,102022972_NEG597052478465695317,A,B,0.03,0.7
s_84129_16461,102021016_NEG627891706482718950,A,B,0.04,0.62
s_86061_15501,102021500_NEG636862073478549953,B,B,0.03,0.72
s_174235_13613,102044183_NEG515787441281897369,A,A,0.02,0.88
s_87026_5695,102021984_NEG605671540476154903,B,B,0.02,0.62
s_179335_8072,102045463_NEG510363299272415391,A,A,0.01,0.93
s_78453_11482,102020065_NEG639706305497277844,B,B,0.02,0.65
s_80329_6402,102020066_NEG645419324493086283,A,A,0.03,0.95
s_179345_702,102045468_NEG536440857272232644,B,B,0.03,0.74
s_176791_230,102044188_NEG544517310278613198,C,A,0.03,0.93
s_88015_3655,102021990_NEG651246796473086761,A,B,0.05,0.62
s_176778_4403,102044821_NEG508798294276486404,A,B,0.03,0.7
s_81263_7090,102020534_NEG604836154490669092,A,B,0.15,0.73
s_81272_7726,102020539_NEG639239120489296299,A,A,0.03,0.93
s_166673_9358,102042282_NEG517070963297124785,B,B,0.03,0.72
s_86048_6517,102021981_NEG586493481476452509,A,A,0.02,0.93
s_81263_7679,102020534_NEG604929086489066527,B,B,0.03,0.62
s_85094_13993,102021500_NEG636294430480333264,A,A,0.3,0.97
s_180619_719,102045464_NEG512422645270221464,B,A,0.02,0.83
s_84129_17659,102021499_NEG628042951482285714,B,A,0.03,0.93
s_165427_7416,102041657_NEG529209996299100136,A,A,0.03,0.87
s_82216_7491,102020536_NEG621645331488224037,A,A,0.09,0.85
s_88990_5749,102022480_NEG630160205470193218,B,B,0.03,0.55
s_170450_15146,102042918_NEG544805259289548872,A,A,0.04,0.82
s_77510_6177,102019590_NEG590843564499562054,B,B,0.02,0.65
s_178058_11508,102044823_NEG519633334274259646,A,A,0.04,0.88
