name,euclid_id,new_to_desi,euclid_expert_grade,lensjudge_euclid_grade,p_lens_tier1,p_lens_tier2,escalated
s_79373_7769,102020057_NEG582019329494705421,True,A,A,0.03,0.92,True
s_80320_14056,102020061_NEG612388468493726389,False,A,A,0.12,0.95,True
s_82219_15368,102021017_NEG634146279486865014,False,A,A,0.4,0.98,True
s_76594_8939,102019131_NEG626148898503257561,True,B,C,0.03,0.18,True
s_83157_8409,102021009_NEG577024787484062221,True,A,A,0.06,0.97,True
s_80314_12621,102020059_NEG590814898493650143,True,B,B,0.15,0.58,True
s_88997_602,102022483_NEG653649683470250799,True,B,B,0.03,0.65,True
s_88007_7987,102021986_NEG622189376472948583,True,B,B,0.03,0.7,True
s_84136_4630,102021019_NEG651956451483599583,True,A,A,0.07,0.88,True
s_169188_5518,102042916_NEG533251142291509670,True,A,A,0.12,0.85,True
s_170452_17399,102042919_NEG550105155291238806,True,B,A,0.03,0.85,True
s_170452_14504,102042919_NEG549725555290756868,True,A,B,0.18,0.72,True
s_179335_6767,102045463_NEG510020362271915172,False,B,A,0.22,0.87,True
s_180628_574,102045468_NEG537581789271144818,False,B,C,0.12,0.1,True
