name,ra,dec,grade_truth,euclid_id,known,catalog,region
s_76594_8939,62.61486008067185,-50.32575571704556,B,102019131_NEG626148898503257561,False,d4_edf,edf_fs
s_179335_6767,51.002089485084056,-27.1916628947172,B,102045463_NEG510020362271915172,True,d4_edf,edf_fs
s_80320_14056,61.238852517636644,-49.37263855233265,A,102020061_NEG612388468493726389,True,d4_edf,edf_fs
s_82219_15368,63.41459313173361,-48.686543534969545,A,102021017_NEG634146279486865014,True,d4_edf,edf_fs
s_93968_433,62.86839463379826,-45.70458933788676,A,102023984_NEG628683592457046709,False,d4_edf,edf_fs
s_83157_8409,57.70240078171311,-48.406166251350875,A,102021009_NEG577024787484062221,False,d4_edf,edf_fs
s_79373_7769,58.20181394171051,-49.47048931394819,A,102020057_NEG582019329494705421,False,d4_edf,edf_fs
s_167928_8112,52.39026908089974,-29.592697369195598,B,102042284_NEG523902104295926900,False,d4_edf,edf_fs
s_88007_7987,62.21903903141837,-47.29479370451357,B,102021986_NEG622189376472948583,False,d4_edf,edf_fs
s_180628_574,53.758180278970144,-27.114480109239118,B,102045468_NEG537581789271144818,True,d4_edf,edf_fs
s_170452_14504,54.97251888736149,-29.07569319797256,A,102042919_NEG549725555290756868,False,d4_edf,edf_fs
s_88997_602,65.36504769256788,-47.025102352904085,B,102022483_NEG653649683470250799,False,d4_edf,edf_fs
s_80314_12621,59.08150719000795,-49.36502599925147,B,102020059_NEG590814898493650143,False,d4_edf,edf_fs
s_169188_5518,53.32506603754639,-29.150983227355937,A,102042916_NEG533251142291509670,False,d4_edf,edf_fs
s_84136_4630,65.19566011176019,-48.35997463792516,A,102021019_NEG651956451483599583,False,d4_edf,edf_fs
s_167929_8634,52.68888248023733,-29.49827578290235,A,102042284_NEG526888815294982643,True,d4_edf,edf_fs
s_85093_15882,63.25033177430405,-48.07364161537333,B,102021499_NEG632503018480736583,False,d4_edf,edf_fs
s_176778_10456,51.018174030622255,-27.780358795706295,B,102044182_NEG510181483277803809,False,d4_edf,edf_fs
s_77522_7961,63.774792734515124,-50.01190091250169,B,102019596_NEG637748088500119037,False,d4_edf,edf_fs
s_178055_1726,50.94495151989769,-27.457237003240934,A,102044821_NEG509449559274572380,True,d4_edf,edf_fs
s_84123_2953,60.2940338677431,-48.32378754774335,B,102021013_NEG602940269483238112,False,d4_edf,edf_fs
s_84129_16461,62.789160879599095,-48.27189901951562,A,102021016_NEG627891706482718950,False,d4_edf,edf_fs
s_90958_9241,59.70524357434081,-46.56952031878343,A,102022972_NEG597052478465695317,False,d4_edf,edf_fs
s_88988_8317,62.33665579758065,-47.0669706570719,A,102022479_NEG623367075470669448,False,d4_edf,edf_fs
s_86061_15501,63.68619481606209,-47.854996110261965,B,102021500_NEG636862073478549953,False,d4_edf,edf_fs
s_81254_8347,57.23036370027886,-49.04602220736763,B,102020530_NEG572303674490459976,False,d4_edf,edf_fs
s_174235_13613,51.57877344527082,-28.189749115328794,A,102044183_NEG515787441281897369,False,d4_edf,edf_fs
s_87026_5695,60.56714493899473,-47.615498708702006,B,102021984_NEG605671540476154903,False,d4_edf,edf_fs
s_179335_8072,51.036343364425136,-27.241527189467224,A,102045463_NEG510363299272415391,False,d4_edf,edf_fs
s_171715_3816,55.029977203505545,-28.844422251793794,B,102042919_NEG550298555288445169,False,d4_edf,edf_fs
s_78453_11482,63.97056214486939,-49.72778809782005,B,102020065_NEG639706305497277844,False,d4_edf,edf_fs
s_179345_702,53.64408024445357,-27.223272420601685,B,102045468_NEG536440857272232644,False,d4_edf,edf_fs
s_88015_3655,65.1246231703079,-47.30863234342283,A,102021990_NEG651246796473086761,False,d4_edf,edf_fs
s_80329_6402,64.54186018423826,-49.308650976504445,A,102020066_NEG645419324493086283,False,d4_edf,edf_fs
s_176791_230,54.45172573845797,-27.86131309768272,C,102044188_NEG544517310278613198,False,d4_edf,edf_fs
