name,ra,dec,grade_pred,p_lens,p_lens_tier1,p_lens_tier2,p_meta,class
s_341950_6798,15.659705773376,1.9824477862302512,A,0.97,0.42,0.97,0.84572333,sugohi_xval
s_328891_7514,350.94196107688146,-0.5105402266144748,A,0.97,0.18,0.97,0.7454466,sugohi_xval
s_340513_3688,16.331871224683365,1.749021403215644,A,0.97,0.22,0.97,0.76935786,NEW
s_331753_3591,346.3402918810244,-0.0365852051400459,A,0.95,0.5,0.95,0.86123824,sugohi_xval
s_336034_1750,336.5380314908672,0.69486864744162,A,0.95,0.03,0.95,0.82380146,sugohi_xval
s_336034_1788,336.5387782042387,0.6949976267426516,A,0.95,0.45,0.95,0.81859833,sugohi_xval
s_318982_1451,33.53337824715371,-2.107920604150776,A,0.93,0.4,0.93,0.883948,sugohi_xval
s_327526_9059,9.722175691216863,-0.4092728967886327,A,0.92,0.04,0.92,0.7376314,NEW
s_351303_461,194.5344608205252,3.5357751713299965,A,0.92,0.62,0.92,0.89134747,NEW
s_345385_1515,154.31156351386747,2.488511057982116,A,0.92,0.1,0.92,0.8060211,NEW
s_340971_2860,130.8571259956073,1.7839933601297353,A,0.91,0.12,0.91,0.7648961,NEW
s_323786_3896,154.69719023427663,-1.359039043652778,A,0.91,0.03,0.91,0.7867421,sugohi_xval
s_327403_2882,338.8263057370136,-0.7964456011258548,A,0.91,0.1,0.91,0.8154928,sugohi_xval
s_345385_1514,154.31151234280114,2.488231151685253,A,0.87,0.05,0.87,0.86313343,NEW
s_351084_1943,139.76915912040403,3.610726780253736,A,0.87,0.22,0.87,0.85890365,sugohi_xval
s_332668_5796,215.2018921382049,0.125925526546714,A,0.87,0.04,0.87,0.7963619,sugohi_xval
s_326089_1785,10.287568809662847,-0.7303042470217409,A,0.82,0.03,0.82,0.8295125,NEW
s_325163_2981,138.8481621687964,-0.922617180587686,A,0.82,0.18,0.82,0.737765,NEW
s_300291_2747,34.40481481667397,-5.224850119274835,A,0.82,0.35,0.82,0.7792903,sugohi_xval
s_325489_4248,220.3875155732048,-0.900380365430375,B,0.68,0.04,0.68,0.81641406,sugohi_xval
s_329032_842,26.01675996647185,-0.12956915176671,B,0.65,0.06,0.65,0.8340679,sugohi_xval
s_336801_4965,168.48644183359443,1.06795290453364,B,0.65,0.25,0.65,0.8963222,sugohi_xval
s_318043_1037,158.7893001298153,-2.3037192500412824,B,0.45,0.04,0.45,0.8614245,NEW
s_346996_4322,197.20031359402847,2.767472851564839,B,0.4,0.05,0.4,0.79153997,sugohi_xval
