rank,name,ra,dec,grade_pred,p_lens,p_meta,stage1_contaminant
1,s_441355_1188,177.1380728666007,19.50087773853335,A,0.95,0.8343629,
2,s_98012_247,56.14624377449898,-44.79559873612024,A,0.92,0.85890365,
3,s_310364_6388,38.20776155606031,-3.390575249827998,A,0.88,0.8168813,
4,s_301694_7426,26.26788673053466,-4.9309675447982295,A,0.88,0.8541028,
5,s_181942_4122,61.60163762747881,-26.773319735183065,A,0.87,0.85890365,
6,s_137502_1047,26.444982674111948,-35.69096749205416,A,0.87,0.8028542,
7,s_230539_4159,222.0715291673003,-17.84887816968979,A,0.85,0.8373038,
8,s_71042_1653,20.176048773946803,-51.73143511801116,A,0.85,0.8219,
9,s_180593_5604,44.09744789441882,-27.12182678511546,A,0.85,0.8821649,
10,s_194300_2796,242.60516223297512,-24.41548715181245,A,0.83,0.7439093,
11,s_304994_4662,133.55309005978958,-4.402561717012598,A,0.82,0.8387436,spiral
12,s_61472_9399,359.5199829395111,-54.67651549927191,A,0.8,0.88292474,
13,s_91761_4679,350.36829391619926,-46.51375013328203,A,0.8,0.8620868,
14,s_91796_2958,2.9714156599521964,-46.23945501941993,A,0.78,0.79495054,
15,s_320069_835,305.2638226341343,-1.937606042871264,A,0.78,0.8913349,
16,s_292418_3907,216.82796568655152,-6.754124035930034,A,0.78,0.8856224,
17,s_81254_12458,57.33133953770485,-48.9592228760168,A,0.76,0.8367479,
18,s_124958_7349,58.17676366369604,-38.4291530309915,B,0.68,0.8925813,
19,s_59958_9730,64.5412341064485,-54.9597390325274,B,0.65,0.8267278,
20,s_197474_9756,30.766770156139195,-23.63407408552237,B,0.65,0.8117557,
21,s_313198_1471,27.537985119867216,-3.0772891631307964,B,0.65,0.8080331,
22,s_232538_8716,25.275549906326727,-17.223219532648667,B,0.65,0.8491564,
23,s_280236_3353,25.86232399459209,-8.83927067550732,B,0.65,0.8394086,
24,s_234689_542,227.0426690911862,-16.877134252112636,B,0.65,0.801767,
25,s_502450_1680,161.11446569345568,31.234351899467537,B,0.63,0.78906906,
26,s_94959_7228,56.805380600736456,-45.58499423953458,B,0.62,0.8428286,
27,s_119342_4136,50.71637335808133,-39.769382288873466,B,0.62,0.8995817,
28,s_243378_3831,326.5169878860748,-15.49639445874732,B,0.62,0.8382822,
29,s_240846_8850,30.28319467187648,-15.854741180294011,B,0.62,0.7999863,
30,s_188493_9685,83.45557516458862,-25.615109278834368,B,0.62,0.87509745,
31,s_94933_7964,47.55479242741815,-45.57426955047772,B,0.6,0.77542335,merger
32,s_95070_5466,96.25051142569194,-45.435756659874734,B,0.6,0.78043467,
33,s_369309_653,30.44645604949648,6.655073400246933,B,0.6,0.74429476,
