name,ra,dec,grade,p_lens,status,counterpart,survey,sep_arcsec,source
s_441355_1188,177.138073,19.500878,A,0.95,known,CSWA 1,CASSOWARY,0.01,lineage
s_98012_247,56.146244,-44.795599,A,0.92,known,DES J034435.09-444743.9,DES,0.18,SIMBAD
s_310364_6388,38.207762,-3.390575,A,0.88,known,DESI-038.2078-03.3906,Huang+2020,0.16,lineage
s_301694_7426,26.267887,-4.930968,A,0.88,known,DESI-026.2679-04.9310,Huang+2020,0.13,lineage
s_181942_4122,61.601638,-26.773320,A,0.87,known,DES J040624.49-264625.0,DES,1.74,SIMBAD
s_137502_1047,26.444983,-35.690967,A,0.87,known,DES J014546.78-354127.3,DES,0.20,SIMBAD
s_230539_4159,222.071529,-17.848878,A,0.85,new,,,,
s_71042_1653,20.176049,-51.731435,A,0.85,known,[DBL2017] DES J0120-5143 (A),DES,0.19,SIMBAD
s_180593_5604,44.097448,-27.121827,A,0.85,known,DES J025623.36-270718.5,DES,0.28,SIMBAD
s_194300_2796,242.605162,-24.415487,A,0.83,new,,,,
s_304994_4662,133.553090,-4.402562,A,0.82,known,DESI-133.5531-04.4026,Huang+2020,0.14,lineage
s_61472_9399,359.519983,-54.676515,A,0.8,known,DES J235804.95-544034.4,DES,1.73,SIMBAD
s_91761_4679,350.368294,-46.513750,A,0.8,known,DES J232128.37-463049.3,DES,0.25,SIMBAD
s_91796_2958,2.971416,-46.239455,A,0.78,known,[DBL2017] DES J0011-4614 (A),DES,0.15,SIMBAD
s_320069_835,305.263823,-1.937606,A,0.78,new,,,,
s_292418_3907,216.827966,-6.754124,A,0.78,known,DESI-216.8280-06.7541,Huang+2020,0.15,lineage
s_81254_12458,57.331340,-48.959223,A,0.76,known,[DBL2017] DES J0349-4857 (A),DES,0.16,SIMBAD
s_124958_7349,58.176764,-38.429153,B,0.68,known,DES J035242.40-382544.9,DES,0.01,lineage
s_59958_9730,64.541234,-54.959739,B,0.65,known,[DBL2017] DES J0418-5457 (A),DES,0.14,SIMBAD
s_197474_9756,30.766770,-23.634074,B,0.65,known,DES J020304.01-233802.5,DES,0.22,SIMBAD
s_313198_1471,27.537985,-3.077289,B,0.65,known,AGEL J015009-030438 system,AGEL,0.34,SIMBAD
s_232538_8716,25.275550,-17.223220,B,0.65,known,DESI-025.2755-17.2232,Huang+2020,0.19,lineage
s_280236_3353,25.862324,-8.839271,B,0.65,known,AGEL J014327-085021 system,AGEL,0.93,SIMBAD
s_234689_542,227.042669,-16.877134,B,0.65,new,,,,
s_502450_1680,161.114466,31.234352,B,0.63,new,,,,
s_94959_7228,56.805381,-45.584994,B,0.62,known,[DBL2017] DES J0347-4535 (A),DES,0.09,SIMBAD
s_119342_4136,50.716373,-39.769382,B,0.62,known,DES J032251.91-394609.6,DES,0.17,SIMBAD
s_243378_3831,326.516988,-15.496394,B,0.62,new,,,,
s_240846_8850,30.283195,-15.854741,B,0.62,known,DESI-030.2832-15.8547,Huang+2020,0.15,lineage
s_188493_9685,83.455575,-25.615109,B,0.62,known,DES J053349.32-253654.3,DES,0.15,SIMBAD
s_94933_7964,47.554792,-45.574270,B,0.6,known,[DBL2017] DES J0310-4534 (A),DES,0.14,SIMBAD
s_95070_5466,96.250511,-45.435757,B,0.6,known,[DBL2017] DES J0625-4526 (A),DES,0.08,SIMBAD
s_369309_653,30.446456,6.655073,B,0.6,new,,,,
s_34114_11363,353.746800,-64.068660,B,0.58,known,DES J233459.19-640406.9,DES,0.32,SIMBAD
s_102952_10164,334.801695,-43.809786,B,0.58,known,DES J221912.39-434835.1,DES,0.01,lineage
s_191004_9637,56.935617,-24.908762,B,0.58,known,DES J034744.53-245431.4,DES,0.20,SIMBAD
s_43736_6056,67.394474,-60.190545,B,0.58,known,DES J042934.66-601126.3,DES,0.35,SIMBAD
s_137518_1133,31.358767,-35.663176,B,0.58,known,DES J020526.09-353947.4,DES,0.14,SIMBAD
s_129372_3768,16.450387,-37.428556,B,0.58,known,DES J010548.04-372542.4,DES,0.71,SIMBAD
s_98882_7820,1.685979,-44.497381,B,0.58,known,[DBL2017] DES J0006-4429 (A),DES,0.18,SIMBAD
s_218735_721,350.202816,-20.049748,B,0.58,new,,,,
s_360639_3636,13.486755,5.358998,B,0.55,new,,,,
s_381188_1199,144.151065,8.863258,B,0.55,known,DESI-144.1511+08.8633,Huang+2020,0.20,lineage
s_114736_1046,343.512731,-40.930330,B,0.55,known,[DBL2017] DES J2254-4055 (A),DES,0.11,SIMBAD
s_87091_1800,84.519312,-47.587173,B,0.55,known,[DBL2017] DES J0538-4735 (A),DES,0.11,SIMBAD
s_327710_4950,55.664914,-0.382017,B,0.55,new,,,,
s_289350_3716,164.805124,-7.144863,B,0.55,new,,,,
s_384032_2232,143.388717,9.321945,B,0.55,known,DESI-143.3887+09.3219,Huang+2020,0.17,lineage
s_73683_6069,357.375341,-51.227552,B,0.55,known,[DBL2017] DES J2349-5113 (A),DES,0.00,SIMBAD
s_80200_6872,15.491869,-49.293950,B,0.55,known,DES J010158.03-491738.1,DES,0.12,SIMBAD
s_58263_3751,42.717919,-55.403248,B,0.55,known,DES J025052.27-552411.7,DES,0.22,SIMBAD
s_491286_1438,180.361611,29.011640,B,0.52,new,,,,
s_164140_7181,41.206020,-30.321350,B,0.5,known,DES J024449.42-301916.7,DES,0.24,SIMBAD
