name,class,PRIOR_grade,PRIOR_plens,LEG_grade,LEG_plens,NEW_grade,NEW_plens,survives_NEW
s_341950_6798,sugohi_xval,A,0.97,A,0.95,A,0.96,True
s_328891_7514,sugohi_xval,A,0.97,A,0.93,A,0.93,True
s_340513_3688,NEW,A,0.97,A,0.95,A,0.97,True
s_331753_3591,sugohi_xval,A,0.95,A,0.97,A,0.97,True
s_336034_1750,sugohi_xval,A,0.95,A,0.97,A,0.97,True
s_336034_1788,sugohi_xval,A,0.95,A,0.95,A,0.95,True
s_318982_1451,sugohi_xval,A,0.93,A,0.93,A,0.93,True
s_327526_9059,NEW,A,0.92,A,0.88,A,0.8,True
s_351303_461,NEW,A,0.92,A,0.85,A,0.88,True
s_345385_1515,NEW,A,0.92,A,0.9,A,0.92,True
s_340971_2860,NEW,A,0.91,A,0.88,A,0.85,True
s_323786_3896,sugohi_xval,A,0.91,D,0.04,A,0.88,True
s_327403_2882,sugohi_xval,A,0.91,A,0.9,A,0.92,True
s_345385_1514,NEW,A,0.87,A,0.88,A,0.87,True
s_351084_1943,sugohi_xval,A,0.87,A,0.83,C,0.22,False
s_332668_5796,sugohi_xval,A,0.87,B,0.72,A,0.83,True
s_326089_1785,NEW,A,0.82,D,0.04,B,0.65,True
s_325163_2981,NEW,A,0.82,A,0.82,A,0.82,True
s_300291_2747,sugohi_xval,A,0.82,A,0.75,A,0.87,True
s_325489_4248,sugohi_xval,B,0.68,A,0.8,B,0.58,True
s_329032_842,sugohi_xval,B,0.65,B,0.58,A,0.78,True
s_336801_4965,sugohi_xval,B,0.65,D,0.05,B,0.65,True
s_318043_1037,NEW,B,0.45,B,0.4,B,0.48,True
s_346996_4322,sugohi_xval,B,0.4,D,0.03,C,0.08,False
