log_p at SVI mean = -45225.42
scale_tril diag: min=nan, max=nan

Scan: num_burn=50, num_keep=100, max_tree_depth=6
   step_size    wall_s   accept   leapfrogs(med)    ||Δz||(med)          lp(min..max)
     1.0e-05      42.2    0.000                1        0.00000  -45225.4..-45225.4
     3.0e-05      20.5    0.000                1        0.00000  -45225.4..-45225.4
     1.0e-04      20.9    0.000                1        0.00000  -45225.4..-45225.4
     3.0e-04      21.7    0.000                1        0.00000  -45225.4..-45225.4
     1.0e-03      22.4    0.000                1        0.00000  -45225.4..-45225.4
     3.0e-03      22.4    0.000                1        0.00000  -45225.4..-45225.4
     1.0e-02      22.5    0.000                1        0.00000  -45225.4..-45225.4
     3.0e-02      22.1    0.000                1        0.00000  -45225.4..-45225.4

Done.
