name,RA,DEC,grade
DESI-011.5084-01.9412,11.5084,-1.9412,A
DESI-015.8164+00.0823,15.8164,0.0823,A
DESI-016.3319+01.7490,16.3319,1.749,A
DESI-016.5230+00.5463,16.523,0.5463,A
DESI-018.1074+02.3773,18.1074,2.3773,A
DESI-019.4949-05.4550,19.4949,-5.455,A
DESI-019.6618-05.4441,19.6618,-5.4441,A
DESI-022.7106-16.0024,22.7106,-16.0024,A
DESI-024.1631+00.1384,24.1631,0.1384,A
DESI-025.2755-17.2232,25.2755,-17.2232,A
DESI-026.1390-11.7026,26.139,-11.7026,A
DESI-026.2679-04.9310,26.2679,-4.931,A
DESI-026.4848+04.0413,26.4848,4.0413,A
DESI-027.3284-13.8180,27.3284,-13.818,A
DESI-027.9723-14.8069,27.9723,-14.8069,A
DESI-029.6032-00.6665,29.6032,-0.6665,A
DESI-030.2832-15.8547,30.2832,-15.8547,A
DESI-031.1712-15.0266,31.1712,-15.0266,A
DESI-036.1436-00.0411,36.1436,-0.0411,A
DESI-036.4422-07.6274,36.4422,-7.6274,A
DESI-037.0378-12.8812,37.0378,-12.8812,A
DESI-038.2078-03.3906,38.2078,-3.3906,A
DESI-040.3034-00.9646,40.3034,-0.9646,A
DESI-040.3168-06.5372,40.3168,-6.5372,A
DESI-041.5205-06.1275,41.5205,-6.1275,A
DESI-060.1043-16.3979,60.1043,-16.3979,A
DESI-060.2420-13.9567,60.242,-13.9567,A
DESI-122.0852+10.5284,122.0852,10.5284,A
DESI-133.5531-04.4026,133.5531,-4.4026,A
DESI-133.6197+10.1374,133.6197,10.1374,A
DESI-135.3125+09.9401,135.3125,9.9401,A
DESI-137.8568+14.2991,137.8568,14.2991,A
DESI-140.8110+18.4954,140.811,18.4954,A
DESI-141.0626+05.7690,141.0626,5.769,A
DESI-143.3887+09.3219,143.3887,9.3219,A
DESI-145.9507+00.9906,145.9507,0.9906,A
DESI-152.0763+31.7005,152.0763,31.7005,A
DESI-154.6972-01.3590,154.6972,-1.359,A
DESI-155.7366-05.0529,155.7366,-5.0529,A
DESI-160.2351-01.0663,160.2351,-1.0663,A
DESI-162.4577+05.7749,162.4577,5.7749,A
DESI-165.6876+12.1864,165.6876,12.1864,A
DESI-168.2943+23.9443,168.2943,23.9443,A
DESI-186.3033-00.4390,186.3033,-0.439,A
DESI-186.8292+17.4324,186.8292,17.4324,A
DESI-189.5370+15.0309,189.537,15.0309,A
DESI-194.5344+03.5358,194.5344,3.5358,A
DESI-202.6690+04.6707,202.669,4.6707,A
DESI-204.0002-03.5250,204.0002,-3.525,A
DESI-213.6664+19.4787,213.6664,19.4787,A
DESI-214.6278+25.1814,214.6278,25.1814,A
DESI-215.2654+00.3719,215.2654,0.3719,A
DESI-216.8280-06.7541,216.828,-6.7541,A
DESI-216.9538+08.1792,216.9538,8.1792,A
DESI-219.7907+12.1404,219.7907,12.1404,A
DESI-219.9855+32.8402,219.9855,32.8402,A
DESI-318.0376-01.7568,318.0376,-1.7568,A
DESI-319.3483-00.9478,319.3483,-0.9478,A
DESI-349.5492-11.1012,349.5492,-11.1012,A
DESI-359.8897+02.1399,359.8897,2.1399,A
DESI-005.6187+01.8037,5.6187,1.8037,B
DESI-009.1701+00.7687,9.1701,0.7687,B
DESI-009.9772-12.2100,9.9772,-12.21,B
DESI-010.2401-09.0954,10.2401,-9.0954,B
DESI-010.2876-00.7303,10.2876,-0.7303,B
DESI-010.3630-01.1298,10.363,-1.1298,B
DESI-011.0219-04.8058,11.0219,-4.8058,B
DESI-011.9235-06.1032,11.9235,-6.1032,B
DESI-012.5310-18.6438,12.531,-18.6438,B
DESI-014.0105+03.0152,14.0105,3.0152,B
DESI-014.0683-01.3924,14.0683,-1.3924,B
DESI-014.0730-02.4262,14.073,-2.4262,B
DESI-014.4452-16.7457,14.4452,-16.7457,B
DESI-014.6199-00.4627,14.6199,-0.4627,B
DESI-015.0641-00.2718,15.0641,-0.2718,B
DESI-015.0721+00.0027,15.0721,0.0027,B
DESI-015.2668-17.5344,15.2668,-17.5344,B
DESI-015.2991+00.1673,15.2991,0.1673,B
DESI-015.3533-17.0192,15.3533,-17.0192,B
DESI-015.3806+00.5700,15.3806,0.57,B
DESI-015.4415+03.2399,15.4415,3.2399,B
DESI-015.5430-00.3184,15.543,-0.3184,B
DESI-015.6201-00.4207,15.6201,-0.4207,B
DESI-015.6531-00.0963,15.6531,-0.0963,B
DESI-015.9831+00.3187,15.9831,0.3187,B
DESI-016.1439-00.5185,16.1439,-0.5185,B
DESI-016.2119+00.4207,16.2119,0.4207,B
DESI-016.2273+00.0668,16.2273,0.0668,B
DESI-016.2921-18.3895,16.2921,-18.3895,B
DESI-016.3969+00.1169,16.3969,0.1169,B
DESI-016.5355-00.2139,16.5355,-0.2139,B
DESI-016.7876+01.2914,16.7876,1.2914,B
DESI-016.8597+03.2136,16.8597,3.2136,B
DESI-016.9695-14.4480,16.9695,-14.448,B
DESI-017.0297-03.5796,17.0297,-3.5796,B
DESI-017.4350-14.6600,17.435,-14.66,B
DESI-017.5240-02.5417,17.524,-2.5417,B
DESI-018.0754-04.5830,18.0754,-4.583,B
DESI-018.1714-19.0457,18.1714,-19.0457,B
DESI-018.2548-03.7210,18.2548,-3.721,B
DESI-018.4039-18.9942,18.4039,-18.9942,B
DESI-020.4712-17.9274,20.4712,-17.9274,B
DESI-020.7598-13.2227,20.7598,-13.2227,B
DESI-022.3389+00.6547,22.3389,0.6547,B
DESI-023.6765+04.5639,23.6765,4.5639,B
DESI-029.0400-10.4926,29.04,-10.4926,B
DESI-034.9916-14.9460,34.9916,-14.946,B
DESI-035.0816-04.1971,35.0816,-4.1971,B
DESI-035.7821-05.4661,35.7821,-5.4661,B
DESI-036.0677-16.3767,36.0677,-16.3767,B
DESI-036.2542-05.6058,36.2542,-5.6058,B
DESI-036.3915-05.0365,36.3915,-5.0365,B
DESI-036.4490-15.0922,36.449,-15.0922,B
DESI-037.0236-05.2927,37.0236,-5.2927,B
DESI-038.9951-06.0696,38.9951,-6.0696,B
DESI-040.5720-16.4116,40.572,-16.4116,B
DESI-040.7053-00.5888,40.7053,-0.5888,B
DESI-040.8111-00.1499,40.8111,-0.1499,B
DESI-041.4742-00.7052,41.4742,-0.7052,B
DESI-041.9391-00.5247,41.9391,-0.5247,B
DESI-046.4723-14.8812,46.4723,-14.8812,B
DESI-047.7087-17.7748,47.7087,-17.7748,B
DESI-047.7647-13.2341,47.7647,-13.2341,B
DESI-060.0471-15.8799,60.0471,-15.8799,B
DESI-060.8033-15.2161,60.8033,-15.2161,B
DESI-060.8089-15.0458,60.8089,-15.0458,B
DESI-061.1134-17.2082,61.1134,-17.2082,B
DESI-061.1909-14.5760,61.1909,-14.576,B
DESI-063.6323-04.5427,63.6323,-4.5427,B
DESI-131.3607+00.0361,131.3607,0.0361,B
DESI-134.0057-07.2488,134.0057,-7.2488,B
DESI-135.9714+07.1954,135.9714,7.1954,B
DESI-140.8863+20.3278,140.8863,20.3278,B
DESI-143.0565-05.6041,143.0565,-5.6041,B
DESI-144.1511+08.8633,144.1511,8.8633,B
DESI-144.4242+31.4659,144.4242,31.4659,B
DESI-144.6321-04.2535,144.6321,-4.2535,B
DESI-145.0099+05.4279,145.0099,5.4279,B
DESI-150.0945+00.0047,150.0945,0.0047,B
DESI-150.8860-02.9493,150.886,-2.9493,B
DESI-154.5307-00.1368,154.5307,-0.1368,B
DESI-154.7654+17.0697,154.7654,17.0697,B
DESI-155.4865+11.2037,155.4865,11.2037,B
DESI-157.9622+01.7544,157.9622,1.7544,B
DESI-158.7893-02.3037,158.7893,-2.3037,B
DESI-167.8517+14.1473,167.8517,14.1473,B
DESI-170.6983+25.2669,170.6983,25.2669,B
DESI-192.0242-06.5158,192.0242,-6.5158,B
DESI-194.5900+15.6322,194.59,15.6322,B
DESI-194.8376+11.6490,194.8376,11.649,B
DESI-201.7783+02.2129,201.7783,2.2129,B
DESI-201.7841-02.2996,201.7841,-2.2996,B
DESI-202.3729+31.3290,202.3729,31.329,B
DESI-204.1663-05.7814,204.1663,-5.7814,B
DESI-204.6057+28.3294,204.6057,28.3294,B
DESI-211.0927+02.7242,211.0927,2.7242,B
DESI-216.1003+25.2423,216.1003,25.2423,B
DESI-217.1429-07.0963,217.1429,-7.0963,B
DESI-217.4784+12.0433,217.4784,12.0433,B
DESI-219.0374-01.3295,219.0374,-1.3295,B
DESI-219.9228+00.5073,219.9228,0.5073,B
DESI-241.0592+06.4200,241.0592,6.42,B
