name,RA,DEC
DESI-241.7346+42.1102,241.7346,42.1102
DESI-072.0873-19.4173,72.0873,-19.4173
DESI-118.4491+20.9528,118.4491,20.9528
DESI-015.6763-14.0150,15.6763,-14.015
DESI-062.2475-05.9982,62.2475,-5.9982
DESI-152.3889-05.6017,152.3889,-5.6017
DESI-273.3831+34.2652,273.3831,34.2652
DESI-021.1715-06.9096,21.1715,-6.9096
DESI-355.2727-57.2679,355.2727,-57.2679
DESI-090.9854-35.9683,90.9854,-35.9683
DESI-055.7976-28.4777,55.7976,-28.4777
DESI-002.0299+18.3723,2.0299,18.3723
DESI-003.6745-13.5042,3.6745,-13.5042
DESI-006.0673-28.7195,6.0673,-28.7195
DESI-007.6741-33.9765,7.6741,-33.9765
DESI-007.8631-01.7215,7.8631,-1.7215
DESI-008.0136+07.6678,8.0136,7.6678
DESI-008.0732+01.0100,8.0732,1.01
DESI-008.6173+02.4228,8.6173,2.4228
DESI-009.7307+07.3230,9.7307,7.323
DESI-010.0606-06.7620,10.0606,-6.762
DESI-010.8534-20.6214,10.8534,-20.6214
DESI-011.9249-19.6443,11.9249,-19.6443
DESI-012.1155-17.9645,12.1155,-17.9645
DESI-012.9008-09.3904,12.9008,-9.3904
DESI-014.9899+13.3320,14.9899,13.332
DESI-015.8440-18.3629,15.844,-18.3629
DESI-016.2202-07.9520,16.2202,-7.952
DESI-016.7705-31.4780,16.7705,-31.478
DESI-017.4814+04.1605,17.4814,4.1605
DESI-018.1307-62.1502,18.1307,-62.1502
DESI-021.0887-32.0706,21.0887,-32.0706
DESI-022.2123-29.9602,22.2123,-29.9602
DESI-022.3887-15.1097,22.3887,-15.1097
DESI-024.2940-10.5728,24.294,-10.5728
DESI-024.5974-28.7358,24.5974,-28.7358
DESI-024.7783+22.1231,24.7783,22.1231
DESI-025.9952+12.9370,25.9952,12.937
DESI-026.2765+10.3100,26.2765,10.31
DESI-027.2716-16.9818,27.2716,-16.9818
DESI-027.4830-28.5753,27.483,-28.5753
DESI-027.9088-04.1209,27.9088,-4.1209
DESI-027.9613-10.0977,27.9613,-10.0977
DESI-029.4044-12.3606,29.4044,-12.3606
DESI-030.4025+03.7476,30.4025,3.7476
DESI-031.3208-01.3890,31.3208,-1.389
DESI-031.6711-17.9929,31.6711,-17.9929
DESI-031.7778-27.4457,31.7778,-27.4457
DESI-032.4042-25.3555,32.4042,-25.3555
DESI-032.4765-35.7990,32.4765,-35.799
DESI-034.2366-59.8485,34.2366,-59.8485
DESI-035.2405-38.5511,35.2405,-38.5511
DESI-035.7946-22.8049,35.7946,-22.8049
DESI-036.2340+08.8300,36.234,8.83
DESI-036.8326-24.1921,36.8326,-24.1921
DESI-037.0621-29.3949,37.0621,-29.3949
DESI-037.4837-31.1730,37.4837,-31.173
DESI-038.0264-35.4899,38.0264,-35.4899
DESI-038.8136-21.5095,38.8136,-21.5095
DESI-040.2205-05.8472,40.2205,-5.8472
DESI-040.5664-25.1054,40.5664,-25.1054
DESI-040.7627-00.1001,40.7627,-0.1001
DESI-041.7608+03.9333,41.7608,3.9333
DESI-042.0371-02.2771,42.0371,-2.2771
DESI-043.1867-13.2239,43.1867,-13.2239
DESI-043.5347-28.7960,43.5347,-28.796
DESI-043.6660-04.3071,43.666,-4.3071
DESI-044.4121-22.1575,44.4121,-22.1575
DESI-044.4344-20.1488,44.4344,-20.1488
DESI-044.7161-19.9477,44.7161,-19.9477
DESI-044.9811+01.1387,44.9811,1.1387
DESI-046.7690-06.4805,46.769,-6.4805
DESI-047.1434-32.9919,47.1434,-32.9919
DESI-049.8264+02.0934,49.8264,2.0934
DESI-051.8321-21.6081,51.8321,-21.6081
DESI-053.6254-13.1866,53.6254,-13.1866
DESI-055.0891-25.5584,55.0891,-25.5584
DESI-057.2073-10.2962,57.2073,-10.2962
DESI-057.9070-07.8706,57.907,-7.8706
DESI-058.6486-30.5959,58.6486,-30.5959
DESI-058.7926-18.5262,58.7926,-18.5262
DESI-060.5238-22.0990,60.5238,-22.099
DESI-060.7613-21.3645,60.7613,-21.3645
DESI-060.9953-26.0348,60.9953,-26.0348
DESI-063.0145-18.9874,63.0145,-18.9874
DESI-064.8536-25.2248,64.8536,-25.2248
DESI-065.6447-28.0652,65.6447,-28.0652
DESI-066.1601-07.6524,66.1601,-7.6524
DESI-066.3798-37.7174,66.3798,-37.7174
