,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
0,1,,DESI-002.0299+18.3723,DC,3.5,1,0.97,0.4724,,L18,,20.63,19.16,17.84,DECaLS
1,2,,DESI-003.6745-13.5042,DC,4,0,0.34,,0.406+/-0.021,L18,,20.0,18.17,17.18,DECaLS
2,3,,DESI-006.0673-28.7195,REX,4,0,0.97,,0.533+/-0.025,L18,,20.8,18.86,17.55,DECaLS
3,4,,DESI-007.6741-33.9765,REX,3.5,1,0.2,,0.858+/-0.041,shielded,,21.64,20.85,19.61,DECaLS
4,5,,DESI-007.8631-01.7215,DC,4,0,0.53,0.5201,,shielded,,21.61,19.79,18.6,DECaLS
5,6,,DESI-008.0136+07.6678,DC,4,0,0.99,0.5566,,L18,,21.14,19.57,18.1,DECaLS
6,7,,DESI-008.0732+01.0100,DC,3.5,1,0.31,,0.426+/-0.091,L18,e,20.25,18.4,17.45,DECaLS
7,8,,DESI-008.6173+02.4228,DC,4,0,0.54,0.4548,,shielded,"b, e",22.62,20.73,19.81,DECaLS
8,9,,DESI-009.7307+07.3230,DC,3.5,1,0.22,0.2547,,L18,,18.65,17.21,16.36,DECaLS
9,10,,DESI-010.0606-06.7620,REX,3.5,1,1.0,0.6152,,L18,,20.99,19.69,18.64,DECaLS
10,11,,DESI-010.8534-20.6214,DC,4,0,0.11,0.3381,,L18,,18.93,17.4,16.56,DECaLS
11,12,,DESI-011.9249-19.6443,DC,3.5,1,0.84,,0.688+/-0.056,L18,,21.78,20.32,18.92,DECaLS
12,13,,DESI-012.1155-17.9645,DC,3.5,1,0.9,,0.735+/-0.069,shielded,,22.57,21.17,19.76,DECaLS
13,14,,DESI-012.9008-09.3904,DC,3.5,1,1.0,0.4485,,L18,,22.3,20.33,18.64,DECaLS
14,15,,DESI-014.9899+13.3320,DC,3.5,1,0.91,0.5163,,shielded,,20.07,18.09,16.86,DECaLS
15,16,,DESI-015.6763-14.0150,DC,3.5,1,1.0,,0.658+/-0.036,L18,,22.07,20.27,18.79,DECaLS
16,17,,DESI-015.8440-18.3629,DC,3.5,1,1.0,,0.364+/-0.019,L18,,20.42,18.71,17.83,DECaLS
17,18,,DESI-016.2202-07.9520,DC,4,0,0.48,,0.764+/-0.032,shielded,,23.36,21.16,19.29,DECaLS
18,19,,DESI-016.7705-31.4780,DC,4,0,1.0,,0.772+/-0.018,L18,,21.77,19.95,18.12,DECaLS
19,20,,DESI-017.4814+04.1605,DC,4,0,0.19,,0.281+/-0.140,L18,,19.66,18.53,17.85,DECaLS
20,21,,DESI-018.1307-62.1502,REX,4,0,0.99,,0.427+/-0.024,shielded,,20.07,18.27,17.32,DECaLS
21,22,,DESI-021.0887-32.0706,DC,3.5,1,0.82,,0.754+/-0.080,shielded,,22.59,20.88,19.25,DECaLS
22,23,,DESI-022.2123-29.9602,DC,4,0,1.0,,0.649+/-0.023,L18,,21.73,19.98,18.5,DECaLS
23,24,,DESI-022.3887-15.1097,DC,4,0,1.0,,0.524+/-0.063,L18,,21.78,20.01,18.81,DECaLS
24,25,,DESI-024.2940-10.5728,DC,3.5,1,0.87,0.4135,,L18,,20.89,18.92,17.3,DECaLS
25,26,,DESI-024.5974-28.7358,DC,3.5,1,1.0,,0.414+/-0.022,L18,d,20.42,18.6,17.62,DECaLS
26,27,,DESI-024.7783+22.1231,DC,3.5,1,0.13,0.4684,,L18,,21.06,19.09,17.93,DECaLS
27,28,,DESI-025.9952+12.9370,DC,3.5,1,0.92,0.5114,,L18,,20.75,18.86,17.8,DECaLS
28,29,,DESI-026.2765+10.3100,REX,3.5,1,0.28,,0.462+/-0.138,L18,,21.56,20.16,19.51,DECaLS
29,30,,DESI-027.2716-16.9818,DC,3.5,1,0.92,0.6916,,L18,d,20.91,19.07,17.65,DECaLS
