grade,threshold,n_pass_DR9-trained,frac_DR9-trained,n_pass_DR7-trained,frac_DR7-trained,delta_DR7_minus_DR9
A,0.5,57,0.95,56,0.9333333333333333,-0.016666666666666607
A,0.7,56,0.9333333333333333,56,0.9333333333333333,0.0
A,0.9,54,0.9,50,0.8333333333333334,-0.06666666666666665
B,0.5,87,0.8207547169811321,81,0.7641509433962265,-0.05660377358490565
B,0.7,86,0.8113207547169812,75,0.7075471698113207,-0.10377358490566047
B,0.9,73,0.6886792452830188,71,0.6698113207547169,-0.018867924528301883
C,0.5,115,0.6534090909090909,85,0.48295454545454547,-0.17045454545454547
C,0.7,102,0.5795454545454546,79,0.44886363636363635,-0.13068181818181823
C,0.9,77,0.4375,56,0.3181818181818182,-0.11931818181818182
ALL,0.5,259,0.7573099415204678,222,0.6491228070175439,-0.10818713450292394
ALL,0.7,244,0.7134502923976608,210,0.6140350877192983,-0.09941520467836251
ALL,0.9,204,0.5964912280701754,177,0.5175438596491229,-0.07894736842105254
