row_id,ra,dec,score,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_hsu2025,in_any_published
413823_97,188.00050666342761,14.422475249011562,1.0,False,False,False,False,False,False
399811_3505,192.98276178316442,12.080924829123502,1.0,False,False,False,False,False,False
351386_1000,215.30618128253494,3.4380114909240467,1.0,False,False,False,False,False,False
435919_5254,182.54168172865053,18.533361021805472,1.0,False,False,False,False,False,False
435919_4528,182.5336676828035,18.527830734236968,1.0,False,False,False,False,False,False
346962_567,188.52279199772173,2.6495529924697134,1.0,False,False,False,False,False,False
435919_3599,182.54035445557818,18.54990978919774,1.0,False,False,False,False,False,False
435919_3544,182.51874965273817,18.52499722216622,1.0,False,False,False,False,False,False
435919_2988,182.50992824167085,18.540653906502907,1.0,False,False,False,False,False,False
435919_2983,182.53468727722054,18.528658716097333,1.0,False,False,False,False,False,False
435919_2977,182.510005207131,18.542204330351844,1.0,False,False,False,False,False,False
435919_2926,182.50310906087395,18.541929723272617,1.0,False,False,False,False,False,False
399811_3539,192.9790763239101,12.082097070071535,1.0,False,False,False,False,False,False
435919_2888,182.5059389805266,18.546687275584098,1.0,False,False,False,False,False,False
420777_674,186.49650299187974,15.670321839196061,1.0,False,False,False,False,False,False
420777_790,186.498078175415,15.67089246256154,1.0,False,False,False,False,False,False
435919_5497,182.5281059981037,18.526517191004803,1.0,False,False,False,False,False,False
415853_1553,352.1368021527686,14.762596501001989,1.0,False,False,False,False,False,False
408158_3237,170.05724342476518,13.590860706313375,1.0,False,False,False,False,False,False
475964_966,189.10797292507976,25.962836172591125,1.0,False,False,False,False,False,False
497539_1693,175.57495330662798,30.2303112191164,1.0,False,False,False,False,False,False
413823_1058,188.0017008867588,14.423401327125795,1.0,False,False,False,False,False,False
399811_3504,192.98631022348422,12.079560138818971,1.0,False,False,False,False,False,False
435919_2800,182.53878853606113,18.534745152010554,1.0,False,False,False,False,False,False
435919_2797,182.5238897213039,18.525699644217312,1.0,False,False,False,False,False,False
475964_1003,189.10563795776187,25.962765391901204,0.9999998807907104,False,False,False,False,False,False
435919_2879,182.5388955890389,18.54507587396679,0.9999998807907104,False,False,False,False,False,False
399811_3432,192.98822940723696,12.078054405335836,0.9999998807907104,False,False,False,False,False,False
435919_2763,182.53332874395898,18.529809015812706,0.9999998807907104,False,False,False,False,False,False
475964_925,189.11040481476994,25.95919613141503,0.9999998807907104,False,False,False,False,False,False
415853_4192,352.1174310514917,14.74129880630402,0.9999998807907104,False,False,False,False,False,False
415853_1269,352.12327700426727,14.742627274999542,0.9999998807907104,False,False,False,False,False,False
408158_4643,170.0559047087193,13.590608788152842,0.9999998807907104,False,False,False,False,False,False
384147_2633,172.52527706108063,9.276293525486766,0.9999998807907104,False,False,False,False,False,False
413823_1054,188.00419596630275,14.41741319812868,0.9999998807907104,False,False,False,False,False,False
435919_3278,182.5410037401513,18.55728792368756,0.9999997615814209,False,False,False,False,False,False
318982_375,33.53336768782567,-2.1079421155277096,0.9999997615814209,False,False,False,False,False,False
435919_5379,182.52060900866186,18.558536210231615,0.9999997615814209,False,False,False,False,False,False
445283_1440,139.1179455711882,20.204076400313774,0.9999997615814209,False,False,False,False,False,False
338341_2265,193.3286794609404,1.275715355632502,0.9999997615814209,False,False,False,False,False,False
475964_998,189.10146196337297,25.967249990197292,0.9999997615814209,False,False,False,False,False,False
415853_1341,352.1383667189715,14.760973464212661,0.9999997615814209,False,False,False,False,False,False
310364_5926,38.20776049427036,-3.3905799288112717,0.9999997615814209,False,False,True,False,False,True
361184_3383,150.00451424090812,5.310324524003369,0.9999997615814209,False,False,False,False,False,False
384210_487,188.4174728605142,9.175048868506975,0.9999997615814209,False,False,False,False,False,False
474832_1096,235.06119753614644,25.678031165876803,0.9999996423721313,False,False,False,False,False,False
455625_2816,27.816100173971243,22.35990372512919,0.9999995231628418,False,False,False,False,False,False
415853_1348,352.12657950347165,14.739310620269826,0.9999995231628418,False,False,False,False,False,False
441355_2473,177.13806848686983,19.500875295849564,0.9999995231628418,False,False,False,False,False,False
435919_3598,182.51148917839606,18.553160302630015,0.9999995231628418,False,False,False,False,False,False
475964_982,189.1149456900047,25.95588383849409,0.9999994039535522,False,False,False,False,False,False
415853_1279,352.1045402226817,14.757640772522997,0.9999994039535522,False,False,False,False,False,False
435919_3549,182.51907857101597,18.554724363902753,0.9999994039535522,False,False,False,False,False,False
377725_4198,349.79850835678235,8.109427327580805,0.9999994039535522,False,False,False,False,False,False
445283_1442,139.1178801508549,20.206850854771158,0.9999992847442627,False,False,False,False,False,False
398372_3516,185.66953602868983,11.790974932219534,0.9999992847442627,False,False,False,False,False,False
435919_3802,182.51847641718234,18.529355216388062,0.9999990463256836,False,False,False,False,False,False
435919_5540,182.51046172643683,18.548684717065104,0.9999990463256836,False,False,False,False,False,False
460119_791,163.1488964392749,22.934295775513867,0.999998927116394,False,False,False,False,False,False
475964_2609,189.0215901039977,26.043431552245725,0.999998927116394,False,False,False,False,False,False
455625_2758,27.815164949315722,22.359950400449243,0.9999988079071045,False,False,False,False,False,False
420777_791,186.49568642653296,15.670772086783538,0.9999986886978149,False,False,False,False,False,False
413823_88,188.00495521637643,14.41507077264886,0.9999986886978149,False,False,False,False,False,False
415853_1878,352.1137894294747,14.761692028559636,0.9999986886978149,False,False,False,False,False,False
388419_1315,174.82346265317068,9.962395285747109,0.9999986886978149,False,False,False,False,False,False
351270_787,186.48829152156927,3.4325454986296333,0.9999985694885254,False,False,False,False,False,False
388693_1918,244.3339949620278,9.975677696998384,0.9999983310699463,False,False,False,False,False,False
435919_3519,182.5371892596956,18.560161570472655,0.9999982118606567,False,False,False,False,False,False
475964_2627,189.00633543553195,26.05752677540761,0.9999982118606567,False,False,False,False,False,False
475964_881,189.09858320183955,25.971582496198153,0.9999980926513672,False,False,False,False,False,False
361184_3537,149.99478843065387,5.313581772998546,0.9999980926513672,False,False,False,False,False,False
475964_1084,189.11178824036327,25.960358372707738,0.9999980926513672,False,False,False,False,False,False
357868_465,38.803823972097774,4.672104527300399,0.9999980926513672,False,False,False,False,False,False
413822_182,187.98648396152694,14.429245723678543,0.9999979734420776,False,False,False,False,False,False
375756_427,213.41152209834118,7.660384411276303,0.9999979734420776,False,False,False,False,False,False
351386_930,215.3115149585674,3.4403900477902,0.9999978542327881,False,False,False,False,False,False
304994_7548,133.5530834403216,-4.402571560138141,0.9999978542327881,False,False,True,False,False,True
487573_4028,204.60565143505016,28.32943726222495,0.9999977350234985,False,False,True,False,False,True
416616_3744,189.53702080239015,15.030898857065782,0.999997615814209,False,False,True,False,False,True
437422_1564,218.44676389072376,18.709821298070715,0.999997615814209,True,False,False,False,False,True
384032_4603,143.3887077480044,9.321930902516636,0.999997615814209,False,False,True,False,False,True
493819_4051,184.96159330093448,29.62042654933167,0.9999974966049194,False,False,False,False,False,False
236716_6395,36.067657847996394,-16.376702582930058,0.9999973773956299,False,False,True,False,False,True
388698_5432,245.57077696330077,10.095556352274471,0.9999969005584717,False,False,False,False,False,False
460308_2294,214.1951624577995,23.00297482787674,0.9999966621398926,False,False,False,False,False,False
363282_6418,316.419475990165,5.6205698637451045,0.999996542930603,False,False,False,False,False,False
351270_824,186.49787345239145,3.4246092029730266,0.9999964237213135,False,False,False,False,False,False
483668_4319,181.94424718898097,27.615154498655066,0.9999963045120239,False,False,True,False,False,True
382722_4470,172.12937382852832,9.104547730671731,0.9999963045120239,False,False,False,False,False,False
494025_2015,244.05780077406502,29.495966791056087,0.9999963045120239,False,False,False,False,False,False
504880_1402,152.0771469431821,31.699487558966947,0.9999961853027344,False,False,True,False,False,True
448316_433,227.57030928183005,20.641847160592953,0.9999960660934448,False,False,False,False,False,False
361184_4263,150.00534915127656,5.311983545656998,0.9999960660934448,False,False,False,False,False,False
351303_3350,194.5344460661925,3.535778696290206,0.9999960660934448,False,False,True,False,True,True
435919_3555,182.52673327978303,18.529349786197127,0.9999959468841553,False,False,False,False,False,False
363282_6385,316.42041661552526,5.620317362369933,0.9999958276748657,False,False,False,False,False,False
353230_6921,317.13081523449534,3.860456919700766,0.9999958276748657,False,False,False,False,False,False
339601_3739,148.39940141018494,1.589292607034651,0.9999957084655762,False,False,False,False,False,False
435919_3800,182.5086611141049,18.551141368070926,0.9999957084655762,False,False,False,False,False,False
460119_894,163.150126356815,22.932098115419937,0.9999953508377075,False,False,False,False,False,False
351386_976,215.30362793874667,3.4333851583557093,0.999995231628418,False,False,False,False,False,False
357868_458,38.795206971615414,4.672247432404685,0.999995231628418,False,False,False,False,False,False
460308_2260,214.19654887820658,23.002437965973964,0.9999948740005493,False,False,False,False,False,False
415853_1660,352.16247260640495,14.71685337624598,0.9999948740005493,False,False,False,False,False,False
448316_420,227.57104771155616,20.642400270040728,0.9999946355819702,False,False,False,False,False,False
434609_5,198.13034760591458,18.18291998783462,0.9999946355819702,False,False,False,False,False,False
411009_1700,183.20212677494007,13.975598885454296,0.999994158744812,False,False,False,False,False,False
475964_2621,189.02214492301246,26.042177248082297,0.9999940395355225,False,False,False,False,False,False
398391_146,190.50571827288206,11.642746805080154,0.9999940395355225,False,False,False,False,False,False
475964_2610,189.02563141786203,26.040922087316673,0.9999940395355225,False,False,False,False,False,False
352048_3595,21.141901983194284,3.7961869782955624,0.9999939203262329,False,False,False,False,False,False
431869_1057,199.10891412585246,17.712224520304325,0.9999939203262329,False,False,False,False,False,False
325489_6598,220.38753065519268,-0.9003930384922006,0.9999936819076538,True,False,False,False,False,True
435919_3251,182.5124712068959,18.538177189710105,0.9999936819076538,False,False,False,False,False,False
435919_3852,182.51289214389914,18.542546170655804,0.9999934434890747,False,False,False,False,False,False
399801_3,190.30103470441873,11.889051754098771,0.9999934434890747,False,False,False,False,False,False
456145_284,168.37338705682598,22.139884956659625,0.9999932050704956,False,False,False,False,False,False
483668_4324,181.94414064141054,27.614268476439204,0.999993085861206,False,False,True,False,False,True
372788_796,185.9505040022605,7.182934183892633,0.999992847442627,False,False,False,False,False,False
332669_6320,215.26541400082863,0.3719229329061241,0.9999924898147583,False,False,True,False,False,True
325489_6596,220.38611034009136,-0.8995257046798373,0.9999924898147583,True,False,False,False,False,True
460119_889,163.14982249440104,22.932255368640988,0.9999918937683105,False,False,False,False,False,False
331753_2485,346.3402962264587,-0.03658524190011984,0.9999915361404419,False,False,False,False,False,False
491258_1711,172.31833162648905,28.958847446563855,0.9999914169311523,False,False,False,False,False,False
352713_1948,187.57968739369716,3.734210170943017,0.9999914169311523,False,False,False,False,False,False
338341_2203,193.3384066076988,1.2692214168287068,0.9999912977218628,False,False,False,False,False,False
352590_3030,156.91344474777085,3.786589486807556,0.9999909400939941,False,False,False,False,False,False
475964_2594,189.02865907018113,26.038398312446326,0.9999905824661255,False,False,False,False,False,False
242312_3892,50.35666090315489,-15.500984838352208,0.9999902248382568,False,False,False,False,False,False
301694_5565,26.267899735994895,-4.930956500145744,0.9999899864196777,False,False,True,False,False,True
388634_3617,229.26557948847173,10.05727301001564,0.9999896287918091,True,False,False,False,False,True
256199_2718,29.681921323369014,-13.025851097665132,0.99998939037323,False,False,False,False,False,False
427486_1714,132.9693435568415,17.029429615533118,0.9999892711639404,False,False,False,False,False,False
488866_2278,211.3600538532019,28.56620788958743,0.9999890327453613,False,False,False,False,False,False
443940_3705,142.53899941996812,20.08340774786812,0.9999890327453613,False,False,False,False,False,False
361184_3392,150.006820656689,5.351470014807947,0.9999890327453613,False,False,False,False,False,False
472155_1003,214.6278010837613,25.181439737268317,0.9999889135360718,False,False,True,False,False,True
396958_2273,185.31668518443402,11.51800721394529,0.9999885559082031,False,False,False,False,False,False
330973_6056,151.38323532775166,0.07247906995465685,0.9999885559082031,False,False,False,False,False,False
417952_3882,175.04984602733603,15.340442575330616,0.9999884366989136,False,False,False,False,False,False
315929_2082,350.3354957119022,-2.7513460459263865,0.999988317489624,False,False,False,False,False,False
504914_521,162.0204049935986,31.647919420648527,0.9999881982803345,True,False,False,False,False,True
381533_2982,231.49978370724068,8.777439358322733,0.9999879598617554,True,False,False,False,False,True
456149_4275,169.34269169894972,22.33848748372045,0.9999878406524658,False,False,False,False,False,False
493819_4443,184.97915977727868,29.616473459049224,0.9999873638153076,False,False,False,False,False,False
413822_572,187.98640721402415,14.426362816137582,0.9999873638153076,False,False,False,False,False,False
285076_5334,167.99052498200098,-7.886615731037826,0.9999868869781494,False,False,False,False,False,False
246400_2325,27.9723209535992,-14.806889120579756,0.9999861717224121,False,False,True,False,False,True
352713_1956,187.57928470473792,3.7351962439618673,0.9999858140945435,False,False,False,False,False,False
411198_4896,231.87694964480454,14.116662538350761,0.9999856948852539,False,False,False,False,False,False
340324_316,329.0356961496024,1.3909260783710224,0.9999853372573853,False,False,False,False,False,False
504880_1403,152.07629367781718,31.700498328835607,0.9999853372573853,False,False,True,False,False,True
506199_2869,179.18482456486856,32.016669125115506,0.9999853372573853,False,False,False,False,False,False
475964_2522,189.00231607445284,26.06235427994501,0.999984622001648,False,False,False,False,False,False
460308_2262,214.19426993236,23.00345670897102,0.999984622001648,False,False,False,False,False,False
334726_4066,9.663414903961945,0.7291466941319846,0.9999845027923584,False,False,False,False,False,False
257579_238,23.34216687940773,-12.867051408288114,0.9999843835830688,False,False,False,False,False,False
357868_483,38.7456361967638,4.672110901187887,0.9999841451644897,False,False,False,False,False,False
