grade,threshold,n_pass_DR9-trained,frac_DR9-trained,n_pass_DR7-trained,frac_DR7-trained,delta_DR7_minus_DR9
A,0.5,57,0.95,56,0.9333333333333333,-0.016666666666666607
A,0.7,56,0.9333333333333333,55,0.9166666666666666,-0.01666666666666672
A,0.9,54,0.9,50,0.8333333333333334,-0.06666666666666665
B,0.5,87,0.8207547169811321,83,0.7830188679245284,-0.037735849056603765
B,0.7,86,0.8113207547169812,80,0.7547169811320755,-0.05660377358490565
B,0.9,73,0.6886792452830188,68,0.6415094339622641,-0.047169811320754707
C,0.5,115,0.6534090909090909,85,0.48295454545454547,-0.17045454545454547
C,0.7,102,0.5795454545454546,72,0.4090909090909091,-0.17045454545454547
C,0.9,77,0.4375,49,0.2784090909090909,-0.15909090909090912
ALL,0.5,259,0.7573099415204678,224,0.6549707602339181,-0.10233918128654973
ALL,0.7,244,0.7134502923976608,207,0.6052631578947368,-0.10818713450292394
ALL,0.9,204,0.5964912280701754,167,0.48830409356725146,-0.10818713450292394
