[train] device: cuda
[split] kept 5837/5949 rows with FITS on disk (929 positives)
[split] split counts:
label     0    1
split           
test    490   93
train  3436  650
val     982  186
[stat] computing per-band mean/std from 500 training cutouts
[stat] mean=[0.003005614271387458, 0.0058005983009934425, 0.01092549692839384],  std=[0.11233286559581757, 0.15523555874824524, 0.21915051341056824]
[e  1] lr=1.0e-03  train=0.4158  val=0.4458  val_auc=0.5838  t=0.2 min
[e  2] lr=1.0e-03  train=0.2386  val=0.9837  val_auc=0.1858  t=0.3 min
[e  3] lr=1.0e-03  train=0.2280  val=0.5229  val_auc=0.6854  t=0.5 min
[e  4] lr=1.0e-03  train=0.2134  val=0.2159  val_auc=0.9567  t=0.6 min
[e  5] lr=1.0e-03  train=0.1932  val=0.2537  val_auc=0.9410  t=0.8 min
[e  6] lr=1.0e-03  train=0.1946  val=0.4000  val_auc=0.9462  t=1.0 min
[e  7] lr=1.0e-03  train=0.1954  val=0.2518  val_auc=0.9711  t=1.1 min
[e  8] lr=1.0e-03  train=0.1829  val=0.2657  val_auc=0.9233  t=1.3 min
[e  9] lr=1.0e-03  train=0.1728  val=1.0948  val_auc=0.9141  t=1.4 min
[e 10] lr=1.0e-03  train=0.1643  val=0.2709  val_auc=0.9180  t=1.6 min
[e 11] lr=1.0e-03  train=0.1521  val=0.2919  val_auc=0.9613  t=1.8 min
[e 12] lr=1.0e-03  train=0.1793  val=0.4820  val_auc=0.9207  t=1.9 min
[e 13] lr=1.0e-03  train=0.1738  val=0.1867  val_auc=0.9607  t=2.1 min
[e 14] lr=1.0e-03  train=0.1745  val=0.4452  val_auc=0.9713  t=2.2 min
[e 15] lr=1.0e-03  train=0.1515  val=0.3265  val_auc=0.8873  t=2.4 min
[e 16] lr=1.0e-03  train=0.1479  val=0.2365  val_auc=0.9808  t=2.6 min
[e 17] lr=1.0e-03  train=0.1407  val=0.2211  val_auc=0.9635  t=2.7 min
[e 18] lr=1.0e-03  train=0.1259  val=0.1249  val_auc=0.9840  t=2.9 min
[e 19] lr=1.0e-03  train=0.1385  val=0.1788  val_auc=0.9827  t=3.1 min
[e 20] lr=1.0e-03  train=0.1179  val=0.1169  val_auc=0.9933  t=3.2 min
[e 21] lr=1.0e-03  train=0.1081  val=0.2329  val_auc=0.9825  t=3.4 min
[e 22] lr=1.0e-03  train=0.0930  val=0.2005  val_auc=0.9845  t=3.5 min
[e 23] lr=1.0e-03  train=0.0945  val=0.1099  val_auc=0.9914  t=3.7 min
