name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-002.0299+18.3723,2.0299,18.3723,A,3.5,l18,DECaLS,0.97,DC,0.4724,,0.999819815158844,0.1702961569544076,True,0.9997499585151672,0.1702961569544076,True,True,0.999819815158844,True
DESI-003.6745-13.5042,3.6745,-13.5042,A,4.0,l18,DECaLS,0.34,DC,,0.406+/-0.021,0.993883490562439,0.09435798835311036,True,0.9855770468711853,0.09435798835311036,True,True,0.993883490562439,True
DESI-006.0673-28.7195,6.0673,-28.7195,A,4.0,l18,DECaLS,0.97,REX,,0.533+/-0.025,0.9993915557861328,1.6375763378927974,True,0.9996334314346313,1.6375763378927974,True,True,0.9996334314346313,True
DESI-007.6741-33.9765,7.6741,-33.9765,A,3.5,shielded,DECaLS,0.2,REX,,0.858+/-0.041,0.000271930533926934,103.20980861876588,False,0.0009590732515789568,103.20980861876588,False,False,0.0009590732515789568,False
DESI-007.8631-01.7215,7.8631,-1.7215,A,4.0,shielded,DECaLS,0.53,DC,0.5201,,0.06786560267210007,0.21399986840176255,True,0.7657317519187927,0.21399986840176255,True,False,0.7657317519187927,True
DESI-008.0136+07.6678,8.0136,7.6678,A,4.0,l18,DECaLS,0.99,DC,0.5566,,0.9999690055847168,0.10579731513309305,True,0.9999247789382935,0.10579731513309305,True,True,0.9999690055847168,True
DESI-008.0732+01.0100,8.0732,1.01,A,3.5,l18,DECaLS,0.31,DC,,0.426+/-0.091,0.977049708366394,4.881679060442096,True,0.9889070987701416,4.881679060442096,True,True,0.9889070987701416,True
DESI-008.6173+02.4228,8.6173,2.4228,A,4.0,shielded,DECaLS,0.54,DC,0.4548,,0.9991968274116516,0.5606640443907464,True,0.9992215633392334,0.5606640443907464,True,False,0.9992215633392334,True
DESI-009.7307+07.3230,9.7307,7.323,A,3.5,l18,DECaLS,0.22,DC,0.2547,,0.9993090629577637,0.027010983086287455,True,0.9661633372306824,0.027010983086287455,True,True,0.9993090629577637,True
DESI-010.0606-06.7620,10.0606,-6.762,A,3.5,l18,DECaLS,1.0,REX,0.6152,,0.015306016430258751,18.178700298465607,False,0.1575171947479248,18.178700298465607,False,True,0.1575171947479248,False
DESI-010.8534-20.6214,10.8534,-20.6214,A,4.0,l18,DECaLS,0.11,DC,0.3381,,0.8648470044136047,8.954895992536303,False,0.8352625966072083,8.954895992536303,False,True,0.8648470044136047,False
DESI-011.9249-19.6443,11.9249,-19.6443,A,3.5,l18,DECaLS,0.84,DC,,0.688+/-0.056,0.9679331183433533,0.11894319857214694,True,0.9437305927276611,0.11894319857214694,True,True,0.9679331183433533,True
DESI-012.1155-17.9645,12.1155,-17.9645,A,3.5,shielded,DECaLS,0.9,DC,,0.735+/-0.069,0.9954724907875061,0.05679722593511004,True,0.9841558933258057,0.05679722593511004,True,False,0.9954724907875061,True
DESI-012.9008-09.3904,12.9008,-9.3904,A,3.5,l18,DECaLS,1.0,DC,0.4485,,0.999962568283081,0.07670579231640298,True,0.9999399185180664,0.07670579231640298,True,True,0.999962568283081,True
DESI-014.9899+13.3320,14.9899,13.332,A,3.5,shielded,DECaLS,0.91,DC,0.5163,,0.9963474869728088,0.06915704968445599,True,0.9949782490730286,0.06915704968445599,True,False,0.9963474869728088,True
DESI-015.6763-14.0150,15.6763,-14.015,A,3.5,l18,DECaLS,1.0,DC,,0.658+/-0.036,0.9999659061431885,0.13340565852047553,True,0.9997507929801941,0.13340565852047553,True,True,0.9999659061431885,True
