name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z
DESI-002.0299+18.3723,2.0299,18.3723,A,3.5,l18,DECaLS,0.97,DC,0.4724,nan
DESI-003.6745-13.5042,3.6745,-13.5042,A,4.0,l18,DECaLS,0.34,DC,,0.406+/-0.021
DESI-006.0673-28.7195,6.0673,-28.7195,A,4.0,l18,DECaLS,0.97,REX,,0.533+/-0.025
DESI-007.6741-33.9765,7.6741,-33.9765,A,3.5,shielded,DECaLS,0.2,REX,,0.858+/-0.041
DESI-007.8631-01.7215,7.8631,-1.7215,A,4.0,shielded,DECaLS,0.53,DC,0.5201,nan
DESI-008.0136+07.6678,8.0136,7.6678,A,4.0,l18,DECaLS,0.99,DC,0.5566,nan
DESI-008.0732+01.0100,8.0732,1.01,A,3.5,l18,DECaLS,0.31,DC,,0.426+/-0.091
DESI-008.6173+02.4228,8.6173,2.4228,A,4.0,shielded,DECaLS,0.54,DC,0.4548,nan
DESI-009.7307+07.3230,9.7307,7.323,A,3.5,l18,DECaLS,0.22,DC,0.2547,nan
DESI-010.0606-06.7620,10.0606,-6.762,A,3.5,l18,DECaLS,1.0,REX,0.6152,nan
DESI-010.8534-20.6214,10.8534,-20.6214,A,4.0,l18,DECaLS,0.11,DC,0.3381,nan
DESI-011.9249-19.6443,11.9249,-19.6443,A,3.5,l18,DECaLS,0.84,DC,,0.688+/-0.056
DESI-012.1155-17.9645,12.1155,-17.9645,A,3.5,shielded,DECaLS,0.9,DC,,0.735+/-0.069
DESI-012.9008-09.3904,12.9008,-9.3904,A,3.5,l18,DECaLS,1.0,DC,0.4485,nan
DESI-014.9899+13.3320,14.9899,13.332,A,3.5,shielded,DECaLS,0.91,DC,0.5163,nan
DESI-015.6763-14.0150,15.6763,-14.015,A,3.5,l18,DECaLS,1.0,DC,,0.658+/-0.036
DESI-015.8440-18.3629,15.844,-18.3629,A,3.5,l18,DECaLS,1.0,DC,,0.364+/-0.019
DESI-016.2202-07.9520,16.2202,-7.952,A,4.0,shielded,DECaLS,0.48,DC,,0.764+/-0.032
DESI-016.7705-31.4780,16.7705,-31.478,A,4.0,l18,DECaLS,1.0,DC,,0.772+/-0.018
DESI-017.4814+04.1605,17.4814,4.1605,A,4.0,l18,DECaLS,0.19,DC,,0.281+/-0.140
DESI-018.1307-62.1502,18.1307,-62.1502,A,4.0,shielded,DECaLS,0.99,REX,,0.427+/-0.024
DESI-021.0887-32.0706,21.0887,-32.0706,A,3.5,shielded,DECaLS,0.82,DC,,0.754+/-0.080
DESI-022.2123-29.9602,22.2123,-29.9602,A,4.0,l18,DECaLS,1.0,DC,,0.649+/-0.023
DESI-022.3887-15.1097,22.3887,-15.1097,A,4.0,l18,DECaLS,1.0,DC,,0.524+/-0.063
DESI-024.2940-10.5728,24.294,-10.5728,A,3.5,l18,DECaLS,0.87,DC,0.4135,nan
DESI-024.5974-28.7358,24.5974,-28.7358,A,3.5,l18,DECaLS,1.0,DC,,0.414+/-0.022
DESI-024.7783+22.1231,24.7783,22.1231,A,3.5,l18,DECaLS,0.13,DC,0.4684,nan
DESI-025.9952+12.9370,25.9952,12.937,A,3.5,l18,DECaLS,0.92,DC,0.5114,nan
DESI-026.2765+10.3100,26.2765,10.31,A,3.5,l18,DECaLS,0.28,REX,,0.462+/-0.138
DESI-027.2716-16.9818,27.2716,-16.9818,A,3.5,l18,DECaLS,0.92,DC,0.6916,nan
DESI-027.4831-28.5753,27.4831,-28.5753,A,3.5,l18,DECaLS,0.97,DC,,0.557+/-0.008
DESI-027.9088-04.1209,27.9088,-4.1209,A,3.5,l18,DECaLS,0.81,DC,0.6412,nan
DESI-027.9613-10.0977,27.9613,-10.0977,A,4.0,l18,DECaLS,1.0,DC,0.5234,nan
DESI-029.4044-12.3606,29.4044,-12.3606,A,4.0,shielded,DECaLS,0.96,REX,,0.747+/-0.169
DESI-030.4025+03.7476,30.4025,3.7476,A,4.0,l18,DECaLS,0.64,DC,0.1696,nan
DESI-031.3208-01.3890,31.3208,-1.389,A,3.5,shielded,DECaLS,1.0,REX,0.6992,nan
DESI-031.6711-17.9929,31.6711,-17.9929,A,3.5,shielded,DECaLS,0.1,REX,0.1548,nan
DESI-031.7778-27.4457,31.7778,-27.4457,A,4.0,shielded,DECaLS,1.0,DC,,0.294+/-0.018
DESI-032.4042-25.3555,32.4042,-25.3555,A,3.5,l18,DECaLS,0.49,DC,,0.224+/-0.015
DESI-032.4765-35.7990,32.4765,-35.799,A,4.0,shielded,DECaLS,0.98,REX,,0.380+/-0.076
DESI-034.2366-59.8485,34.2366,-59.8485,A,4.0,shielded,DECaLS,0.66,REX,,0.498+/-0.017
DESI-035.2405-38.5511,35.2405,-38.5511,A,4.0,shielded,DECaLS,0.45,REX,,0.407+/-0.038
DESI-035.7946-22.8049,35.7946,-22.8049,A,3.5,l18,DECaLS,1.0,DC,,0.890+/-0.048
DESI-036.2340+08.8300,36.234,8.83,A,4.0,l18,DECaLS,1.0,DC,,0.326+/-0.035
DESI-036.8326-24.1921,36.8326,-24.1921,A,3.5,shielded,DECaLS,0.39,REX,,0.405+/-0.022
DESI-037.0621-29.3949,37.0621,-29.3949,A,3.5,l18,DECaLS,0.93,DC,,0.312+/-0.013
DESI-037.4837-31.1730,37.4837,-31.173,A,3.5,l18,DECaLS,0.99,DC,,0.466+/-0.075
DESI-038.0264-35.4899,38.0264,-35.4899,A,3.5,l18,DECaLS,1.0,REX,,0.550+/-0.097
DESI-038.8136-21.5095,38.8136,-21.5095,A,4.0,shielded,DECaLS,0.94,REX,,0.328+/-0.035
DESI-040.2205-05.8472,40.2205,-5.8472,A,3.5,l18,DECaLS,0.97,DC,0.5238,nan
DESI-040.5664-25.1054,40.5664,-25.1054,A,4.0,shielded,DECaLS,0.82,REX,,0.325+/-0.045
DESI-040.7627-00.1001,40.7627,-0.1001,A,3.5,l18,DECaLS,1.0,DC,0.4127,nan
