name,RA,DEC,grade,probability,region,tractor_type,ref,status,bytes
DESI-000.7487-62.6672,0.7486770989,-62.667184,A,0.86,DECaLS,SER,v,skip,126720
DESI-002.0671-32.6207,2.067074425,-32.62068797,A,1.0,DECaLS,SER,,skip,126720
DESI-003.7407+01.6170,3.740665466,1.616990123,A,1.0,DECaLS,SER,v,skip,126720
DESI-007.0497-48.4352,7.049747968,-48.43519273,A,0.95,DECaLS,SER,w v,skip,126720
DESI-008.6210-45.8601,8.62096961,-45.8600867,A,0.97,DECaLS,SER,v,skip,126720
DESI-008.7996-12.5759,8.799559226,-12.57593998,A,0.76,DECaLS,DEV,v,skip,126720
DESI-008.8610-50.3323,8.861018559,-50.33226182,A,0.96,DECaLS,DEV,v,skip,126720
DESI-010.4613-51.9640,10.4613,-51.964,A,0.91,DECaLS,SER,v,ok,126720
DESI-011.5581-57.6993,11.5581,-57.6993,A,0.98,DECaLS,DEV,i,ok,126720
DESI-011.9124+03.3756,11.91235937,3.375600742,A,0.63,DECaLS,SER,,ok,126720
DESI-011.9630-32.8146,11.96299132,-32.81457493,A,0.86,DECaLS,SER,,ok,126720
DESI-012.4931+02.4544,12.4931099,2.45440469,A,0.76,DECaLS,SER,v,ok,126720
DESI-013.8723-61.1577,13.87232329,-61.15770038,A,1.0,DECaLS,REX,v,ok,126720
DESI-014.7032-07.3658,14.70317218,-7.365779525,A,0.54,DECaLS,DEV,c,skip,126720
DESI-019.4298-48.7097,19.42979809,-48.70965833,A,0.65,DECaLS,SER,v,skip,126720
DESI-019.6775-61.9369,19.6775,-61.9369,A,0.9,DECaLS,SER,i,skip,126720
DESI-022.0258+09.2466,22.02575928,9.246556441,A,0.67,DECaLS,DEV,,skip,126720
DESI-022.5121-37.7494,22.51206743,-37.74941171,A,1.0,DECaLS,SER,i,skip,126720
DESI-024.5157-21.9255,24.5157,-21.9255,A,0.96,DECaLS,SER,*,skip,126720
DESI-026.1684-22.2294,26.1684,-22.2294,A,0.99,DECaLS,SER,v,skip,126720
DESI-026.9170-63.5249,26.91700019,-63.52485145,A,1.0,DECaLS,DEV,v,skip,126720
DESI-027.8231-35.7416,27.8231,-35.7416,A,0.81,DECaLS,SER,,skip,126720
DESI-029.3099-16.8074,29.30991276,-16.80736685,A,0.96,DECaLS,SER,*,skip,126720
DESI-029.7667-34.2179,29.76665562,-34.21788775,A,0.43,DECaLS,SER,i,skip,126720
DESI-029.7678-34.8361,29.7678,-34.8361,A,0.94,DECaLS,SER,v,skip,126720
DESI-030.4758-45.3282,30.47584092,-45.32820671,A,1.0,DECaLS,REX,,skip,126720
DESI-030.7893-20.2850,30.7893,-20.285,A,0.5,DECaLS,SER,,skip,126720
DESI-031.1951+15.4749,31.1972,15.4757,A,0.99,DECaLS,DEV,,skip,126720
DESI-033.5683-21.0934,33.56832955,-21.09336764,A,0.78,DECaLS,DEV,,skip,126720
DESI-038.1381-21.2907,38.138,-21.2902,A,0.4,DECaLS,SER,,skip,126720
DESI-041.2769+17.5516,41.27690458,17.55156867,A,0.91,DECaLS,SER,v,skip,126720
DESI-042.0407-39.9298,42.04070905,-39.9297516,A,1.0,DECaLS,SER,i,skip,126720
DESI-047.8930-20.6032,47.89303798,-20.60320921,A,1.0,DECaLS,SER,v,skip,126720
DESI-048.8383-59.9134,48.83829467,-59.91342756,A,1.0,DECaLS,SER,w v,skip,126720
DESI-048.8685-27.9494,48.8685,-27.9494,A,0.97,DECaLS,DEV,v,skip,126720
DESI-051.8347-36.9727,51.83465886,-36.97270857,A,1.0,DECaLS,SER,v,skip,126720
DESI-051.8647-13.4416,51.8647,-13.4416,A,0.85,DECaLS,SER,i,skip,126720
DESI-052.0567-21.6721,52.0567,-21.6721,A,0.98,DECaLS,DEV,,skip,126720
DESI-053.1876-08.4334,53.1876,-8.4334,A,0.46,DECaLS,SER,,skip,126720
DESI-054.2561-43.4765,54.25605136,-43.47652474,A,1.0,DECaLS,SER,v,skip,126720
DESI-054.3808-55.3028,54.3808,-55.3028,A,0.96,DECaLS,SER,,skip,126720
DESI-055.6612-29.2920,55.66117595,-29.29197173,A,0.92,DECaLS,SER,v,skip,126720
DESI-059.0260-56.1248,59.026,-56.1248,A,0.97,DECaLS,REX,,skip,126720
DESI-060.4915-48.7503,60.49149897,-48.75031889,A,1.0,DECaLS,SER,,skip,126720
DESI-061.2266-26.9897,61.22658879,-26.98972119,A,0.85,DECaLS,DEV,,skip,126720
DESI-061.8151-57.2176,61.81508181,-57.21763243,A,1.0,DECaLS,SER,i,skip,126720
DESI-063.3487-51.2974,63.34868501,-51.29741064,A,1.0,DECaLS,EXP,w,skip,126720
DESI-065.2010-56.5130,65.20099377,-56.51301275,A,0.97,DECaLS,SER,,skip,126720
DESI-065.6056-40.5322,65.60555998,-40.53216846,A,1.0,DECaLS,SER,i,skip,126720
DESI-066.1612-33.2949,66.1612,-33.2949,A,1.0,DECaLS,DEV,i,skip,126720
DESI-072.5019-33.0483,72.50191398,-33.04825672,A,0.96,DECaLS,DEV,v,skip,126720
DESI-072.9777+00.1050,72.9777,0.105,A,0.93,DECaLS,DEV,,skip,126720
DESI-073.2574-41.6668,73.25735143,-41.66681522,A,0.8,DECaLS,DEV,v,skip,126720
DESI-073.4708-50.3764,73.47076154,-50.37636364,A,0.99,DECaLS,SER,v t,skip,126720
DESI-074.6339-09.1200,74.6339,-9.12,A,0.99,DECaLS,SER,,skip,126720
DESI-074.9287-37.9363,74.92871389,-37.93629237,A,0.73,DECaLS,SER,w v,skip,126720
DESI-082.7593-40.7222,82.75930722,-40.72221209,A,1.0,DECaLS,SER,v,skip,126720
DESI-084.0219-53.6464,84.0219,-53.6464,A,0.41,DECaLS,DEV,i f,skip,126720
DESI-085.3628-58.7975,85.36279885,-58.79749385,A,0.99,DECaLS,SER,,skip,126720
DESI-085.8768-36.4863,85.87680379,-36.48627487,A,0.41,DECaLS,SER,v,skip,126720
DESI-091.1805-41.8103,91.18049141,-41.81029307,A,1.0,DECaLS,REX,,skip,126720
DESI-091.7214-58.9787,91.72143421,-58.9787342,A,1.0,DECaLS,DEV,v t,skip,126720
DESI-095.2850-61.3067,95.28498667,-61.30673545,A,1.0,DECaLS,SER,v,skip,126720
