name,RA,DEC,grade,p_resnet,p_effnet,p_meta,tractor_type,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-002.9275-15.3912,2.927494251,-15.39123746,A,0.9976,0.8896,0.9885,DEV,True,0.99878544,1.0,0.99974686,0.9993927180767059
DESI-003.1004-15.5554,3.100362545,-15.5553923,A,1.0,0.997,0.992,REX,True,0.9955996,0.98961747,0.9997166,0.9926085472106934
DESI-007.5424-48.1651,7.542423282,-48.16513942,A,0.9821,0.9939,0.991,SER,True,0.9993519,0.9999224,0.9997485,0.9996371567249298
DESI-009.8932-39.4632,9.893188431,-39.46320147,A,0.9846,0.9965,0.9912,SER,True,0.86647385,0.9999609,0.9988564,0.9332173764705658
DESI-0012.3375-41.7949,12.33749954,-41.79491051,A,0.99,0.9468,0.99,DEV,True,0.61258686,0.9999988,0.99112636,0.8062928318977356
DESI-0013.1549-65.5914,13.15485111,-65.59142626,A,0.9611,0.9578,0.9884,SER,True,0.9992275,1.0,0.9997483,0.9996137619018555
DESI-0015.0083+10.8338,15.00825832,10.83379403,A,0.9998,0.9928,0.9919,DEV,True,0.99772173,0.9999201,0.9997435,0.9988209307193756
DESI-0015.8184-51.1939,15.81837791,-51.19386001,A,0.9963,0.9796,0.9914,DEV,True,0.9989693,0.99999106,0.99974746,0.9994801878929138
DESI-0016.9290-76.1465,16.92896318,-76.14653604,A,1.0,0.9984,0.9921,SER,True,0.9999739,1.0,0.99975055,0.9999869465827942
DESI-0020.2472-66.0929,20.24716842,-66.09286306,A,0.9961,0.9687,0.991,SER,True,0.9983669,0.9999999,0.99974567,0.9991833865642548
DESI-0020.5245-68.8209,20.52454627,-68.82094716,A,1.0,0.9922,0.9919,DEV,True,0.99994314,0.99999964,0.99975044,0.9999713897705078
DESI-0022.7303+32.2755,22.7303036,32.27546101,A,0.9966,0.9525,0.9906,SER,True,0.012249812,0.67848873,0.0466316,0.34536927146837115
DESI-0022.7404-78.1135,22.74040611,-78.11353563,A,1.0,0.9999,0.9921,SER,True,0.99999964,1.0,0.99975055,0.9999998211860657
DESI-0029.5402-41.5609,29.54017238,-41.56089718,A,0.9999,0.9992,0.9921,SER,True,0.96907455,0.9999987,0.9996393,0.9845366179943085
DESI-0029.6701-35.7796,29.67008333,-35.77961946,A,0.9534,0.9368,0.9869,SER,True,0.9737282,0.92171913,0.99939656,0.9477236568927765
DESI-0030.6126+21.4872,30.61258158,21.48723588,A,0.9937,0.9927,0.9916,SER,True,0.22665744,0.6055632,0.07836334,0.4161103293299675
DESI-0031.9692-65.4404,31.9692454,-65.44036217,A,0.9978,0.9992,0.992,SER,True,0.88730854,0.99998,0.99909437,0.943644255399704
DESI-0036.4326-56.8604,36.43255519,-56.8604494,A,0.9998,0.9973,0.992,DEV,True,0.9999212,0.99999654,0.9997503,0.999958872795105
DESI-0037.4073-66.4542,37.40733248,-66.45418592,A,1.0,0.9987,0.9921,REX,True,0.9991634,0.99676454,0.9997421,0.9979639649391174
DESI-0043.4272-50.3218,43.42724016,-50.32183075,A,0.9786,0.9675,0.9899,SER,True,0.9995191,0.99999046,0.9997491,0.999754786491394
DESI-0046.8775-58.2000,46.87752057,-58.19998464,A,0.9735,0.9915,0.9904,SER,True,0.9967739,0.9999913,0.99974066,0.9983825981616974
DESI-0050.7925-73.1051,50.79249957,-73.10505249,A,1.0,0.9987,0.9921,SER,True,0.9998172,0.9999999,0.9997501,0.9999085366725922
DESI-0052.6687-71.6900,52.6687208,-71.68996014,A,0.9665,0.9539,0.9886,SER,True,0.9984328,0.83317953,0.999246,0.9158061742782593
DESI-0066.3585-16.5116,66.35849285,-16.51158403,A,1.0,0.9999,0.9921,SER,True,0.99965775,0.99944955,0.9997485,0.9995536506175995
DESI-0069.0021-54.2729,69.00209095,-54.27285147,A,1.0,0.9987,0.9921,SER,True,0.99997544,1.0,0.99975055,0.9999877214431763
DESI-0069.3583-13.6992,69.35826143,-13.69924422,A,1.0,0.9999,0.9921,SER,True,0.99938273,1.0,0.99974877,0.999691367149353
DESI-0069.8343-53.1623,69.83428549,-53.16233266,A,0.9586,0.9486,0.9878,SER,True,0.99993443,0.99999344,0.9997503,0.9999639391899109
DESI-0070.6064-49.6164,70.60636891,-49.61640522,A,0.9994,0.9993,0.9921,SER,True,0.99992394,0.99999976,0.9997503,0.9999618530273438
DESI-0073.5132-00.2697,73.51321511,-0.2697458364,A,0.9904,0.9934,0.9914,REX,True,0.18797135,0.9373607,0.8327925,0.5626660287380219
DESI-0075.1017-55.5796,75.10174887,-55.57963739,A,0.9999,0.94,0.9904,EXP,True,0.9988312,0.999928,0.999747,0.9993796050548553
DESI-0078.9477+00.6104,78.94766482,0.610380773,A,0.9986,0.9944,0.9919,SER,True,0.5644344,0.9997391,0.988572,0.7820867598056793
DESI-0082.7651-52.3560,82.7650732,-52.35601577,A,0.9774,0.9992,0.9909,SER,True,0.9984584,0.9999999,0.9997459,0.9992291331291199
DESI-0087.5461-42.5349,87.54611457,-42.53490246,A,0.9959,0.9728,0.9912,SER,True,0.99884415,0.997088,0.99974173,0.997966080904007
DESI-100.2679-73.2037,100.26789,-73.20373446,A,1.0,0.999,0.9921,DEV,True,1.0,0.9999995,0.99975055,0.9999997615814209
DESI-101.7512-60.0105,101.7511924,-60.0105122,A,1.0,0.9966,0.992,EXP,True,0.9998511,0.99999976,0.9997501,0.999925434589386
DESI-104.0983-60.5722,104.0982719,-60.57221962,A,0.996,0.9871,0.9916,DEV,True,0.9999527,0.999995,0.99975044,0.9999738335609436
DESI-111.6648-71.6189,111.6647916,-71.61885966,A,0.9999,0.9975,0.9921,SER,True,0.99293184,0.9999987,0.9997285,0.996465265750885
DESI-112.8249-49.5872,112.8248521,-49.58719671,A,0.9972,0.9951,0.9918,REX,True,0.8323543,0.9451797,0.9971915,0.8887670040130615
DESI-120.9722+16.4645,120.9721878,16.46449442,A,0.933,0.9807,0.9871,SER,True,0.074369095,0.9430103,0.73805034,0.5086896829307079
DESI-121.5120-75.6973,121.512041,-75.69734599,A,1.0,0.9999,0.9921,DEV,True,0.9999572,1.0,0.99975044,0.9999786019325256
DESI-140.1567-14.7808,140.156696,-14.78075909,A,1.0,0.9988,0.9921,SER,True,0.9999907,0.99999964,0.99975055,0.9999951720237732
DESI-147.3619-10.2049,147.3618864,-10.20492766,A,1.0,0.998,0.9921,SER,True,0.9993685,0.9999999,0.99974865,0.9996841847896576
DESI-149.5658-26.2742,149.5658354,-26.27416656,A,0.9986,0.9791,0.9915,SER,True,0.99322104,1.0,0.99972945,0.9966105222702026
DESI-149.7335-27.7043,149.7335465,-27.70432694,A,1.0,1.0,0.9921,SER,True,0.99999654,1.0,0.99975055,0.9999982714653015
DESI-150.0859-22.1093,150.0858873,-22.10925528,A,0.9649,0.9543,0.9885,SER,True,0.9948143,1.0,0.9997346,0.9974071383476257
DESI-150.4648-14.1468,150.4647856,-14.14679173,A,0.9879,0.9848,0.991,SER,True,0.7910252,0.99826884,0.99733716,0.8946470320224762
DESI-151.4396-26.9855,151.4396258,-26.98545328,A,0.9965,0.9987,0.9919,SER,True,0.9999995,0.9999999,0.99975055,0.9999997019767761
DESI-152.4529-29.3443,152.4529016,-29.34430737,A,0.9985,0.9987,0.992,SER,True,0.99971014,0.99991477,0.9997496,0.9998124539852142
DESI-153.2397-28.1333,153.2396786,-28.13331391,A,0.9994,0.9957,0.992,SER,True,0.9989072,1.0,0.99974734,0.999453604221344
DESI-154.3691-05.4686,154.369115,-5.468568575,A,0.996,0.9785,0.9913,REX,True,0.9929824,0.99992967,0.9997285,0.9964560270309448
DESI-154.7965-28.6227,154.7964825,-28.62271697,A,0.9756,0.9982,0.9907,SER,True,0.99502146,0.9999578,0.9997352,0.9974896311759949
DESI-158.5889-31.7811,158.5888798,-31.78107131,A,1.0,0.9998,0.9921,SER,True,0.9999871,1.0,0.99975055,0.9999935626983643
DESI-158.7010-27.7608,158.7009589,-27.76079602,A,0.9985,0.9899,0.9918,SER,True,0.99996686,0.9999999,0.99975044,0.9999833703041077
DESI-160.3585-22.8330,160.3585234,-22.83296881,A,1.0,0.9999,0.9921,EXP,True,0.9999789,0.9999138,0.9997503,0.9999463558197021
DESI-166.4713-30.3784,166.4712808,-30.3783783,A,0.9772,0.9894,0.9906,SER,True,0.9619928,0.9997352,0.999608,0.9808639883995056
DESI-169.2257-24.4115,169.2256563,-24.41149871,A,0.9991,0.9695,0.9912,SER,True,0.9978859,0.9999752,0.9997441,0.9989305436611176
DESI-175.4393-16.7365,175.4392568,-16.73645671,A,0.9858,0.9901,0.9911,REX,True,0.86655307,0.9993104,0.9988502,0.9329317212104797
DESI-176.9702-12.9798,176.9701521,-12.97975288,A,0.9987,0.9945,0.9919,SER,True,0.028494366,0.9881429,0.8059867,0.5083186365664005
DESI-178.6236-13.1824,178.6235942,-13.18236197,A,0.9989,0.9916,0.9918,EXP,True,0.9977276,0.99992657,0.9997435,0.9988270699977875
DESI-178.6759-33.0783,178.6758967,-33.07832913,A,0.9892,0.9986,0.9915,SER,True,0.98925763,1.0,0.9997162,0.9946288168430328
DESI-179.1634-26.1826,179.1634034,-26.18256601,A,0.9979,0.9984,0.992,SER,True,0.92103547,0.9999769,0.99938035,0.9605061709880829
DESI-181.1951-14.7696,181.1950785,-14.76958047,A,0.9998,0.9851,0.9917,SER,True,0.9994429,0.9999559,0.99974877,0.9996993839740753
DESI-183.1260-12.2723,183.1259598,-12.27231274,A,0.9995,0.9985,0.9921,SER,True,0.9737809,0.9999988,0.99965835,0.9868898391723633
DESI-183.8159-33.6010,183.8158512,-33.60098013,A,0.992,0.9793,0.9911,SER,True,0.999944,0.99999905,0.99975044,0.9999715089797974
DESI-185.4863-23.4949,185.486279,-23.49492929,A,0.9995,0.9976,0.992,SER,True,0.19725743,0.99976534,0.92846596,0.5985113829374313
DESI-186.1889+09.5193,186.188944,9.519283325,A,0.9831,0.9812,0.9907,SER,True,0.9972011,0.9993051,0.9997408,0.9982531070709229
DESI-186.8614-18.8383,186.8613711,-18.83826059,A,1.0,0.9993,0.9921,REX,True,0.9999919,0.99999726,0.99975055,0.9999945759773254
DESI-188.0397-36.3922,188.0396528,-36.39215153,A,0.9998,0.9996,0.9921,SER,True,0.9999994,1.0,0.99975055,0.9999997019767761
DESI-196.6416-10.4170,196.641579,-10.41703744,A,1.0,0.9995,0.9921,EXP,True,0.9993297,0.99999297,0.9997485,0.9996613264083862
DESI-201.2755-32.2152,201.2754586,-32.21524741,A,0.9987,0.997,0.992,SER,True,0.9999968,1.0,0.99975055,0.9999983906745911
DESI-203.2558-36.5024,203.2558255,-36.50237194,A,1.0,0.9998,0.9921,SER,True,0.9996549,1.0,0.9997496,0.9998274445533752
DESI-203.5306-28.3736,203.5305754,-28.37364326,A,0.9999,0.9989,0.9921,SER,True,0.9999212,0.9999951,0.9997503,0.9999581575393677
DESI-204.6894-14.2806,204.6894057,-14.28064895,A,0.9999,0.9961,0.992,SER,True,0.9997756,0.9999999,0.99974996,0.9998877346515656
DESI-205.4919-23.7762,205.4919193,-23.77615208,A,0.9987,0.9979,0.992,SER,True,0.99989665,0.9999783,0.9997502,0.9999374747276306
DESI-206.3066-30.3072,206.3066442,-30.30722127,A,0.9995,0.9996,0.9921,SER,True,0.99877733,1.0,0.99974686,0.9993886649608612
DESI-208.9615+15.1200,208.9615411,15.11996981,A,0.9978,0.9627,0.991,REX,True,0.18502077,0.0058617136,0.0004326731,0.09544124407693744
DESI-208.9735-15.1783,208.9735348,-15.17833764,A,0.9994,0.9888,0.9918,SER,True,0.999338,0.99999154,0.9997485,0.9996647536754608
DESI-209.6781-20.0351,209.678053,-20.03506241,A,0.9997,0.9971,0.992,REX,True,0.9999974,0.9999989,0.99975055,0.999998152256012
DESI-214.1163-83.8508,214.1163421,-83.85084722,A,0.9991,0.9965,0.992,SER,True,0.9996475,0.9939512,0.9997384,0.9967993497848511
