name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-000.7487-62.6672,0.7486770989,-62.667184,A,0.86,DECaLS,SER,v,True,0.07505763,0.99795425,0.8622933,0.5365059413015842
DESI-002.0671-32.6207,2.067074425,-32.62068797,A,1.0,DECaLS,SER,,True,0.9999993,1.0,0.99975055,0.9999996423721313
DESI-003.7407+01.6170,3.740665466,1.616990123,A,1.0,DECaLS,SER,v,True,0.9978828,0.9999702,0.9997441,0.9989264905452728
DESI-007.0497-48.4352,7.049747968,-48.43519273,A,0.95,DECaLS,SER,w v,True,0.9999658,1.0,0.99975044,0.9999828934669495
DESI-008.6210-45.8601,8.62096961,-45.8600867,A,0.97,DECaLS,SER,v,True,0.99910295,0.99999976,0.99974793,0.9995513558387756
DESI-008.7996-12.5759,8.799559226,-12.57593998,A,0.76,DECaLS,DEV,v,True,0.52581155,0.99995875,0.9860882,0.7628851532936096
DESI-008.8610-50.3323,8.861018559,-50.33226182,A,0.96,DECaLS,DEV,v,True,0.9921559,0.99999964,0.999726,0.9960777759552002
DESI-010.4613-51.9640,10.4613,-51.964,A,0.91,DECaLS,SER,v,True,0.99999905,1.0,0.99975055,0.9999995231628418
DESI-011.5581-57.6993,11.5581,-57.6993,A,0.98,DECaLS,DEV,i,True,0.99797815,0.9999969,0.9997445,0.9989875257015228
DESI-011.9124+03.3756,11.91235937,3.375600742,A,0.63,DECaLS,SER,,True,0.012701296,0.68144155,0.04840937,0.34707142086699605
DESI-011.9630-32.8146,11.96299132,-32.81457493,A,0.86,DECaLS,SER,,True,0.16163076,0.24903119,0.0016617468,0.2053309753537178
DESI-012.4931+02.4544,12.4931099,2.45440469,A,0.76,DECaLS,SER,v,True,0.99615115,0.984664,0.99970824,0.9904075860977173
DESI-013.8723-61.1577,13.87232329,-61.15770038,A,1.0,DECaLS,REX,v,True,0.9996749,0.9999943,0.9997496,0.9998345971107483
DESI-014.7032-07.3658,14.70317218,-7.365779525,A,0.54,DECaLS,DEV,c,True,0.7549399,0.99992645,0.9962561,0.877433180809021
DESI-019.4298-48.7097,19.42979809,-48.70965833,A,0.65,DECaLS,SER,v,True,0.059333123,0.89406437,0.5604531,0.47669874504208565
DESI-019.6775-61.9369,19.6775,-61.9369,A,0.9,DECaLS,SER,i,True,0.9993279,1.0,0.9997485,0.9996639490127563
DESI-022.0258+09.2466,22.02575928,9.246556441,A,0.67,DECaLS,DEV,,True,0.18429436,0.9975254,0.92109334,0.5909098759293556
DESI-022.5121-37.7494,22.51206743,-37.74941171,A,1.0,DECaLS,SER,i,True,0.99999285,1.0,0.99975055,0.9999964237213135
DESI-024.5157-21.9255,24.5157,-21.9255,A,0.96,DECaLS,SER,*,True,0.9997471,1.0,0.99974984,0.999873548746109
DESI-026.1684-22.2294,26.1684,-22.2294,A,0.99,DECaLS,SER,v,True,0.75605524,0.9913731,0.9959037,0.8737141788005829
DESI-026.9170-63.5249,26.91700019,-63.52485145,A,1.0,DECaLS,DEV,v,True,0.9996031,0.9999473,0.99974924,0.9997752010822296
DESI-027.8231-35.7416,27.8231,-35.7416,A,0.81,DECaLS,SER,,True,0.9428021,0.9999924,0.9995147,0.9713972210884094
DESI-029.3099-16.8074,29.30991276,-16.80736685,A,0.96,DECaLS,SER,*,True,0.99894136,0.99897003,0.99974555,0.9989556968212128
DESI-029.7667-34.2179,29.76665562,-34.21788775,A,0.43,DECaLS,SER,i,True,0.99568826,0.99999905,0.9997373,0.9978436529636383
DESI-029.7678-34.8361,29.7678,-34.8361,A,0.94,DECaLS,SER,v,True,0.9987067,0.9999629,0.9997466,0.9993348121643066
DESI-030.4758-45.3282,30.47584092,-45.32820671,A,1.0,DECaLS,REX,,True,0.9983852,0.9988564,0.99974364,0.9986208081245422
DESI-030.7893-20.2850,30.7893,-20.285,A,0.5,DECaLS,SER,,True,0.9839612,1.0,0.9996977,0.9919806122779846
DESI-031.1951+15.4749,31.1972,15.4757,A,0.99,DECaLS,DEV,,True,0.97527856,0.9997136,0.99966383,0.9874960780143738
DESI-033.5683-21.0934,33.56832955,-21.09336764,A,0.78,DECaLS,DEV,,True,0.00875026,0.89973664,0.5103436,0.4542434513568878
