name,RA,DEC,grade,p_resnet,p_effnet,p_meta,tractor_type
DESI-002.9275-15.3912,2.927494251,-15.39123746,A,0.9976,0.8896,0.9885,DEV
DESI-003.1004-15.5554,3.100362545,-15.5553923,A,1.0,0.997,0.992,REX
DESI-007.5424-48.1651,7.542423282,-48.16513942,A,0.9821,0.9939,0.991,SER
DESI-009.8932-39.4632,9.893188431,-39.46320147,A,0.9846,0.9965,0.9912,SER
DESI-0012.3375-41.7949,12.33749954,-41.79491051,A,0.99,0.9468,0.99,DEV
DESI-0013.1549-65.5914,13.15485111,-65.59142626,A,0.9611,0.9578,0.9884,SER
DESI-0015.0083+10.8338,15.00825832,10.83379403,A,0.9998,0.9928,0.9919,DEV
DESI-0015.8184-51.1939,15.81837791,-51.19386001,A,0.9963,0.9796,0.9914,DEV
DESI-0016.9290-76.1465,16.92896318,-76.14653604,A,1.0,0.9984,0.9921,SER
DESI-0020.2472-66.0929,20.24716842,-66.09286306,A,0.9961,0.9687,0.991,SER
DESI-0020.5245-68.8209,20.52454627,-68.82094716,A,1.0,0.9922,0.9919,DEV
DESI-0022.7303+32.2755,22.7303036,32.27546101,A,0.9966,0.9525,0.9906,SER
DESI-0022.7404-78.1135,22.74040611,-78.11353563,A,1.0,0.9999,0.9921,SER
DESI-0029.5402-41.5609,29.54017238,-41.56089718,A,0.9999,0.9992,0.9921,SER
DESI-0029.6701-35.7796,29.67008333,-35.77961946,A,0.9534,0.9368,0.9869,SER
DESI-0030.6126+21.4872,30.61258158,21.48723588,A,0.9937,0.9927,0.9916,SER
DESI-0031.9692-65.4404,31.9692454,-65.44036217,A,0.9978,0.9992,0.992,SER
DESI-0036.4326-56.8604,36.43255519,-56.8604494,A,0.9998,0.9973,0.992,DEV
DESI-0037.4073-66.4542,37.40733248,-66.45418592,A,1.0,0.9987,0.9921,REX
DESI-0043.4272-50.3218,43.42724016,-50.32183075,A,0.9786,0.9675,0.9899,SER
DESI-0046.8775-58.2000,46.87752057,-58.19998464,A,0.9735,0.9915,0.9904,SER
DESI-0050.7925-73.1051,50.79249957,-73.10505249,A,1.0,0.9987,0.9921,SER
DESI-0052.6687-71.6900,52.6687208,-71.68996014,A,0.9665,0.9539,0.9886,SER
DESI-0066.3585-16.5116,66.35849285,-16.51158403,A,1.0,0.9999,0.9921,SER
DESI-0069.0021-54.2729,69.00209095,-54.27285147,A,1.0,0.9987,0.9921,SER
DESI-0069.3583-13.6992,69.35826143,-13.69924422,A,1.0,0.9999,0.9921,SER
DESI-0069.8343-53.1623,69.83428549,-53.16233266,A,0.9586,0.9486,0.9878,SER
DESI-0070.6064-49.6164,70.60636891,-49.61640522,A,0.9994,0.9993,0.9921,SER
DESI-0073.5132-00.2697,73.51321511,-0.2697458364,A,0.9904,0.9934,0.9914,REX
DESI-0075.1017-55.5796,75.10174887,-55.57963739,A,0.9999,0.94,0.9904,EXP
DESI-0078.9477+00.6104,78.94766482,0.610380773,A,0.9986,0.9944,0.9919,SER
DESI-0082.7651-52.3560,82.7650732,-52.35601577,A,0.9774,0.9992,0.9909,SER
DESI-0087.5461-42.5349,87.54611457,-42.53490246,A,0.9959,0.9728,0.9912,SER
DESI-100.2679-73.2037,100.26789,-73.20373446,A,1.0,0.999,0.9921,DEV
DESI-101.7512-60.0105,101.7511924,-60.0105122,A,1.0,0.9966,0.992,EXP
DESI-104.0983-60.5722,104.0982719,-60.57221962,A,0.996,0.9871,0.9916,DEV
DESI-111.6648-71.6189,111.6647916,-71.61885966,A,0.9999,0.9975,0.9921,SER
DESI-112.8249-49.5872,112.8248521,-49.58719671,A,0.9972,0.9951,0.9918,REX
DESI-120.9722+16.4645,120.9721878,16.46449442,A,0.933,0.9807,0.9871,SER
DESI-121.5120-75.6973,121.512041,-75.69734599,A,1.0,0.9999,0.9921,DEV
DESI-140.1567-14.7808,140.156696,-14.78075909,A,1.0,0.9988,0.9921,SER
DESI-147.3619-10.2049,147.3618864,-10.20492766,A,1.0,0.998,0.9921,SER
DESI-149.5658-26.2742,149.5658354,-26.27416656,A,0.9986,0.9791,0.9915,SER
DESI-149.7335-27.7043,149.7335465,-27.70432694,A,1.0,1.0,0.9921,SER
DESI-150.0859-22.1093,150.0858873,-22.10925528,A,0.9649,0.9543,0.9885,SER
DESI-150.4648-14.1468,150.4647856,-14.14679173,A,0.9879,0.9848,0.991,SER
DESI-151.4396-26.9855,151.4396258,-26.98545328,A,0.9965,0.9987,0.9919,SER
DESI-152.4529-29.3443,152.4529016,-29.34430737,A,0.9985,0.9987,0.992,SER
DESI-153.2397-28.1333,153.2396786,-28.13331391,A,0.9994,0.9957,0.992,SER
DESI-154.3691-05.4686,154.369115,-5.468568575,A,0.996,0.9785,0.9913,REX
DESI-154.7965-28.6227,154.7964825,-28.62271697,A,0.9756,0.9982,0.9907,SER
DESI-158.5889-31.7811,158.5888798,-31.78107131,A,1.0,0.9998,0.9921,SER
DESI-158.7010-27.7608,158.7009589,-27.76079602,A,0.9985,0.9899,0.9918,SER
DESI-160.3585-22.8330,160.3585234,-22.83296881,A,1.0,0.9999,0.9921,EXP
DESI-166.4713-30.3784,166.4712808,-30.3783783,A,0.9772,0.9894,0.9906,SER
DESI-169.2257-24.4115,169.2256563,-24.41149871,A,0.9991,0.9695,0.9912,SER
DESI-175.4393-16.7365,175.4392568,-16.73645671,A,0.9858,0.9901,0.9911,REX
DESI-176.9702-12.9798,176.9701521,-12.97975288,A,0.9987,0.9945,0.9919,SER
DESI-178.6236-13.1824,178.6235942,-13.18236197,A,0.9989,0.9916,0.9918,EXP
DESI-178.6759-33.0783,178.6758967,-33.07832913,A,0.9892,0.9986,0.9915,SER
DESI-179.1634-26.1826,179.1634034,-26.18256601,A,0.9979,0.9984,0.992,SER
DESI-181.1951-14.7696,181.1950785,-14.76958047,A,0.9998,0.9851,0.9917,SER
DESI-183.1260-12.2723,183.1259598,-12.27231274,A,0.9995,0.9985,0.9921,SER
DESI-183.8159-33.6010,183.8158512,-33.60098013,A,0.992,0.9793,0.9911,SER
DESI-185.4863-23.4949,185.486279,-23.49492929,A,0.9995,0.9976,0.992,SER
DESI-186.1889+09.5193,186.188944,9.519283325,A,0.9831,0.9812,0.9907,SER
DESI-186.8614-18.8383,186.8613711,-18.83826059,A,1.0,0.9993,0.9921,REX
DESI-188.0397-36.3922,188.0396528,-36.39215153,A,0.9998,0.9996,0.9921,SER
DESI-196.6416-10.4170,196.641579,-10.41703744,A,1.0,0.9995,0.9921,EXP
DESI-201.2755-32.2152,201.2754586,-32.21524741,A,0.9987,0.997,0.992,SER
DESI-203.2558-36.5024,203.2558255,-36.50237194,A,1.0,0.9998,0.9921,SER
DESI-203.5306-28.3736,203.5305754,-28.37364326,A,0.9999,0.9989,0.9921,SER
DESI-204.6894-14.2806,204.6894057,-14.28064895,A,0.9999,0.9961,0.992,SER
DESI-205.4919-23.7762,205.4919193,-23.77615208,A,0.9987,0.9979,0.992,SER
DESI-206.3066-30.3072,206.3066442,-30.30722127,A,0.9995,0.9996,0.9921,SER
DESI-208.9615+15.1200,208.9615411,15.11996981,A,0.9978,0.9627,0.991,REX
DESI-208.9735-15.1783,208.9735348,-15.17833764,A,0.9994,0.9888,0.9918,SER
DESI-209.6781-20.0351,209.678053,-20.03506241,A,0.9997,0.9971,0.992,REX
DESI-214.1163-83.8508,214.1163421,-83.85084722,A,0.9991,0.9965,0.992,SER
DESI-294.3087-46.3818,294.3086527,-46.38182042,A,0.9413,0.9757,0.9875,REX
DESI-298.7054-52.5322,298.7054495,-52.53219144,A,0.9924,0.999,0.9917,REX
