RA,DEC,source,is_new,Name,status,flux_std
0.3735,-0.0449,Sonnenfeld2020_SuGOHI_VI,True,DESI-000.3735-00.0449,fail:,0.0
0.75,0.8938,Sonnenfeld2020_SuGOHI_VI,True,DESI-000.7500+00.8938,fail:,0.0
0.8045,0.907,Sonnenfeld2020_SuGOHI_VI,True,DESI-000.8045+00.9070,fail:,0.0
1.216,-1.0546,Sonnenfeld2020_SuGOHI_VI,True,DESI-001.2160-01.0546,fail:,0.0
1.2743,1.1683,Sonnenfeld2020_SuGOHI_VI,True,DESI-001.2743+01.1683,ok,0.005785227753221989
1.6858,1.6899,Sonnenfeld2020_SuGOHI_VI,True,DESI-001.6858+01.6899,fail:,0.0
1.7338,-0.6809,Sonnenfeld2020_SuGOHI_VI,True,DESI-001.7338-00.6809,ok,0.017124373465776443
2.0587,0.1891,Sonnenfeld2020_SuGOHI_VI,True,DESI-002.0587+00.1891,fail:,0.0
2.0592,2.0223,Sonnenfeld2020_SuGOHI_VI,True,DESI-002.0592+02.0223,ok,0.033670488744974136
2.2033,0.2641,Sonnenfeld2020_SuGOHI_VI,True,DESI-002.2033+00.2641,ok,0.15963202714920044
2.3109,0.1758,Sonnenfeld2020_SuGOHI_VI,True,DESI-002.3109+00.1758,ok,0.011768141761422157
2.3094,1.7908,Sonnenfeld2020_SuGOHI_VI,True,DESI-002.3094+01.7908,ok,0.008856168016791344
3.114,0.4545,Sonnenfeld2020_SuGOHI_VI,True,DESI-003.1140+00.4545,ok,0.006968734785914421
3.7254,-0.9523,Sonnenfeld2020_SuGOHI_VI,True,DESI-003.7254-00.9523,ok,0.01938643679022789
4.7652,2.3967,Sonnenfeld2020_SuGOHI_VI,True,DESI-004.7652+02.3967,ok,0.7090325951576233
5.0671,0.0794,Sonnenfeld2020_SuGOHI_VI,True,DESI-005.0671+00.0794,ok,0.30093568563461304
6.2305,0.3192,Sonnenfeld2020_SuGOHI_VI,True,DESI-006.2305+00.3192,ok,0.03287868574261665
7.5105,-0.1745,Sonnenfeld2020_SuGOHI_VI,True,DESI-007.5105-00.1745,ok,0.0266053918749094
