bucket,grade,model,n,frac_ge_0.1,frac_ge_0.5,frac_ge_0.9
all,A,resnet,115,0.9043478260869565,0.8434782608695652,0.7217391304347827
all,A,effnet,115,0.9478260869565217,0.9391304347826087,0.8608695652173913
all,A,meta,115,0.9478260869565217,0.9304347826086956,0.8521739130434782
all,A,avg,115,0.9739130434782609,0.8869565217391304,0.7304347826086957
all,B,resnet,526,0.9201520912547528,0.8307984790874525,0.6653992395437263
all,B,effnet,526,0.967680608365019,0.94106463878327,0.8783269961977186
all,B,meta,526,0.9391634980988594,0.9296577946768061,0.8650190114068441
all,B,avg,526,0.9809885931558935,0.9106463878326996,0.7091254752851711
all,C,resnet,1254,0.8779904306220095,0.7631578947368421,0.6068580542264753
all,C,effnet,1254,0.9473684210526315,0.9178628389154705,0.854066985645933
all,C,meta,1254,0.9218500797448166,0.8947368421052632,0.8070175438596491
all,C,avg,1254,0.9609250398724083,0.8755980861244019,0.6427432216905901
all,ALL,resnet,1895,0.891292875989446,0.7868073878627968,0.6300791556728232
all,ALL,effnet,1895,0.9530343007915567,0.9255936675461741,0.8612137203166227
all,ALL,meta,1895,0.9282321899736148,0.9065963060686015,0.8258575197889182
all,ALL,avg,1895,0.9672823218997362,0.8860158311345646,0.666490765171504
honest,A,resnet,115,0.9043478260869565,0.8434782608695652,0.7217391304347827
honest,A,effnet,115,0.9478260869565217,0.9391304347826087,0.8608695652173913
honest,A,meta,115,0.9478260869565217,0.9304347826086956,0.8521739130434782
honest,A,avg,115,0.9739130434782609,0.8869565217391304,0.7304347826086957
honest,B,resnet,526,0.9201520912547528,0.8307984790874525,0.6653992395437263
honest,B,effnet,526,0.967680608365019,0.94106463878327,0.8783269961977186
honest,B,meta,526,0.9391634980988594,0.9296577946768061,0.8650190114068441
honest,B,avg,526,0.9809885931558935,0.9106463878326996,0.7091254752851711
honest,C,resnet,1253,0.8778930566640064,0.7629688747007183,0.6073423782920989
honest,C,effnet,1253,0.9481245011971269,0.9185953711093376,0.8547486033519553
honest,C,meta,1253,0.9217877094972067,0.8954509177972865,0.8076616121308858
honest,C,avg,1253,0.9608938547486033,0.8762968874700718,0.6432561851556265
honest,ALL,resnet,1894,0.8912354804646251,0.7866948257655755,0.6304118268215417
honest,ALL,effnet,1894,0.9535374868004224,0.9260823653643083,0.8616684266103485
honest,ALL,meta,1894,0.928194297782471,0.9070749736008448,0.8262935586061246
honest,ALL,avg,1894,0.9672650475184794,0.8864836325237593,0.6668426610348469
leaked,C,resnet,1,1.0,1.0,0.0
leaked,C,effnet,1,0.0,0.0,0.0
leaked,C,meta,1,1.0,0.0,0.0
leaked,C,avg,1,1.0,0.0,0.0
leaked,ALL,resnet,1,1.0,1.0,0.0
leaked,ALL,effnet,1,0.0,0.0,0.0
leaked,ALL,meta,1,1.0,0.0,0.0
leaked,ALL,avg,1,1.0,0.0,0.0
