name,ra,dec,survey_key,score_1_4,grade_letter,label_source,bench_overlap,pool_split
DESI-003.6745-13.5042,3.6745,-13.5042,ls-dr9,4,A,paper2_agree,True,
DESI-006.0673-28.7195,6.0673,-28.7195,ls-dr9,4,A,paper2_agree,False,
DESI-007.8631-01.7215,7.8631,-1.7215,ls-dr9,4,A,paper2_agree,False,
DESI-008.0136+07.6678,8.0136,7.6678,ls-dr9,4,A,paper2_agree,False,
DESI-008.6173+02.4228,8.6173,2.4228,ls-dr9,4,A,paper2_agree,False,
DESI-010.8534-20.6214,10.8534,-20.6214,ls-dr9,4,A,paper2_agree,False,
DESI-016.2202-07.9520,16.2202,-7.952,ls-dr9,4,A,paper2_agree,False,
DESI-016.7705-31.4780,16.7705,-31.478,ls-dr9,4,A,paper2_agree,False,
DESI-017.4814+04.1605,17.4814,4.1605,ls-dr9,4,A,paper2_agree,False,
DESI-018.1307-62.1502,18.1307,-62.1502,ls-dr9,4,A,paper2_agree,False,
DESI-022.2123-29.9602,22.2123,-29.9602,ls-dr9,4,A,paper2_agree,False,
DESI-022.3887-15.1097,22.3887,-15.1097,ls-dr9,4,A,paper2_agree,False,
DESI-027.9613-10.0977,27.9613,-10.0977,ls-dr9,4,A,paper2_agree,False,
DESI-029.4044-12.3606,29.4044,-12.3606,ls-dr9,4,A,paper2_agree,False,
DESI-030.4025+03.7476,30.4025,3.7476,ls-dr9,4,A,paper2_agree,False,
DESI-031.7778-27.4457,31.7778,-27.4457,ls-dr9,4,A,paper2_agree,True,
DESI-032.4765-35.7990,32.4765,-35.799,ls-dr9,4,A,paper2_agree,False,
DESI-034.2366-59.8485,34.2366,-59.8485,ls-dr9,4,A,paper2_agree,False,
DESI-035.2405-38.5511,35.2405,-38.5511,ls-dr9,4,A,paper2_agree,False,
DESI-036.2340+08.8300,36.234,8.83,ls-dr9,4,A,paper2_agree,False,
DESI-038.8136-21.5095,38.8136,-21.5095,ls-dr9,4,A,paper2_agree,False,
DESI-040.5664-25.1054,40.5664,-25.1054,ls-dr9,4,A,paper2_agree,False,
DESI-041.7608+03.9333,41.7608,3.9333,ls-dr9,4,A,paper2_agree,False,
DESI-043.5347-28.7960,43.5347,-28.796,ls-dr9,4,A,paper2_agree,True,
DESI-046.7690-06.4805,46.769,-6.4805,ls-dr9,4,A,paper2_agree,False,
DESI-053.6254-13.1866,53.6254,-13.1866,ls-dr9,4,A,paper2_agree,True,
DESI-055.7976-28.4777,55.7976,-28.4777,ls-dr9,4,A,paper2_agree,False,
DESI-057.2074-10.2962,57.2074,-10.2962,ls-dr9,4,A,paper2_agree,True,
DESI-058.6486-30.5959,58.6486,-30.5959,ls-dr9,4,A,paper2_agree,False,
DESI-058.7926-18.5262,58.7926,-18.5262,ls-dr9,4,A,paper2_agree,True,
DESI-060.5238-22.0990,60.5238,-22.099,ls-dr9,4,A,paper2_agree,True,
DESI-064.8536-25.2248,64.8536,-25.2248,ls-dr9,4,A,paper2_agree,True,
DESI-065.6447-28.0652,65.6447,-28.0652,ls-dr9,4,A,paper2_agree,False,
DESI-066.1601-07.6524,66.1601,-7.6524,ls-dr9,4,A,paper2_agree,False,
DESI-069.0007-11.5477,69.0007,-11.5477,ls-dr9,4,A,paper2_agree,False,
DESI-070.1928-26.9754,70.1928,-26.9754,ls-dr9,4,A,paper2_agree,False,
