unit_id,candidate_id,alias_ids,system_id,ra_deg,dec_deg,stratum,substratum,pipe_grade_passcount,pipe_inspector_conf,pipe_score,center_galaxy_type,rank_top100,prior_exposure,lit_known,layout,cowls_ranking,cowls_theta_E,known_lens_name,known_type,known_sep_arcsec,desi_pool_overlap,desi_pool_split,sw_obs,lw_obs,sw_filter,lw_filter,proposal,field_id
u0001,J11454711+6555180,,1,114.54710586496464,65.55179987276509,U_tail,rank_101_300,U,25.0,1.2475585498526425,ambiguous,,0,False,color,,,,,,False,,jw01638-o001_t001_nircam_clear-f150w,jw01638-o001_t001_nircam_clear-f277w,F150W,F277W,1638,864
u0002,J19789495-132348,,2,197.894952382993,-1.323477683109878,T_verified,B,B,32.0,3.2989171951791203,elliptical,9,2,True,color,,,,,,False,,jw05782-o001_t001_nircam_clear-f150w,jw05782-o001_t001_nircam_clear-f277w,F150W,F277W,5782,77
u0003,J804181+1819597,,3,8.041808668532905,18.1959685703313,T_U,,U,28.0,1.271125434536952,ambiguous,32,1,False,color,,,,,,False,,jw06882-o003_t003_nircam_clear-f150w,jw06882-o003_t003_nircam_clear-f277w,F150W,F277W,6882,59
u0004,J15026528+186865,,4,150.2652785784783,1.868654246299661,K_cowls,pipe_U,U,15.0,1.167567346161546,compact,,0,True,color,UUXXXX,0.7904203340370174,COSJ100103+015207,COWLS,0.0134382279670835,False,,jw01727-o147_t135_nircam_clear-f150w,jw01727-o147_t135_nircam_clear-f277w,F150W,F277W,1727,70
u0005,J30791374-4058431,,5,307.9137443956342,-40.58430646165332,T_verified,A,A,75.0,3.6846804791368246,elliptical,4,2,True,color,,,,,,True,valsel,jw06882-o039_t042_nircam_clear-f150w,jw06882-o039_t042_nircam_clear-f277w,F150W,F277W,6882,99
u0006,J17710747+5286937,,6,177.10747083706843,52.869373748316306,D_refuted,ring_spiral,D,35.0,0.3253219038995892,ring,,0,False,color,,,,,,False,,jw01243-o002_t002_nircam_clear-f200w,jw01243-o002_t002_nircam_clear-f356w,F200W,F356W,1243,244
u0007,J20945435-1082161,,7,209.454347231917,-10.82161121182037,T_U,,U,25.0,1.2576747090676863,merger,50,1,False,gray_lw_only,,,,,,False,,,jw01568-o003_t002_nircam_clear-f322w2,,F322W2,1568,589
u0008,J803366+1819844,,8,8.033656632162394,18.19844141510758,D_refuted,ring_spiral,D,35.0,0.3188961667278506,ring,,0,False,color,,,,,,False,,jw06882-o003_t003_nircam_clear-f150w,jw06882-o003_t003_nircam_clear-f277w,F150W,F277W,6882,59
u0009,J9006236-2015944,,9,90.06236311245328,-20.15944453386363,T_U,,U,28.0,1.271657035246099,irregular,30,1,False,color,,,,,,False,,jw01567-o004_t008_nircam_clear-f150w,jw06796-o010_t001_nircam_clear-f277w,F150W,F277W,1567,58
u0010,J928927+915106,,10,9.289272836561272,9.15106352917912,L_known,pipe_D,D,45.0,0.3996646220840078,ambiguous,,0,True,color,,,[SZS2014] A68/HLS115,SIMBAD:LeG,1.11,False,,jw06882-o005_t005_nircam_clear-f150w,jw06882-o005_t005_nircam_clear-f277w,F150W,F277W,6882,181
