candidate_id,channel,filter,obs_id,url,arcsec,out_px,finite_fraction,path,sha256,fetched_at
J14992998+247126,SW,F150W,jw01727-o043_t019_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o043/jw01727-o043_t019_nircam_clear-f150w_i2d.fits,10.0,320,1.0,golden/stamps/J14992998+247126/J14992998+247126_SW_10as.fits,13d31cfacc693db72ba6ca540976f417b5cb30553d35c5ebc5118dd1826a9c62,2026-08-23T16:59:47+00:00
J14992998+247126,LW,F277W,jw01727-o043_t019_nircam_clear-f277w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o043/jw01727-o043_t019_nircam_clear-f277w_i2d.fits,10.0,320,1.0,golden/stamps/J14992998+247126/J14992998+247126_LW_10as.fits,509aa2d247958b2f21e0e52eaacc18412a0e88f501314bbc90a2a483f5b6d0d1,2026-08-23T16:59:47+00:00
J14992998+247126,SW,F150W,jw01727-o043_t019_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o043/jw01727-o043_t019_nircam_clear-f150w_i2d.fits,20.0,640,0.9998,golden/stamps/J14992998+247126/J14992998+247126_SW_20as.fits,df23713119a2cae755e738501814564113e5c4861e746dde64374496b6d5b6c2,2026-08-23T16:59:47+00:00
J14992998+247126,LW,F277W,jw01727-o043_t019_nircam_clear-f277w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o043/jw01727-o043_t019_nircam_clear-f277w_i2d.fits,20.0,640,0.9943,golden/stamps/J14992998+247126/J14992998+247126_LW_20as.fits,c5b81fb7e18df2a120b6b890f8db1d266d7000e0b719002669fcb56db84880ab,2026-08-23T16:59:47+00:00
J14992998+247126,COMPOSITE,F150W+F277W,,,10.0,240,1.0,golden/stamps/J14992998+247126/J14992998+247126_v1.jpg,40bae72ec254c656979b68e5c0c4c3d50c6d76da00622db03065262e727352b6,2026-08-23T16:59:47+00:00
J15015168+187204,SW,F150W,jw01727-o142_t112_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o142/jw01727-o142_t112_nircam_clear-f150w_i2d.fits,10.0,320,1.0,golden/stamps/J15015168+187204/J15015168+187204_SW_10as.fits,431b690975e2338b58a1c68f7061184a5538d252aaedd7a62e31d38b27083423,2026-08-23T16:49:21+00:00
J15015168+187204,LW,F277W,jw01727-o142_t112_nircam_clear-f277w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o142/jw01727-o142_t112_nircam_clear-f277w_i2d.fits,10.0,320,1.0,golden/stamps/J15015168+187204/J15015168+187204_LW_10as.fits,2036e4670ae4bd073d274c5aadf71c84db341f165c7956c29f928c57bd194f8c,2026-08-23T16:49:21+00:00
J15015168+187204,SW,F150W,jw01727-o142_t112_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o142/jw01727-o142_t112_nircam_clear-f150w_i2d.fits,20.0,640,1.0,golden/stamps/J15015168+187204/J15015168+187204_SW_20as.fits,f684678bbc7602826f6533a7ebd5226bdad6c8b6fec1769c094fd90c686b633c,2026-08-23T16:49:21+00:00
J15015168+187204,LW,F277W,jw01727-o142_t112_nircam_clear-f277w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o142/jw01727-o142_t112_nircam_clear-f277w_i2d.fits,20.0,640,1.0,golden/stamps/J15015168+187204/J15015168+187204_LW_20as.fits,88a9921475e40017374e784395f574294a9b71cb18108d0f2c0f29401d106ccd,2026-08-23T16:49:21+00:00
J15015168+187204,COMPOSITE,F150W+F277W,,,10.0,240,1.0,golden/stamps/J15015168+187204/J15015168+187204_v1.jpg,480730aeeac17de51d847ea4e383e41969d67f148135240a7a1a14d40b3414d0,2026-08-23T16:49:21+00:00
J15020525+185780,SW,F150W,jw01727-o146_t128_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o146/jw01727-o146_t128_nircam_clear-f150w_i2d.fits,10.0,320,1.0,golden/stamps/J15020525+185780/J15020525+185780_SW_10as.fits,8b0df6d0f4acb42625fc3c98c784729f4d21d0b79224c53fbb0bdd1394a100c1,2026-08-23T16:38:14+00:00
J15020525+185780,LW,F277W,jw01727-o146_t128_nircam_clear-f277w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o146/jw01727-o146_t128_nircam_clear-f277w_i2d.fits,10.0,320,1.0,golden/stamps/J15020525+185780/J15020525+185780_LW_10as.fits,f31f7b48dc0e8735c1338dd150705ac5086d307fdc7ee46b346c97129dcbdb8b,2026-08-23T16:38:14+00:00
J15020525+185780,SW,F150W,jw01727-o146_t128_nircam_clear-f150w,https://stpubdata.s3.amazonaws.com/jwst/public/jw01727/L3/t/o146/jw01727-o146_t128_nircam_clear-f150w_i2d.fits,20.0,640,1.0,golden/stamps/J15020525+185780/J15020525+185780_SW_20as.fits,0672cc68b8cec4ee542eed2fdbd1e905abc00486775b5f7324bbda48aa56cc86,2026-08-23T16:38:14+00:00
