name,ra,dec,survey_key,grade_truth,binary_label,source,region,tractor_type,p_meta,leak,unit_id,image_path,image_path_v2r,render_sha,render_sha_v2r,truth_class,is_positive,is_stress,is_anchor,cowls_band,cowls_ranking,cowls_theta_E,known_lens_name,known_type,known_sep_arcsec,centre_is_deflector,layout,field_class,proposal,mag_r,prior_exposure,pipe_grade_passcount,pipe_inspector_conf,pipe_score,in_frame,half
J14973771+199708,149.7377093145409,1.997079774897692,jwst,,lens,truth_jwst,1727,,,no,u0013,golden/kits_truth/J14973771+199708.jpg,golden/kits_truth_v2r/J14973771+199708.jpg,463445017ab581c9,0eb830b5b5440627,cowls,True,False,False,provenance,,,COSJ095857+015949,COWLS,0.018,True,color,cosmos,1727,20.51662,0,,,,True,holdout
J14980160+213082,149.8015997697156,2.13081762064331,jwst,,lens,truth_jwst,1727,,,no,u0086,golden/kits_truth/J14980160+213082.jpg,golden/kits_truth_v2r/J14980160+213082.jpg,1655bc10818714ee,a763b94d2465d5cf,cowls,True,False,False,strong,AAABSS,0.9049612722247332,COSJ095912+020750,COWLS,0.025,True,color,cosmos,1727,20.527773,0,U,18.0,1.1573237812108406,True,holdout
J14981996+233941,149.8199596118203,2.339410934645693,jwst,,lens,truth_jwst,1727,,,no,u0180,golden/kits_truth/J14981996+233941.jpg,golden/kits_truth_v2r/J14981996+233941.jpg,bdbf6c85182d688d,b4266c7c878fb72f,cowls,True,False,False,weak,BUUXXX,,COSJ095916+022021,COWLS,0.193,True,color,cosmos,1727,20.421032,0,,,,True,design
J14984222+230342,149.8422227497588,2.303419772513897,jwst,,lens,truth_jwst,1727,,,no,u0214,golden/kits_truth/J14984222+230342.jpg,golden/kits_truth_v2r/J14984222+230342.jpg,0a5b9f5ba9d75a9a,4c99a6c8f7ffde15,cowls,True,False,False,strong,AAAABS,0.6967953336500885,COSJ095922+021812,COWLS,0.154,True,color,cosmos,1727,20.479883,0,,,,True,design
J14991319+251221,149.9131929706377,2.512214966078626,jwst,,lens,truth_jwst,1727,,,no,u0087,golden/kits_truth/J14991319+251221.jpg,golden/kits_truth_v2r/J14991319+251221.jpg,ecc99dfb571ed77f,addb00c5b43f5cda,cowls,True,False,False,marginal,ABBUXX,1.983471497403669,COSJ095939+023043,COWLS,0.026,True,color,cosmos,1727,20.829947,0,U,20.0,1.2105388980370615,True,design
J14991871+254823,149.9187067410818,2.548234860740977,jwst,,lens,truth_jwst,1727,,,no,u0085,golden/kits_truth/J14991871+254823.jpg,golden/kits_truth_v2r/J14991871+254823.jpg,72fe0766171fed29,adb8140c08b57ba4,cowls,True,False,False,marginal,BBSSSS,1.165551135106829,COSJ095940+023253,COWLS,0.006,True,color,cosmos,1727,19.985626,0,,,,True,design
J14993798+260626,149.9379802010104,2.606263411326252,jwst,,lens,truth_jwst,1727,,,no,u0091,golden/kits_truth/J14993798+260626.jpg,golden/kits_truth_v2r/J14993798+260626.jpg,a8c4c8c040ce0588,4dcacf9f2bb8d23c,cowls,True,False,False,weak,ABUXXX,0.4018357954972808,COSJ095945+023622,COWLS,0.034,True,color,cosmos,1727,18.701954,0,U,20.0,1.2092613017550349,True,holdout
J14996187+200380,149.9618653376145,2.003795709855897,jwst,,lens,truth_jwst,6434,,,no,u0154,golden/kits_truth/J14996187+200380.jpg,golden/kits_truth_v2r/J14996187+200380.jpg,723a46dd292b5b4e,43e5b4fefaa02a6d,cowls,True,False,False,weak,UUXXXX,0.3169280558605908,COSJ095950+020013,COWLS,0.338,True,color,blank,6434,19.51647,0,,,,True,design
J14997467+255549,149.9746725723471,2.555486163044995,jwst,,lens,truth_jwst,1727,,,no,u0035,golden/kits_truth/J14997467+255549.jpg,golden/kits_truth_v2r/J14997467+255549.jpg,aace8ae7b67d987e,54604c3b060905cf,cowls,True,False,False,provenance,,1.4413305558118792,COSJ095953+023319,COWLS,0.147,True,color,cosmos,1727,20.676214,0,U,25.0,1.243033503661812,True,holdout
J15001911+259543,150.0191079714808,2.595428255200388,jwst,,lens,truth_jwst,1727,,,no,u0181,golden/kits_truth/J15001911+259543.jpg,golden/kits_truth_v2r/J15001911+259543.jpg,2ceda2be4a7f4b36,f2dcdff24fdc3691,cowls,True,False,False,weak,UUUUUU,0.6437508661238633,COSJ100004+023543,COWLS,0.121,True,color,cosmos,1727,20.331171,0,U,18.0,1.1958926545968045,True,design
J15002207+263143,150.0220715586746,2.631433753791991,jwst,,lens,truth_jwst,1727,,,no,u0244,golden/kits_truth/J15002207+263143.jpg,golden/kits_truth_v2r/J15002207+263143.jpg,94537d0565c76bbd,ae1b1e1cb75abf9f,cowls,True,False,False,weak,BBUXXX,0.7738049710827016,COSJ100005+023753,COWLS,0.053,True,color,cosmos,1727,20.092735,0,,,,True,holdout
J15004969+221715,150.0496890206949,2.21714574137081,jwst,,lens,truth_jwst,1727,,,no,u0134,golden/kits_truth/J15004969+221715.jpg,golden/kits_truth_v2r/J15004969+221715.jpg,908769243d3f8e14,5f6b5decfa6ac6da,cowls,True,False,False,marginal,AASUXX,1.8636067820708688,COSJ100011+021301,COWLS,0.122,True,color,cosmos,1727,17.956926,0,,,,True,design
J15005258+233772,150.0525818815892,2.337717300336837,jwst,,lens,truth_jwst,1727,,,no,u0140,golden/kits_truth/J15005258+233772.jpg,golden/kits_truth_v2r/J15005258+233772.jpg,e37fe37e8dc4aea4,ffb3688e9913b450,cowls,True,False,False,provenance,,0.7477080114393634,COSJ100012+022015,COWLS,0.045,True,color,cosmos,1727,19.612955,0,,,,True,design
J15009505+230050,150.095054511615,2.300499003055783,jwst,,lens,truth_jwst,1837,,,no,u0015,golden/kits_truth/J15009505+230050.jpg,golden/kits_truth_v2r/J15009505+230050.jpg,d67845735ff0d544,c467f3e2a3033659,cowls,True,False,False,provenance,,,COSJ100022+021801,COWLS,0.015,True,color,blank,1837,18.859718,0,U,22.0,1.2235758367892422,True,design
J15013008+243766,150.130080193858,2.437660373117585,jwst,,lens,truth_jwst,1837,,,no,u0179,golden/kits_truth/J15013008+243766.jpg,golden/kits_truth_v2r/J15013008+243766.jpg,b7acb4ab4d0e39eb,346df9b3fd566a78,cowls,True,False,False,weak,BBBXXX,0.5618454778871503,COSJ100031+022615,COWLS,0.015,True,color,blank,1837,19.10163,0,D,30.0,0.2846808841627283,True,design
J15013022+255026,150.1302180716693,2.55026456743519,jwst,,lens,truth_jwst,1727,,,no,u0144,golden/kits_truth/J15013022+255026.jpg,golden/kits_truth_v2r/J15013022+255026.jpg,6e377af5352f5320,4118ed75602c2ce4,cowls,True,False,False,weak,SSUUXX,0.9364686223351556,COSJ100031+023300,COWLS,0.078,True,color,cosmos,1727,18.924973,0,,,,True,holdout
J15017908+203681,150.179079245718,2.036806359006631,jwst,,lens,truth_jwst,1727,,,no,u0220,golden/kits_truth/J15017908+203681.jpg,golden/kits_truth_v2r/J15017908+203681.jpg,5da96dc005d0e3fc,27608689834e5023,cowls,True,False,False,strong,AAABBX,0.4874834705961978,COSJ100042+020212,COWLS,0.03,True,color,cosmos,1727,19.387415,0,,,,True,holdout
J15019655+249201,150.1965480200367,2.492007938127418,jwst,,lens,truth_jwst,1727,,,no,u0227,golden/kits_truth/J15019655+249201.jpg,golden/kits_truth_v2r/J15019655+249201.jpg,1de52edb7c078df8,04024a75bd41ab31,cowls,True,False,False,provenance,,,COSJ100047+022931,COWLS,0.021,True,color,cosmos,1727,19.993107,0,U,18.0,1.1971083650683918,True,holdout
J15021038+179129,150.210375259414,1.791292117713734,jwst,,lens,truth_jwst,1727,,,no,u0190,golden/kits_truth/J15021038+179129.jpg,golden/kits_truth_v2r/J15021038+179129.jpg,eb3a5a0132353c29,eb21963ec2a4e6b7,cowls,True,False,False,weak,ABUUXX,1.506129346090611,COSJ100050+014728,COWLS,0.058,True,color,cosmos,1727,18.593697,0,,,,True,holdout
J15021106+190577,150.2110551063054,1.905772304597788,jwst,,lens,truth_jwst,1727,,,no,u0247,golden/kits_truth/J15021106+190577.jpg,golden/kits_truth_v2r/J15021106+190577.jpg,b62f8b423906eb8a,c76be3c0a82c9f32,cowls,True,False,False,weak,UUXXXX,,COSJ100050+015421,COWLS,1.247,True,color,cosmos,1727,19.10715,0,,,,True,design
J15021825+181565,150.2182546086588,1.815652840707473,jwst,,lens,truth_jwst,1727,,,no,u0123,golden/kits_truth/J15021825+181565.jpg,golden/kits_truth_v2r/J15021825+181565.jpg,6eafbc9049e0e0bf,926ba56a95020522,cowls,True,False,False,strong,AAAAAB,1.004128383149621,COSJ100052+014856,COWLS,0.033,True,color,cosmos,1727,19.197657,0,U,20.0,1.21401153175427,True,design
J15026528+186865,150.2652785784783,1.868654246299661,jwst,,lens,truth_jwst,1727,,,no,u0004,golden/kits_truth/J15026528+186865.jpg,golden/kits_truth_v2r/J15026528+186865.jpg,d5ea01cabcbeb46b,5f561ae6a0dafb92,cowls,True,False,False,weak,UUXXXX,0.7904203340370174,COSJ100103+015207,COWLS,0.013,True,color,cosmos,1727,20.748291,0,U,15.0,1.167567346161546,True,design
J15027379+184082,150.2737904733434,1.840823183681235,jwst,,lens,truth_jwst,1727,,,no,u0155,golden/kits_truth/J15027379+184082.jpg,golden/kits_truth_v2r/J15027379+184082.jpg,3d0859459fc1ce70,de132ea5143df419,cowls,True,False,False,weak,UXXXXX,,COSJ100105+015027,COWLS,0.33,True,color,cosmos,1727,17.817928,0,U,15.0,1.1737052906143797,True,holdout
J15027845+184036,150.2784455968729,1.840360442439226,jwst,,lens,truth_jwst,1727,,,no,u0149,golden/kits_truth/J15027845+184036.jpg,golden/kits_truth_v2r/J15027845+184036.jpg,1e4a45e559cb8549,05144c5a3abc9ed2,cowls,True,False,False,marginal,ABBUUX,0.5819946229940134,COSJ100106+015025,COWLS,0.138,True,color,cosmos,1727,19.776478,0,D,30.0,0.2852108094461871,True,holdout
J15028871+191005,150.288714706212,1.910049808775173,jwst,,lens,truth_jwst,1727,,,no,u0235,golden/kits_truth/J15028871+191005.jpg,golden/kits_truth_v2r/J15028871+191005.jpg,c5de634954e198f4,1b5a55167749b8b0,cowls,True,False,False,weak,UUXXXX,,COSJ100109+015436,COWLS,0.02,True,color,cosmos,1727,19.266617,0,,,,True,holdout
J15031125+251191,150.3112517019921,2.511906730962057,jwst,,lens,truth_jwst,1727,,,no,u0195,golden/kits_truth/J15031125+251191.jpg,golden/kits_truth_v2r/J15031125+251191.jpg,4ec36a15b0a384c6,8ef93f5a64dcfb12,cowls,True,False,False,marginal,ABBBBS,0.9587959974375124,COSJ100114+023042,COWLS,0.077,True,color,cosmos,1727,20.530312,0,,,,True,design
J15032014+201142,150.3201436586264,2.011420110059667,jwst,,lens,truth_jwst,1727,,,no,u0135,golden/kits_truth/J15032014+201142.jpg,golden/kits_truth_v2r/J15032014+201142.jpg,6683e3ee92159a94,c96de66d4eb58d34,cowls,True,False,False,weak,BBUUXX,,COSJ100116+020041,COWLS,0.057,True,color,cosmos,1727,19.337242,0,U,15.0,1.173168556573004,True,holdout
J15033701+227952,150.337009828852,2.279522474198196,jwst,,lens,truth_jwst,1727,,,no,u0044,golden/kits_truth/J15033701+227952.jpg,golden/kits_truth_v2r/J15033701+227952.jpg,f0b28d04191d357b,6f0fbeba8f81fbc1,cowls,True,False,False,strong,AAAAUX,0.5972227441596166,COSJ100120+021646,COWLS,0.05,True,color,cosmos,1727,18.908903,0,U,15.0,1.1739754042891724,True,design
J15037005+241731,150.370052278007,2.417307422766676,jwst,,lens,truth_jwst,1727,,,no,u0122,golden/kits_truth/J15037005+241731.jpg,golden/kits_truth_v2r/J15037005+241731.jpg,74616eff8a61c0f8,6dfa3d5fce36ab84,cowls,True,False,False,marginal,AABXXX,1.3310155517516986,COSJ100128+022502,COWLS,0.002,True,color,cosmos,1727,20.434212,0,,,,True,holdout
