candidate_id,ra_deg,dec_deg,proposal,field_class,layout,mag_r,sw_obs,lw_obs,sw_filter,lw_filter,nearest_cat_sep_arcsec,half
J10165239-6262492,101.65239392248,-62.62492291121669,5594,cluster,color,18.340935,jw05594-o129_t131_nircam_clear-f150w2,jw05594-o129_t131_nircam_clear-f322w2,F150W2,F322W2,3218.798,design
J10190879+7025705,101.90878757467996,70.25705226134278,1433,cluster,color,20.883224,jw01433-o020_t001_nircam_clear-f200w,jw01433-o020_t001_nircam_clear-f480m,F200W,F480M,22.177,holdout
J10457022-5594237,104.5702226814692,-55.94237218380331,4598,cluster,color,18.80703,jw04598-o001_t001_nircam_clear-f150w,jw04598-o001_t001_nircam_clear-f277w,F150W,F277W,6.04,holdout
J10462825-5596100,104.6282513630676,-55.96100158048926,4598,cluster,color,20.452301,jw04598-o001_t001_nircam_clear-f150w,jw04598-o001_t001_nircam_clear-f277w,F150W,F277W,24.419,holdout
J10465872-5595715,104.6587163694155,-55.95714579436181,4598,cluster,color,17.844795,jw04598-o001_t001_nircam_clear-f150w,jw04598-o001_t001_nircam_clear-f277w,F150W,F277W,13.746,holdout
J10466148-5596794,104.6614790947342,-55.96793623226382,4598,cluster,color,19.604847,jw04598-o001_t001_nircam_clear-f150w,jw04598-o001_t001_nircam_clear-f277w,F150W,F277W,32.202,design
J10467718-5596405,104.677176559814,-55.96405407495486,4598,cluster,color,19.559727,jw04598-o001_t001_nircam_clear-f150w,jw04598-o001_t001_nircam_clear-f277w,F150W,F277W,45.036,design
J11077070-7349692,110.7706995967835,-73.4969245628284,4043,cluster,color,20.137693,jw04043-o001_t001_nircam_clear-f115w,jw04043-o001_t001_nircam_clear-f444w,F115W,F444W,133.143,design
J11083554-7343054,110.8355391705355,-73.4305437688886,2736,cluster,color,19.272736,jw02736-o001_t001_nircam_clear-f150w,jw02736-o001_t001_nircam_clear-f277w,F150W,F277W,25.938,holdout
J12022374+3605209,120.22373677969532,36.05208805226036,5594,cluster,color,20.618174,jw05594-o025_t027_nircam_clear-f150w2,jw05594-o025_t027_nircam_clear-f322w2,F150W2,F322W2,32.698,holdout
J12022533+3605598,120.22532983946093,36.05598215358814,5594,cluster,color,19.027487,jw05594-o025_t027_nircam_clear-f150w2,jw05594-o025_t027_nircam_clear-f322w2,F150W2,F322W2,25.465,holdout
J12022720+3605500,120.22719696034858,36.0549985402738,5594,cluster,color,20.721333,jw05594-o025_t027_nircam_clear-f150w2,jw05594-o025_t027_nircam_clear-f322w2,F150W2,F322W2,20.142,holdout
J1210998-5273662,12.10997531005652,-52.73662278397516,5594,cluster,color,17.65154,jw05594-o141_t143_nircam_clear-f150w2,jw05594-o141_t143_nircam_clear-f322w2,F150W2,F322W2,700.534,holdout
J12133343+2003403,121.3334326490796,20.03403369893391,1063,blank,color,19.449747,jw01063-o160_t025_nircam_clear-f115w,jw01063-o160_t025_nircam_clear-f277w,F115W,F277W,397.582,holdout
J13513883+2089332,135.1388343681415,20.89332488296698,5594,cluster,color,18.455547,jw05594-o013_t015_nircam_clear-f150w2,jw05594-o013_t015_nircam_clear-f322w2,F150W2,F322W2,241.793,design
J13516366+2090337,135.1636608728522,20.90337076846302,5594,cluster,color,20.15388,jw05594-o013_t015_nircam_clear-f150w2,jw05594-o013_t015_nircam_clear-f322w2,F150W2,F322W2,328.8,holdout
J13516783+2090911,135.1678300941722,20.90911190866538,5594,cluster,color,18.64023,jw05594-o013_t015_nircam_clear-f150w2,jw05594-o013_t015_nircam_clear-f322w2,F150W2,F322W2,352.648,design
J13972220-8105171,139.7222038699893,-81.05171490917412,4903,cluster,color,19.367296,jw04903-o006_t002_nircam_clear-f115w,jw04903-o006_t002_nircam_clear-f277w,F115W,F277W,44.9,holdout
J14100024+789328,141.000242092062,7.893283662656462,2078,blank,color,18.727335,jw02078-o015_t019_nircam_clear-f200w,jw02078-o015_t019_nircam_clear-f356w,F200W,F356W,1904.659,holdout
J1451508+3024035,14.51507798015341,30.24034923404384,6434,blank,gray_sw_only,20.073212,jw06434-c1108_t000_nircam_clear-f200w,,F200W,,3515.861,holdout
J14520858+770413,145.2085796793069,7.70412700057248,3433,cluster,color,20.200184,jw03433-o006_t011_nircam_clear-f200w,jw03433-o006_t011_nircam_clear-f277w,F200W,F277W,130.671,design
J14521594+770083,145.2159445939148,7.70083475869839,3433,cluster,color,20.213589,jw03433-o006_t011_nircam_clear-f200w,jw03433-o006_t011_nircam_clear-f277w,F200W,F277W,135.337,design
J14896639+6964001,148.96638702487215,69.6400058830295,5145,blank,color,20.05588,jw05145-o019_t001_nircam_clear-f200w,jw05145-o019_t001_nircam_clear-f444w,F200W,F444W,1210.825,holdout
J14970259+203297,149.7025855714771,2.032970369311984,1727,cosmos,color,19.160532,jw01727-o116_t008_nircam_clear-f150w,jw01727-o116_t008_nircam_clear-f277w,F150W,F277W,76.043,holdout
