candidate_id,system_id,half,forced,forced_reason,truth_class,cell
J076153-3300005,483,design,False,,stress_D,stress_D:merger
J10165239-6262492,86,design,False,,negative,negative:cluster
J10190879+7025705,87,holdout,False,,negative,negative:cluster
J10194892+7024985,523,holdout,False,,stress_U,stress_U:rank_101_300
J10457022-5594237,88,holdout,False,,negative,negative:cluster
J10462825-5596100,89,holdout,False,,negative,negative:cluster
J10465872-5595715,90,holdout,False,,negative,negative:cluster
J10466148-5596794,91,design,False,,negative,negative:cluster
J10467718-5596405,92,design,False,,negative,negative:cluster
J10939809+3775146,58,design,True,component_of:J30791374-4058431,lit_cluster,lit_cluster
J11068178-7349847,524,design,False,,stress_U,stress_U:rank_101_300
J11072970-7345689,484,holdout,False,,stress_D,stress_D:elliptical_nearmiss
J11077070-7349692,93,design,False,,negative,negative:cluster
J11083554-7343054,94,holdout,False,,negative,negative:cluster
J11454711+6555180,525,design,False,,stress_U,stress_U:rank_101_300
J12022374+3605209,95,holdout,False,,negative,negative:cluster
J12022533+3605598,96,holdout,False,,negative,negative:cluster
J12022720+3605500,96,holdout,False,,negative,negative:cluster
J1210998-5273662,97,holdout,False,,negative,negative:cluster
J12133343+2003403,98,holdout,False,,negative,negative:blank
J13513883+2089332,99,design,False,,negative,negative:cluster
J13516366+2090337,100,holdout,False,,negative,negative:cluster
J13516783+2090911,101,design,False,,negative,negative:cluster
J13972220-8105171,102,holdout,False,,negative,negative:cluster
J14100024+789328,103,holdout,False,,negative,negative:blank
J1451508+3024035,104,holdout,False,,negative,negative:blank
J14520858+770413,105,design,False,,negative,negative:cluster
J14521594+770083,106,design,False,,negative,negative:cluster
J14896639+6964001,107,holdout,False,,negative,negative:blank
J14970259+203297,108,holdout,False,,negative,negative:cosmos
J14973171+212434,109,design,False,,negative,negative:cosmos
J14973252+195282,110,holdout,False,,negative,negative:cosmos
J14973771+199708,1,holdout,False,,cowls,cowls:provenance
J14975814+219076,111,holdout,False,,negative,negative:cosmos
J14976245+218007,112,design,False,,negative,negative:cosmos
J14977611+214060,113,holdout,False,,negative,negative:cosmos
J14978855+213196,114,design,False,,negative,negative:cosmos
J14980160+213082,2,holdout,False,,cowls,cowls:strong
J14981112+225248,115,design,False,,negative,negative:cosmos
J14981361+225470,116,holdout,False,,negative,negative:cosmos
J1498187+2816303,117,holdout,False,,negative,negative:blank
J14981885+216231,118,design,False,,negative,negative:cosmos
J14981996+233941,3,design,False,,cowls,cowls:weak
J14982608+213517,119,holdout,False,,negative,negative:cosmos
J14982665+197229,120,holdout,False,,negative,negative:cosmos
J14983520+227535,121,design,False,,negative,negative:cosmos
J14983878+193009,122,holdout,False,,negative,negative:cosmos
J14984085+216705,123,holdout,False,,negative,negative:cosmos
J14984222+230342,4,design,False,,cowls,cowls:strong
J14984240+230058,124,holdout,False,,negative,negative:cosmos
J14984340+214760,125,holdout,False,,negative,negative:cosmos
J14984710+228738,126,design,False,,negative,negative:cosmos
J14984732+220417,127,design,False,,negative,negative:cosmos
J14985077+226112,128,holdout,False,,negative,negative:cosmos
J14985991+214875,129,design,False,,negative,negative:cosmos
J14986666+227442,130,holdout,False,,negative,negative:cosmos
J14986686+205175,131,design,False,,negative,negative:cosmos
J14987021+233510,132,design,False,,negative,negative:cosmos
J14987287+226147,133,design,False,,negative,negative:cosmos
J14987321+252754,134,holdout,False,,negative,negative:cosmos
J14987471+223116,32,holdout,False,,lit_galaxy,lit_galaxy
J14987954+204155,33,holdout,False,,lit_galaxy,lit_galaxy
J14988080+222858,135,holdout,False,,negative,negative:cosmos
J14988264+244832,136,design,False,,negative,negative:cosmos
J14988278+213247,137,holdout,False,,negative,negative:cosmos
J14989229+226437,485,design,False,,stress_D,stress_D:ring_spiral
J14990021+189664,138,holdout,False,,negative,negative:cosmos
J14990055+189878,138,holdout,False,,negative,negative:cosmos
J14990337+243896,139,holdout,False,,negative,negative:cosmos
J14990528+219896,140,holdout,False,,negative,negative:cosmos
J14990594+244729,141,holdout,False,,negative,negative:cosmos
J14991009+190700,142,holdout,False,,negative,negative:cosmos
J14991013+214969,143,design,False,,negative,negative:cosmos
J14991319+251221,5,design,False,,cowls,cowls:marginal
J14991344+235137,144,design,False,,negative,negative:cosmos
J14991450+209996,145,design,False,,negative,negative:cosmos
J14991871+254823,6,design,False,,cowls,cowls:marginal
J14992085+203121,146,design,False,,negative,negative:cosmos
J14992998+247126,34,holdout,False,,lit_galaxy,lit_galaxy
