id,role,source
# COWLS ids: design half only (15); 16 holdout-half COWLS ids withheld (lensjudge truth_splits.csv)
J10165239-6262492,negative,truth_negatives.csv(design)
J10466148-5596794,negative,truth_negatives.csv(design)
J10467718-5596405,negative,truth_negatives.csv(design)
J11077070-7349692,negative,truth_negatives.csv(design)
J13513883+2089332,negative,truth_negatives.csv(design)
J13516783+2090911,negative,truth_negatives.csv(design)
J14520858+770413,negative,truth_negatives.csv(design)
J14521594+770083,negative,truth_negatives.csv(design)
J14973171+212434,negative,truth_negatives.csv(design)
J14976245+218007,negative,truth_negatives.csv(design)
J14978855+213196,negative,truth_negatives.csv(design)
J14981112+225248,negative,truth_negatives.csv(design)
J14981885+216231,negative,truth_negatives.csv(design)
J14983520+227535,negative,truth_negatives.csv(design)
J14984710+228738,negative,truth_negatives.csv(design)
J14984732+220417,negative,truth_negatives.csv(design)
J14985991+214875,negative,truth_negatives.csv(design)
J14986686+205175,negative,truth_negatives.csv(design)
J14987021+233510,negative,truth_negatives.csv(design)
J14987287+226147,negative,truth_negatives.csv(design)
J14988264+244832,negative,truth_negatives.csv(design)
J14991013+214969,negative,truth_negatives.csv(design)
J14991344+235137,negative,truth_negatives.csv(design)
J14991450+209996,negative,truth_negatives.csv(design)
J14992085+203121,negative,truth_negatives.csv(design)
J14994519+248568,negative,truth_negatives.csv(design)
J14994839+193216,negative,truth_negatives.csv(design)
J14997011+229135,negative,truth_negatives.csv(design)
J14997046+193062,negative,truth_negatives.csv(design)
J14997523+257803,negative,truth_negatives.csv(design)
J14997784+264114,negative,truth_negatives.csv(design)
J14998627+241542,negative,truth_negatives.csv(design)
J14999361+225854,negative,truth_negatives.csv(design)
J14999692+249620,negative,truth_negatives.csv(design)
J15000072+216107,negative,truth_negatives.csv(design)
J15000086+191067,negative,truth_negatives.csv(design)
J15000331+240754,negative,truth_negatives.csv(design)
J15000332+191727,negative,truth_negatives.csv(design)
J15001125+215662,negative,truth_negatives.csv(design)
