name,ra,dec,grade_truth,catalog,region,euclid_id,new
s_76594_8939,62.61486008067185,-50.32575571704556,B,v3xeuclid,edf_fs,102019131_NEG626148898503257561,True
s_79373_7769,58.20181394171051,-49.47048931394819,A,v3xeuclid,edf_fs,102020057_NEG582019329494705421,True
s_80314_12621,59.08150719000795,-49.36502599925147,B,v3xeuclid,edf_fs,102020059_NEG590814898493650143,True
s_80320_14056,61.23885251763664,-49.37263855233265,A,v3xeuclid,edf_fs,102020061_NEG612388468493726389,False
s_83157_8409,57.70240078171311,-48.40616625135088,A,v3xeuclid,edf_fs,102021009_NEG577024787484062221,True
s_82219_15368,63.41459313173361,-48.686543534969545,A,v3xeuclid,edf_fs,102021017_NEG634146279486865014,False
s_84136_4630,65.19566011176019,-48.35997463792516,A,v3xeuclid,edf_fs,102021019_NEG651956451483599583,True
s_88007_7987,62.21903903141837,-47.29479370451357,B,v3xeuclid,edf_fs,102021986_NEG622189376472948583,True
s_88997_602,65.36504769256788,-47.025102352904085,B,v3xeuclid,edf_fs,102022483_NEG653649683470250799,True
s_169188_5518,53.32506603754639,-29.150983227355937,A,v3xeuclid,edf_fs,102042916_NEG533251142291509670,True
s_170452_14504,54.97251888736149,-29.07569319797256,A,v3xeuclid,edf_fs,102042919_NEG549725555290756868,True
s_170452_17399,55.01051834606898,-29.12387648903876,B,v3xeuclid,edf_fs,102042919_NEG550105155291238806,True
s_179335_6767,51.002089485084056,-27.1916628947172,B,v3xeuclid,edf_fs,102045463_NEG510020362271915172,False
s_180628_574,53.758180278970144,-27.11448010923912,B,v3xeuclid,edf_fs,102045468_NEG537581789271144818,False
