name,ra,dec,grade_truth,euclid_id,known,catalog,region
s_80320_6999,61.238854808073675,-49.37263653492797,A,102020061_NEG612388468493726389,True,d4_edf,edf_fs
s_76594_8452,62.61486832777021,-50.3257592043548,B,102019131_NEG626148898503257561,False,d4_edf,edf_fs
s_179335_6495,51.00209213953195,-27.19166068911674,B,102045463_NEG510020362271915172,True,d4_edf,edf_fs
s_82219_9117,63.4145916075428,-48.68654297728462,A,102021017_NEG634146279486865014,True,d4_edf,edf_fs
s_93968_421,62.86839858106652,-45.704585228090295,A,102023984_NEG628683592457046709,False,d4_edf,edf_fs
s_79373_7808,58.20181541509904,-49.47049040812718,A,102020057_NEG582019329494705421,False,d4_edf,edf_fs
s_83157_6833,57.70240049007729,-48.406159974358395,A,102021009_NEG577024787484062221,False,d4_edf,edf_fs
s_180628_499,53.758178022452675,-27.114486175696,B,102045468_NEG537581789271144818,True,d4_edf,edf_fs
s_169188_3607,53.325067330379056,-29.150985681290738,A,102042916_NEG533251142291509670,False,d4_edf,edf_fs
s_88997_474,65.36504501997587,-47.02510369298523,B,102022483_NEG653649683470250799,False,d4_edf,edf_fs
s_167928_8104,52.390273245048675,-29.592697064468954,B,102042284_NEG523902104295926900,False,d4_edf,edf_fs
s_167929_8643,52.68887268009714,-29.49827344076865,A,102042284_NEG526888815294982643,True,d4_edf,edf_fs
s_80314_11215,59.08150529759537,-49.3650270007391,B,102020059_NEG590814898493650143,False,d4_edf,edf_fs
s_85093_8510,63.250342399457764,-48.073639308962605,B,102021499_NEG632503018480736583,False,d4_edf,edf_fs
s_179345_485,53.64408719070046,-27.223275455385643,B,102045468_NEG536440857272232644,False,d4_edf,edf_fs
s_176778_10173,51.01817096879947,-27.78036046652403,B,102044182_NEG510181483277803809,False,d4_edf,edf_fs
s_77522_8224,63.774789082210255,-50.011899191907276,B,102019596_NEG637748088500119037,False,d4_edf,edf_fs
s_170452_8752,54.97253156214053,-29.07565516082123,A,102042919_NEG549725555290756868,False,d4_edf,edf_fs
s_178055_1668,50.94495347638881,-27.457236630686022,A,102044821_NEG509449559274572380,True,d4_edf,edf_fs
s_88988_7925,62.33665693796223,-47.06697254183354,A,102022479_NEG623367075470669448,False,d4_edf,edf_fs
s_81254_8721,57.23036277028088,-49.04602039002811,B,102020530_NEG572303674490459976,False,d4_edf,edf_fs
s_179335_7765,51.036349453849304,-27.241533936895483,A,102045463_NEG510363299272415391,False,d4_edf,edf_fs
s_84123_1889,60.29403926865043,-48.32378627858239,B,102021013_NEG602940269483238112,False,d4_edf,edf_fs
s_90958_9343,59.70524022239981,-46.56952044466536,A,102022972_NEG597052478465695317,False,d4_edf,edf_fs
s_88007_4383,62.219035311525225,-47.29479377374195,B,102021986_NEG622189376472948583,False,d4_edf,edf_fs
s_82210_10728,60.09854502838204,-48.78934911290878,A,102020534_NEG600985388487893328,False,d4_edf,edf_fs
s_78453_11712,63.97055876349269,-49.72778428033909,B,102020065_NEG639706305497277844,False,d4_edf,edf_fs
s_80329_2961,64.54185722643925,-49.30865081291857,A,102020066_NEG645419324493086283,False,d4_edf,edf_fs
s_176791_164,54.451725619297804,-27.861313316850456,C,102044188_NEG544517310278613198,False,d4_edf,edf_fs
s_175513_5175,53.562130223458084,-28.012906895580198,A,102044186_NEG535621262280129063,False,d4_edf,edf_fs
s_176778_4211,50.879817194613935,-27.6486304663079,A,102044821_NEG508798294276486404,False,d4_edf,edf_fs
s_86061_9635,63.68619575122917,-47.85498465323226,B,102021500_NEG636862073478549953,False,d4_edf,edf_fs
s_171715_2727,55.029973858736454,-28.844420335783667,B,102042919_NEG550298555288445169,False,d4_edf,edf_fs
s_84129_9629,62.789155967138946,-48.27189865313699,A,102021016_NEG627891706482718950,False,d4_edf,edf_fs
s_81272_4359,63.923926305455645,-48.92963918225313,A,102020539_NEG639239120489296299,False,d4_edf,edf_fs
