name,ra,dec,catalog,survey_key,p_meta
s_217653_9691,63.161984290977166,-19.90307040643333,dr11,dr11,0.93345106
s_487573_4564,204.6056475114376,28.32945394736093,dr11,dr11,0.9309839
s_416616_6090,189.5370169490573,15.030894368635751,dr11,dr11,0.92760956
s_196121_2473,21.08603215128111,-24.029972475019544,dr11,dr11,0.92535293
s_229220_4478,236.28465923644256,-18.119871773900933,dr11,dr11,0.9225268
s_261234_1748,238.34676354651103,-12.267560953013538,dr11,dr11,0.92149246
s_184260_3093,348.43180656325865,-26.51498252398634,dr11,dr11,0.91278934
s_276648_1225,198.0249594264496,-9.606542095080943,dr11,dr11,0.9057484
s_15185_10500,234.6521300236984,-72.80137315227353,dr11,dr11,0.90322316
s_151884_7378,51.79733667724296,-32.77615566786053,dr11,dr11,0.90315133
s_119342_4136,50.71637335808133,-39.769382288873466,dr11,dr11,0.8995817
s_242312_4967,50.356650978663616,-15.500971147261009,dr11,dr11,0.89850867
s_187622_2848,202.27479792757967,-25.682325603853485,dr11,dr11,0.89827937
s_137557_2980,43.39714838286866,-35.79208367068634,dr11,dr11,0.8976772
s_34114_11363,353.7467998540502,-64.06865955513288,dr11,dr11,0.8973374
s_42996_3467,53.74436070576975,-60.58051934415995,dr11,dr11,0.89718896
s_71104_1356,45.13634241807407,-51.74561614266434,dr11,dr11,0.89718896
s_159801_5583,221.01592078987036,-31.247149520075588,dr11,dr11,0.8970593
s_336801_4965,168.48644183359443,1.06795290453364,dr11,dr11,0.8963222
s_364281_4525,207.31333413620197,5.630785464469515,dr11,dr11,0.8961677
s_381188_1199,144.15106462293943,8.863258333875267,dr11,dr11,0.89514554
s_422054_3465,158.0944087766645,15.88458914371609,dr11,dr11,0.8949322
s_132733_1594,349.14205096665773,-37.07363567327883,dr11,dr11,0.8949322
s_124958_7349,58.17676366369604,-38.4291530309915,dr11,dr11,0.8925813
s_193485_9670,19.19500189812031,-24.61727122276209,dr11,dr11,0.8924292
s_87091_1800,84.51931234256244,-47.58717290384825,dr11,dr11,0.89222705
s_405220_1292,136.46547709100523,13.030706224539111,dr11,dr11,0.8917687
s_351303_461,194.5344608205252,3.5357751713299965,dr11,dr11,0.89134747
s_320069_835,305.2638226341343,-1.937606042871264,dr11,dr11,0.8913349
s_52008_8091,96.59633862370536,-57.50834804911375,dr11,dr11,0.88923925
s_156771_3446,54.32192990763855,-31.870439304358044,dr11,dr11,0.8867673
s_283917_2408,235.62000732679653,-8.348999486950179,dr11,dr11,0.8861301
s_292418_3907,216.82796568655152,-6.754124035930034,dr11,dr11,0.8856224
s_318982_1451,33.53337824715371,-2.107920604150776,dr11,dr11,0.883948
s_467105_3766,266.27758408819415,24.22431702194813,dr11,dr11,0.8834987
s_196378_2819,91.34125707333152,-23.902968989890475,dr11,dr11,0.88337857
s_61472_9399,359.5199829395111,-54.67651549927191,dr11,dr11,0.88292474
s_325885_4521,319.3483211293706,-0.947773186218134,dr11,dr11,0.88274384
s_180593_5604,44.09744789441882,-27.12182678511546,dr11,dr11,0.8821649
s_472155_2350,214.6277381337712,25.18142916752248,dr11,dr11,0.8818693
s_131235_24277,240.99627521117415,-37.20725296691933,dr11,dr11,0.8815136
s_205319_6061,359.97718797355617,-22.459564427701878,dr11,dr11,0.88093895
s_191004_9637,56.93561710161365,-24.908761669756156,dr11,dr11,0.8802883
s_68464_11443,52.73725708937869,-52.47026316493762,dr11,dr11,0.87911594
s_495063_5318,182.23156941677308,29.789280229693148,dr11,dr11,0.8783052
s_441303_3876,163.48410769997272,19.392174805948645,dr11,dr11,0.8775632
