campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
agel_dr2,AGEL000224-350716A,0.59845,-35.12122,confirmed_lens,zs=1.549 zd=0.576,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL000316-334804A,0.81825,-33.8012,confirmed_lens,"zs=1.834 zd=0.659; HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL000645-442950A,1.68592,-44.49735,confirmed_lens,"zs=2.099 zd=0.498; HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL000729-443446A,1.87201,-44.57949,inconclusive,"zs=1.009 (source z only; AGEL counts as lens); HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL001310+004004A,3.29016,0.66767,confirmed_lens,"zs=2.071 zd=0.693; HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL001424+004145A,3.60116,0.69596,confirmed_lens,zs=1.374 zd=0.569,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL001702-100911A,4.2564,-10.153,inconclusive,"zs=1.831 (source z only; AGEL counts as lens); HST 15867, Huang",Huang et al. 2021,arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL002527+101107A,6.3643,10.1853,confirmed_lens,"zs=2.397 zd=0.463; HST 15867, Huang",Huang et al. 2021,arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL002700-041324A,6.75025,-4.22321,confirmed_lens,zs=1.465 zd=0.495,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL003508-252658A,8.78153,-25.44932,lens_z_only,zd=0.775,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL003727-413150A,9.3628,-41.53054,confirmed_lens,zs=3.257 zd=0.708,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL004144-233905A,10.4341,-23.6515,confirmed_lens,zs=2.203 zd=0.439,Huang et al. 2021,arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL004257-371858A,10.73881,-37.31623,confirmed_lens,"zs=3.094 zd=0.883; HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL004827+031117A,12.1134,3.18808,confirmed_lens,zs=2.367 zd=0.357,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL010128-334319A,15.36604,-33.72201,confirmed_lens,zs=1.167 zd=0.581,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL010158-491738A,15.49182,-49.29394,inconclusive,"zs=2.632 (source z only; AGEL counts as lens); HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL010238+015857A,15.65959,1.98243,confirmed_lens,"zs=1.816 zd=0.867; HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL010257-291122A,15.73954,-29.18939,confirmed_lens,zs=0.815 zd=0.273,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL011759-052718A,19.49477,-5.45492,confirmed_lens,"zs=2.066 zd=0.579; HST 17307, Tran","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL012429-291856A,21.11886,-29.31561,inconclusive,"zs=1.606 (source z only; AGEL counts as lens); HST 16773, Glazebrook","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL012453-144303A,21.22109,-14.71738,confirmed_lens,zs=1.825 zd=0.478,"Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
agel_dr2,AGEL013003-374458A,22.51201,-37.74938,inconclusive,"zs=2.282 (source z only; AGEL counts as lens); HST 17307, Tran","Jacobs et al. 2019a,b",arXiv:2503.08041 Tables 2-3
