campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
euclid_q1_modeling,102159189_2663231466659368059,266.32314660184653,65.93680598259884,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.23 arcsec; confirmation is modelling+expert-inspection based, not spectroscopic; SLDE-B name EUCL J174517.55+655612.5 (matched Q1 catalog at 0.05 arcsec); also in Q1 release successful-model set: theta_E_eff=1.24 arcsec (median PDF)","Q1 catalog grade=A, expert_score=3.010 (15 votes); SLDE-B category A (VI score 2.9)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
euclid_q1_modeling,102159773_2677079122669151496,267.70791227786816,66.91514966802278,confirmed_lens,SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.39 arcsec; confirmation is modelling+expert-inspection based; Palomar spectroscopy: z_source=1.956 (quality A); SLDE-B name EUCL J175049.89+665454.5 (matched Q1 catalog at 0.02 arcsec); also in Q1 release successful-model set: theta_E_eff=1.39 arcsec (median PDF),"Q1 catalog grade=A, expert_score=3.011 (19 votes); SLDE-B category A (VI score 2.9)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
euclid_q1_modeling,102158275_2709777393645726835,270.977739341077,64.57268354179256,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.06 arcsec; confirmation is modelling+expert-inspection based; Palomar spectroscopy: z_lens=0.518, z_source=1.897 (quality A/A); SLDE-B name EUCL J180354.65+643421.6 (matched Q1 catalog at 0.06 arcsec); also in Q1 release successful-model set: theta_E_eff=1.07 arcsec (median PDF)","Q1 catalog grade=A, expert_score=3.017 (19 votes); SLDE-B category A (VI score 2.75)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
euclid_q1_modeling,102157955_2689800257639551890,268.9800257836048,63.955189029991246,confirmed_lens,SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=0.53 arcsec; confirmation is modelling+expert-inspection based; Palomar spectroscopy: z_source=2.011 (quality A; Lyman-break galaxy); SLDE-B name EUCL J175555.21+635718.7 (matched Q1 catalog at 0.05 arcsec); also in Q1 release successful-model set: theta_E_eff=0.52 arcsec (median PDF),"Q1 catalog grade=A, expert_score=2.258 (10 votes); SLDE-B category A (VI score 2.6)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
euclid_q1_modeling,102158894_2730612507653143373,273.06125079548667,65.31433733285209,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.73 arcsec; confirmation is modelling+expert-inspection based, not spectroscopic; SLDE-B name EUCL J181214.74+651851.5 (matched Q1 catalog at 0.26 arcsec); also in Q1 release successful-model set: theta_E_eff=1.65 arcsec (median PDF)","Q1 catalog grade=A, expert_score=2.832 (10 votes); SLDE-B category A (VI score 2.55)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
euclid_q1_modeling,EUCL J175131.72+665425.2,267.882204,66.907018,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.2 arcsec; confirmation is modelling+expert-inspection based, not spectroscopic",not in Q1 discovery-engine catalog; SLDE-B category A (VI score 2.55),arXiv:2503.15325 Table 1 (cat A)
euclid_q1_modeling,102158888_2667434443654461269,266.7434443925532,65.44612692321355,inconclusive,"SLDE-B automated modelling FAILED (Model=N/-); paper: modeller failure is not evidence of non-lens (can fail on true lenses due to group-scale halos or foreground contamination); Palomar spectroscopy: z_lens=0.812, z_source=2.316 (quality B/B); SLDE-B name EUCL J174658.82+652642.8 (matched Q1 catalog at 4.07 arcsec); Q1 release archive membership: unsuccess.zip","Q1 catalog grade=A, expert_score=3.061 (13 votes); SLDE-B category A (VI score 2.5)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832
euclid_q1_modeling,102158583_2672803654649962203,267.280365471512,64.99622031604929,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=0.91 arcsec; confirmation is modelling+expert-inspection based; Palomar spectroscopy: z_lens=0.481, z_source=1.839 (quality A/A; compound lens); SLDE-B name EUCL J174907.29+645946.3 (matched Q1 catalog at 0.03 arcsec); Q1 release archive membership: unsuccess.zip","Q1 catalog grade=B, expert_score=1.987 (10 votes); SLDE-B category A (VI score 2.4)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832
euclid_q1_modeling,EUCL J175619.59+660944.9,269.081656,66.162488,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=1.28 arcsec; confirmation is modelling+expert-inspection based, not spectroscopic",not in Q1 discovery-engine catalog; SLDE-B category A (VI score 2.35),arXiv:2503.15325 Table 1 (cat A)
euclid_q1_modeling,102159192_2695197869661844158,269.5197869860399,66.18441585056613,confirmed_lens,"SLDE-B automated modelling (PyAutoLens SIE+shear) succeeded and experts confirmed lens based on the model (Model=Y/Y); theta_E=0.99 arcsec; confirmation is modelling+expert-inspection based, not spectroscopic; SLDE-B name EUCL J175804.74+661103.9 (matched Q1 catalog at 0.05 arcsec); also in Q1 release successful-model set: theta_E_eff=1.02 arcsec (median PDF)","Q1 catalog grade=A, expert_score=2.023 (10 votes); SLDE-B category A (VI score 2.3)",arXiv:2503.15325 Table 1 (cat A); Zenodo 10.5281/zenodo.15025832 modeling_lens_mass.csv
