campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
euclid_q1_nisp,102044821_NEG508798294276486404,50.87982942615197,-27.64864043281615,confirmed_lens,"z_src=1.920 (v6d posterior MAP, 68%CI_w=1.27, FoF-Gold); z_def=0.470 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.390 (CaII-triplet posterior, 68%CI_w=0.81, FoF-Silver); z_def_grizli=0.440; P(z_src>z_def)=0.99",grade=A;expert_score=2.179;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102044821_NEG509449559274572380,50.94495595239306,-27.4572380334476,confirmed_lens,"z_src=2.892 (v6d posterior MAP, 68%CI_w=1.63, FoF-Silver); z_def=0.861 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.324 (CaII-triplet posterior, 68%CI_w=0.82, FoF-Silver); z_def_grizli=0.720; P(z_src>z_def)=0.97",grade=A;expert_score=2.197;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102045463_NEG510020362271915172,51.0020362232379,-27.191517292522285,confirmed_lens,"z_src=1.572 (v6d posterior MAP, 68%CI_w=1.20, FoF-Silver); z_def=0.676 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=1.296 (CaII-triplet posterior, 68%CI_w=0.99, FoF-Bronze); z_def_grizli=0.430; P(z_src>z_def)=0.77",grade=B;expert_score=1.605;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102044182_NEG510181483277803809,51.01814831639855,-27.78038095373029,inconclusive,"z_src=0.674 (v6d posterior MAP, 68%CI_w=1.69, FoF-Silver); z_def_nisp_v6d=0.528 (CaII-triplet posterior, 68%CI_w=0.00, FoF-Platinum); z_def_grizli=0.875; P(z_src>z_def)=0.93",grade=B;expert_score=1.643;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102044182_NEG512061540278527911,51.20615401023922,-27.85279118357624,confirmed_lens,"z_src=1.902 (v6d posterior MAP, 68%CI_w=1.70, FoF-Silver); z_def=0.828 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.366 (CaII-triplet posterior, 68%CI_w=0.81, FoF-Silver); z_def_grizli=0.560; P(z_src>z_def)=0.98",grade=A;expert_score=2.032;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102045464_NEG512422645270221464,51.24226454312596,-27.02214645082399,confirmed_lens,"z_src=1.298 (v6d posterior MAP, 68%CI_w=1.71, FoF-Silver); z_def=0.639 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.286 (CaII-triplet posterior, 68%CI_w=0.83, FoF-Bronze); z_def_grizli=0.685; P(z_src>z_def)=0.93",grade=B;expert_score=1.648;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102045464_NEG514418387268262939,51.44183879061816,-26.82629397895439,confirmed_lens,"z_src=2.774 (v6d posterior MAP, 68%CI_w=1.25, FoF-Gold); z_def=1.095 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=1.030 (CaII-triplet posterior, 68%CI_w=0.62, FoF-Gold); z_def_grizli=0.475; P(z_src>z_def)=0.86",grade=B;expert_score=1.975;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102044182_NEG514435270280350833,51.44352700531004,-28.0350833479322,confirmed_lens,"z_src=1.306 (v6d posterior MAP, 68%CI_w=1.10, FoF-Gold); z_def=1.218 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.270 (CaII-triplet posterior, 68%CI_w=0.82, FoF-Silver); P(z_src>z_def)=1.00",grade=A;expert_score=2.423;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102042913_NEG515596854290228591,51.55968541095926,-29.022859166356096,confirmed_lens,"z_src=1.560 (v6d posterior MAP, 68%CI_w=1.48, FoF-Gold); z_def=0.601 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.312 (CaII-triplet posterior, 68%CI_w=0.79, FoF-Silver); z_def_grizli=0.560; P(z_src>z_def)=0.99",grade=B;expert_score=1.546;votes=8,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
euclid_q1_nisp,102044183_NEG515787441281897369,51.57874416555804,-28.189736933084728,confirmed_lens,"z_src=2.690 (v6d posterior MAP, 68%CI_w=1.81, FoF-Bronze); z_def=0.762 (adopted, Euclid PHZ MODE_1 photo-z); z_def_nisp_v6d=0.350 (CaII-triplet posterior, 68%CI_w=0.83, FoF-Bronze); z_def_grizli=0.655; P(z_src>z_def)=0.95",grade=A;expert_score=2.802;votes=10,arXiv:2604.02726v5 appendix catalogue (Table: full v6d 473-row); single-author paper WITHDRAWN at v6
