campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
foundry_i_hst,DESI-004.2564-10.1530,4.2564,-10.1530,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.51+/-0.02; group-scale lens with at least two sets of arcs; HST NIR revealed new arcs vs LS discovery image",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-006.3643+10.1853,6.3643,10.1853,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.79+/-0.02; group/small-cluster-scale lens with at least two sets of arcs",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-023.0157-16.0040,23.0157,-16.0040,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.04+/-0.04; galaxy-scale lens",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-023.6765+04.5639,23.6765,4.5639,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.68+/-0.05; group-scale lens with at least two sets of arcs; HST NIR revealed new arcs vs LS discovery image",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-024.1631+00.1384,24.1631,0.1384,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.89+/-0.04; lens is two very close-by elliptical galaxies",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-025.4848+30.7585,25.4848,30.7585,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 26.43+/-0.07; galaxy-scale lens; faintest arcs of the sample; z_d=0.524 (eBOSS, confirmed by DESI); z_s=1.2223 for arc 1 (DESI [OII]); second source z=1.216 (Talbot et al. 2021; arc 2 or arc 3)",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-030.4360-27.6618,30.4360,-27.6618,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.43+/-0.05; lens is two very close-by elliptical galaxies",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-033.8095-29.1570,33.8095,-29.1570,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.16+/-0.03; galaxy-scale lens",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-072.0873-19.4172,72.0873,-19.4172,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 26.20+/-0.06; Einstein cross with average lens-image separation 3.95 arcsec; z_d_phot=0.967+/-0.167; lensing galaxy at center of a high-redshift cluster",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-094.5639+50.3059,94.5639,50.3059,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.88+/-0.04",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-118.8480+34.7610,118.8480,34.7610,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.64+/-0.03; previously known lens SDSS J0755+3445 (Shu et al. 2016); earlier HST WFC3/UVIS F606W imaging (GO-14189)",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-122.0852+10.5284,122.0852,10.5284,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 22.43+/-0.01",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-133.3800+23.3652,133.3800,23.3652,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.98+/-0.02; galaxy-scale lens, likely two lensed sources: one quadruply and one doubly imaged",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-140.8110+18.4954,140.8110,18.4954,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.35+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-154.5307-00.1368,154.5307,-0.1368,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.42+/-0.05",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-154.6972-01.3590,154.6972,-1.3590,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.24+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-160.2351-01.0663,160.2351,-1.0663,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.55+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-165.4754-06.0423,165.4754,-6.0423,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.87+/-0.02; z_d=0.4834 (DESI), z_s=1.6748 (Keck NIRES); quadruply imaged, Einstein radius ~2.5 arcsec; GIGA-Lens model presented in the paper",H21 (Huang et al. 2021) candidate; human inspection score 2.5/4 (C grade),arXiv:2502.03455 Table 1
foundry_i_hst,DESI-165.6876+12.1864,165.6876,12.1864,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.02+/-0.04",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-181.3974+41.1790,181.3974,41.1790,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.47+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-186.4028-07.4188,186.4028,-7.4188,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.92+/-0.04",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-186.8292+17.4324,186.8292,17.4324,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.13+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-189.4008+55.5619,189.4008,55.5619,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.26+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-189.5370+15.0309,189.5370,15.0309,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.81+/-0.02; group-scale lens; doubly imaged background spiral galaxy (two half cinnamon buns)",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-192.9428+01.7155,192.9428,1.7155,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.59+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-202.6690+04.6707,202.6690,4.6707,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.74+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-202.9388+51.5753,202.9388,51.5753,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.32+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-215.2654+00.3719,215.2654,0.3719,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.39+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-216.9538+08.1792,216.9538,8.1792,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.21+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-220.3861-00.8995,220.3861,-0.8995,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.94+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-220.4549+14.6891,220.4549,14.6891,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.74+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-225.4050+52.1417,225.4050,52.1417,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.97+/-0.04",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-226.2950+17.3451,226.2950,17.3451,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.68+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-227.3528+39.0279,227.3528,39.0279,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.91+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-227.5364+20.6236,227.5364,20.6236,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.74+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-231.2858+42.4643,231.2858,42.4643,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 23.08+/-0.02",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-234.4783+14.7232,234.4783,14.7232,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 25.12+/-0.04",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-234.8707+16.8379,234.8707,16.8379,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.47+/-0.03",,arXiv:2502.03455 Table 1
foundry_i_hst,DESI-238.5690+04.7276,238.5690,4.7276,confirmed_lens,"HST WFC3/IR F140W SNAP GO-15867 (3x399.23 s); arc(s) revealed, confirmed strong lens; brightest-arc F140W isophotal mag 24.24+/-0.03; galaxy-scale lens, likely two lensed sources: quadruply (fainter) and doubly (brighter) imaged",,arXiv:2502.03455 Table 1
