campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
foundry_iv_muse,DESI J003.6745-13.5042,3.6745,-13.5042,confirmed_lens,Lens 1: z=0.43119+-0.00013 (Qz=1); Lens 2: z=0.42944+-0.00044 (Qz=1); Source: z=0.90999+-0.00023 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J031.7781-27.4454,31.7781,-27.4454,confirmed_lens,Lens: z=0.35451+-0.00016 (Qz=1); Source: z=1.67711+-0.00005 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J033.8095-29.1570,33.8095,-29.157,confirmed_lens,"Lens: z=0.9 (Qz=3, visual-line-match/low-SNR); Source: z=1.85757+-0.00011 (Qz=1); VLT/MUSE","DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J043.6663-04.3068,43.6663,-4.3068,confirmed_lens,Lens 1: z=0.34477+-0.00016 (Qz=1); Lens 2: z=0.34356+-0.00014 (Qz=1); Source: z=2.4493+-0.0002 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J053.6251-13.1869,53.6251,-13.1869,confirmed_lens,Lens: z=0.3866+-0.00032 (Qz=1); Source A: z=2.30117+-0.00019 (Qz=1); Source B: z=2.30137+-0.00045 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J055.0894-25.5581,55.0894,-25.5581,confirmed_lens,Lens: z=0.65708+-0.00018 (Qz=1); Source: z=2.6802+-0.0005 (Qz=2); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J057.2077-10.2959,57.2077,-10.2959,confirmed_lens,Lens: z=0.74493+-0.00013 (Qz=1); Source: z=1.60376+-0.00014 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J060.5238-22.0990,60.5238,-22.099,confirmed_lens,Lens 1: z=0.4669+-0.0005 (Qz=1); Lens 2: z=0.46506+-0.00013 (Qz=1); Source: z=0.81998+-0.00028 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J065.6453-28.0646,65.6453,-28.0646,confirmed_lens,Lens: z=0.62107+-0.00018 (Qz=1); Source: z=1.17482+-0.00018 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J070.4130-09.7774,70.413,-9.7774,confirmed_lens,Lens 1: z=0.45467+-0.00015 (Qz=1); Lens 2: z=0.45707+-0.00014 (Qz=1); Lens 3: z=0.35942+-0.00013 (Qz=1); Source: z=1.80133+-0.00012 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J073.5286-10.2227,73.5286,-10.2227,confirmed_lens,Lens: z=0.24820+-0.00016 (Qz=1); Source: z=1.04384+-0.00009 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J073.9027-25.5132,73.9027,-25.5132,confirmed_lens,Lens: z=0.3795+-0.00017 (Qz=1); Source A: z=2.8230+-0.0003 (Qz=1); Source B: z=0.70821+-0.00017 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J074.9646-30.7233,74.9646,-30.7233,confirmed_lens,Lens: z=0.44137+-0.00016 (Qz=1); Source: z=1.44884+-0.00002 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J075.2793-24.4176,75.2793,-24.4176,confirmed_lens,Lens: z=0.32059+-0.00013 (Qz=1); Source: z=2.8290+-0.0004 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J086.3072-26.5877,86.3072,-26.5877,confirmed_lens,"Lens 1: z=0.27534+-0.00018 (Qz=1); Lens 2: z=0.27426+-0.00021 (Qz=1); Source A: z=2.17441+-0.00037 (Qz=2, combined-spectrum); Source B: z=2.17441+-0.00037 (Qz=1, combined-spectrum); Source C: z=2.17441+-0.00037 (Qz=1, combined-spectrum); VLT/MUSE","DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J087.1525-36.2427,87.1525,-36.2427,confirmed_lens,Lens: z=0.3011+-0.00018 (Qz=1); Source A: z=0.84611+-0.00005 (Qz=1); Source B: z=0.84661+-0.00006 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J090.9854-35.9683,90.9854,-35.9683,confirmed_lens,Lens 1: z=0.4883+-0.00019 (Qz=1); Lens 2: z=0.48835+-0.00016 (Qz=1); Source A: z=1.43211+-0.00012 (Qz=1); Source B: z=1.43192+-0.00017 (Qz=1); Source C: z=1.43209+-0.00008 (Qz=1); Source D: z=1.43225+-0.00012 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J122.0852+10.5284,122.0852,10.5284,confirmed_lens,Lens: z=0.47529+-0.00007 (Qz=1); Source A: z=1.23669+-0.00004 (Qz=1); Source B: z=1.45292+-0.0001 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J154.6975-01.3588,154.6975,-1.3588,confirmed_lens,Lens: z=0.38827+-0.00007 (Qz=1); Source A: z=1.431+-0.00012 (Qz=1); Source B: z=1.43056+-0.00007 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J157.4222+20.4043,157.4222,20.4043,confirmed_lens,Lens 1: z=0.39203+-0.00008 (Qz=1); Lens 2: z=0.39098+-0.00009 (Qz=1); Source: z=1.30729+-0.00015 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J157.6135-06.6858,157.6135,-6.6858,confirmed_lens,Lens 1: z=0.46717+-0.00013 (Qz=1); Source: z=1.5806+-0.0001 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J160.1719+18.8480,160.1719,18.848,confirmed_lens,Lens: z=0.31331+-0.00013 (Qz=1); Source A: z=0.88096+-0.00019 (Qz=1); Source B1: z=0.87779+-0.00026 (Qz=1); Source B2: z=0.8778+-0.00024 (Qz=2); Source C: z=0.87566+-0.00013 (Qz=2); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J161.1162+31.2340,161.1162,31.234,confirmed_lens,Lens 1: z=0.69819+-0.00027 (Qz=1); Lens 2: z=0.70127+-0.0008 (Qz=1); Member: z=0.69957+-0.0001 (Qz=1); Source: z=1.51637+-0.00014 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J161.4114-08.8358,161.4114,-8.8358,confirmed_lens,"Lens: z=0.82754+-0.00018 (Qz=1); Source: z=2.079+-0.002 (Qz=3, noisy); VLT/MUSE","DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J166.9974+04.1560,166.9974,4.156,confirmed_lens,Lens 1: z=0.35153+-0.00017 (Qz=1); Lens 2: z=0.35271+-0.00016 (Qz=1); Source: z=1.28023+-0.00013 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J168.7680+16.7604,168.768,16.7604,confirmed_lens,Lens: z=0.53714+-0.0002 (Qz=1); Foreground: z=0.53503+-0.00016 (Qz=1); Source A: z=1.71573+-0.00012 (Qz=1); Source B: z=3.46264+-0.00004 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J174.5481+14.7863,174.5481,14.7863,confirmed_lens,Lens: z=0.56486+-0.00019 (Qz=1); Source: z=2.41864+-0.00065 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
foundry_iv_muse,DESI J186.4036-07.4200,186.4036,-7.42,confirmed_lens,Lens: z=0.40484+-0.00037 (Qz=1); Source A: z=1.08376+-0.00004 (Qz=1); Source B: z=1.1001+-0.00004 (Qz=1); VLT/MUSE,"DESI Legacy Imaging Surveys ResNet lens candidate (Huang et al. 2020, 2021; Storfer et al. 2024 series; paper does not give per-target catalog/grade)",arXiv:2509.18078 Table 2
