campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
hsc_desi_dr1,HSC J0015+0137,3.74066,1.61701,confirmed_lens,"z_lens=0.37884+/-0.00005, z_source=1.165247+/-0.000013; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 1
hsc_desi_dr1,012018+001125,20.07557,0.19049,confirmed_lens,"z_lens=0.59852+/-0.00011, z_source=2.9994+/-0.0009 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 1
hsc_desi_dr1,015310-042315,28.29412,-4.38766,confirmed_lens,"z_lens=0.28725+/-0.00007, z_source=0.64816+/-0.00003 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 1
hsc_desi_dr1,083933-014044,129.88900,-1.67900,confirmed_lens,"z_lens=0.26991+/-0.00006, z_source=0.70916+/-0.00005; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 1
hsc_desi_dr1,085046+003905,132.69421,0.65149,confirmed_lens,"z_lens=0.8844+/-0.0003, z_source=2.83777+/-0.00011 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 1
hsc_desi_dr1,090430+042648,136.12750,4.44680,confirmed_lens,"z_lens=0.45646+/-0.00004, z_source=1.01730+/-0.00003; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 1
hsc_desi_dr1,090938+002842,137.41082,0.47849,confirmed_lens,"z_lens=0.77951+/-0.00009, z_source=2.5459+/-0.0003 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 1
hsc_desi_dr1,094348+005926,145.95070,0.99060,confirmed_lens,"z_lens=0.43817+/-0.000007, z_source=1.098909+/-0.000004; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 1
hsc_desi_dr1,HSC J1004-0031,151.21577,-0.52915,confirmed_lens,"z_lens=0.56877+/-0.00012, z_source=1.44286+/-0.00004; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VI (Canameras et al. 2021, arXiv:2107.07829)",arXiv:2505.16158 Table 1
hsc_desi_dr1,HSC J1014+0332,153.63908,3.54713,confirmed_lens,"z_lens=0.67770+/-0.00008, z_source=2.165+/-0.002 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 1
hsc_desi_dr1,114311-013935,175.79700,-1.65983,confirmed_lens,"z_lens=0.6436+/-0.0002 (measured in this work, not DESI DR1 pipeline), z_source=1.38763+/-0.00002; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI II (Wong et al. 2018, arXiv:1809.07341)",arXiv:2505.16158 Table 1
hsc_desi_dr1,122450-004215,186.20950,-0.70420,confirmed_lens,"z_lens=0.40355+/-0.00005, z_source=1.17846+/-0.00004 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in LinKS/KiDS (Petrillo et al. 2019, arXiv:1812.03168)",arXiv:2505.16158 Table 1
hsc_desi_dr1,123636-003539,189.15056,-0.59418,confirmed_lens,"z_lens=0.51016+/-0.00009, z_source=0.763224+/-0.000013 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 1
hsc_desi_dr1,141649+013822,214.20757,1.63953,confirmed_lens,"z_lens=0.43371+/-0.00006, z_source=1.31300+/-0.00002 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 1
hsc_desi_dr1,155957+441543,239.98978,44.26217,confirmed_lens,"z_lens=0.59761+/-0.00009, z_source=1.52903+/-0.00007; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI I (Sonnenfeld et al. 2018, arXiv:1704.01585)",arXiv:2505.16158 Table 1
hsc_desi_dr1,222638-003449,336.65950,-0.58030,confirmed_lens,"z_lens=0.40425+/-0.00010, z_source=1.34701+/-0.00007 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 1
hsc_desi_dr1,224154+000331,340.47761,0.05878,confirmed_lens,"z_lens=0.49660+/-0.00005, z_source=1.61508+/-0.00005; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 1
hsc_desi_dr1,224221+001144,340.58993,0.19575,confirmed_lens,"z_lens=0.38531+/-0.00007, z_source=1.23193+/-0.00003; DESI DR1 spectroscopy; Category 1: grade-A candidate with secure lens and source redshifts","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI I (Sonnenfeld et al. 2018, arXiv:1704.01585)",arXiv:2505.16158 Table 1
hsc_desi_dr1,083651+003038,129.21623,0.51056,confirmed_lens,"z_lens=0.83603+/-0.00010, z_source=3.0629+/-0.0003 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090402+031403,136.00876,3.23422,confirmed_lens,"z_lens=0.84681+/-0.00010, z_source=3.3528+/-0.0002 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
