recno,Q,Img,Name,Type,Score,delSc,Prob,zsp,zph,e_zph,Mod,Ref,gmag,rmag,zmag,Survey,Sloan,_RA,_DE,pair_ok
1,A,1,DESI-002.0299+18.3723,DC,3.5,1,0.97,0.4724,,,L18,,20.63,19.16,17.84,DECaLS,Sloan,2.0299,18.3723,True
2,A,2,DESI-003.6745-13.5042,DC,4.0,0,0.34,,0.406,0.021,L18,,20.0,18.17,17.18,DECaLS,Sloan,3.6745,-13.5042,True
3,A,3,DESI-006.0673-28.7195,REX,4.0,0,0.97,,0.533,0.025,L18,,20.8,18.86,17.55,DECaLS,Sloan,6.0673,-28.7195,True
4,A,4,DESI-007.6741-33.9765,REX,3.5,1,0.2,,0.858,0.041,shielded,,21.64,20.85,19.61,DECaLS,Sloan,7.6741,-33.9765,True
5,A,5,DESI-007.8631-01.7215,DC,4.0,0,0.53,0.5201,,,shielded,,21.61,19.79,18.6,DECaLS,Sloan,7.8631,-1.7215,True
6,A,6,DESI-008.0136+07.6678,DC,4.0,0,0.99,0.5566,,,L18,,21.14,19.57,18.1,DECaLS,Sloan,8.0136,7.6678,True
7,A,7,DESI-008.0732+01.0100,DC,3.5,1,0.31,,0.426,0.091,L18,e,20.25,18.4,17.45,DECaLS,Sloan,8.0732,1.01,True
8,A,8,DESI-008.6173+02.4228,DC,4.0,0,0.54,0.4548,,,shielded,"b,e",22.62,20.73,19.81,DECaLS,Sloan,8.6173,2.4228,True
9,A,9,DESI-009.7307+07.3230,DC,3.5,1,0.22,0.2547,,,L18,,18.65,17.21,16.36,DECaLS,Sloan,9.7307,7.323,True
10,A,10,DESI-010.0606-06.7620,REX,3.5,1,1.0,0.6152,,,L18,,20.99,19.69,18.64,DECaLS,Sloan,10.0606,-6.762,True
11,A,11,DESI-010.8534-20.6214,DC,4.0,0,0.11,0.3381,,,L18,,18.93,17.4,16.56,DECaLS,Sloan,10.8534,-20.6214,True
12,A,12,DESI-011.9249-19.6443,DC,3.5,1,0.84,,0.688,0.056,L18,,21.78,20.32,18.92,DECaLS,Sloan,11.9249,-19.6443,True
13,A,13,DESI-012.1155-17.9645,DC,3.5,1,0.9,,0.735,0.069,shielded,,22.57,21.17,19.76,DECaLS,Sloan,12.1155,-17.9645,True
14,A,14,DESI-012.9008-09.3904,DC,3.5,1,1.0,0.4485,,,L18,,22.3,20.33,18.64,DECaLS,Sloan,12.9008,-9.3904,True
15,A,15,DESI-014.9899+13.3320,DC,3.5,1,0.91,0.5163,,,shielded,,20.07,18.09,16.86,DECaLS,Sloan,14.9899,13.332,True
16,A,16,DESI-015.6763-14.0150,DC,3.5,1,1.0,,0.658,0.036,L18,,22.07,20.27,18.79,DECaLS,Sloan,15.6763,-14.015,True
17,A,17,DESI-015.8440-18.3629,DC,3.5,1,1.0,,0.364,0.019,L18,,20.42,18.71,17.83,DECaLS,Sloan,15.844,-18.3629,True
